AmountSaved,Shranjeni znesek
ScotApp_22,Ni\nGotovine\nNazaj\n+ 0          \n(%s)
ScotApp_1234,OMEJENA KOLIČINA
ScotApp_1685,Splošna napaka enote kovancev
ScotApp_1156,"Preverite, ali je napajanje avtomata za izdajanje kovancev vklopljeno."
ScotApp_1012,Vaš izdelek je transportiran.
ScotApp_1365,MSR
ScotApp_1235,EAS IZDELEK AKTIVEN
ScotApp_1221,NEGATIVNA PRODAJA
ScotApp_1143,Malo je kovancev ali zbiralnik kovancev ni prisoten.
ScotApp_434,Vrsta ugodnosti
ScotApp_1625,"Vstavite kovance, da napolnite ali pritisnite ""Odstrani gotovino"", da spraznite."
ScotApp_1430,Razveljavi izdelek
ScotApp_1684,Napaka ločevalnika kovancev
ScotApp_1155,Naprava je izklopljena.
ScotApp_834,Plačila && Strinjanja stranke:
ScotApp_799,Preveri košarico
ScotApp_699,"Izdelek, ki ga ni mogoče prodati"
ScotApp_599,Ponovni zagon obrazcev naprave ...
ScotApp_499,499neuporabljenih
ScotApp_399,399neuporabljenih
ScotApp_299,299neuporabljenih
ScotApp_199,Izhodi uporabnikov so naloženi.
ScotApp_743,743neuporabljenih
ScotApp_643,Izbrisan izdelek. Skenirajte naslednji izdelek.
ScotApp_543,ID upravitelja ne more biti večja od %d števk.
ScotApp_343,343neuporabljenih
ScotApp_243,Neveljavna kartica v čitalcu kartic
ScotApp_999,Presežena meja
ScotApp_899,Odobri razveljavitev za
ScotApp_1220,EFT
ScotApp_1142,Napaka avtomata za izdajanje kovancev
ScotApp_943,Uporabljam svojo vrečko
ScotApp_843,843neuporabljenih
ScotApp_1437,"Presežen prag ""Izdelek odstranjen"""
ScotApp_1601,     Stanje koša avtomata za izdajo kartic je nizko
ScotApp_722,722neuporabljenih
ScotApp_622,Uredi odstopanje za UPC
ScotApp_522,Napačna PIN številka
ScotApp_422,422neuporabljenih
ScotApp_322,322neuporabljenih
ScotApp_222,"Niz zahteve tiskalnika: Preverite tiskalnik ali pregledovalnik dogodkov glede napak, nato pritisnite ""Težava je rešena""."
ScotApp_122,122neuporabljenih
ScotApp_1010,1010neuporabljenih
ScotApp_922,922neuporabljenih
ScotApp_822,Odobri razveljavljeni izdelek
ScotApp_1715,Odobritev zavrnitve začasne zaustavitve
ScotApp_1227,OMEJEN ČAS
ScotApp_701,701neuporabljenih
ScotApp_601,601neuporabljenih
ScotApp_401,"Vstavite kartico. Prosim, preverite košarico glede dodatnih izdelkov."
ScotApp_301,Vnesi vrednost kupona
ScotApp_201,Prijava testiranja ...
ScotApp_101,Neznana cena
ScotApp_1633,Napaka ločevalnika bankovcev
ScotApp_901,Odobritev za preskočitev dajanja v vrečke.
ScotApp_801,Nakup zaboja
ScotApp_1824,Digitalni račun ni bil ustvarjen.
ScotApp_1328,Dvojna teža
ScotApp_1299,Zaženite Transakcijo in vstopite v Način asistence
ScotApp_1226,PRIKLICAN IZDELEK
ScotApp_1140,Kopičenje v avtomatu za izdajanje bankovcev.
ScotApp_1579,Sprejemalec računa
ScotApp_1426,%s\nJe %d pravilno?
ScotApp_1632,"Odstranite pokrov bankovcev. Preverite kabel do preverjanja bankovcev in ponovno poskusite.  Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis.\n\nNapaka SafePay: %s"
ScotApp_1141,Neuspešna izdaja %s. POZOR: Račun se mogoče kopiči na vrhu avtomata za izdajanje bankovcev.
ScotApp_1791,Samo gotovina
ScotApp_1357,Vzemi darilno kartico
ScotApp_763,763neuporabljenih
ScotApp_714,714neuporabljenih
ScotApp_614,Izvajanje dajanja v vrečke
ScotApp_514,514neuporabljenih
ScotApp_314,težava s košem
ScotApp_214,Preverjanje dolga
ScotApp_114,Ni mogoče preklicati izdelka
ScotApp_1369,Misc
ScotApp_78,Bankomat (ni gotovine)
ScotApp_1630,Napaka ločevalnika bankovcev
ScotApp_58,OK
ScotApp_48,48neuporabljenih
ScotApp_914,"Pojdite do vrste, odstranite dodatne izdelke in pritisnite ""Briši varnost""."
ScotApp_1422,Dlančni skener
ScotApp_18,Skupaj
ScotApp_1147,Napaka varnostne lestvice
ScotApp_1578,Skupna vrednost:
ScotApp_1022,Ne želim dati tega izdelka v\nvrečko
ScotApp_98,98neuporabljenih
ScotApp_88,88neuporabljenih
ScotApp_1003,Omejen čas
ScotApp_1434,Starostno omejeno
ScotApp_1356,Zberi
ScotApp_1212,DRUGO
ScotApp_1455,Neveljavna številka
ScotApp_1713,Pritisnite Odobritev za zavrnitev začasne zaustavitve 
ScotApp_1565,Vnesi valuto polnjenja za %s
ScotApp_194,Upravitelj naprave se nalaga ...
ScotApp_1275,OPREDELJENUPORABNIK17
ScotApp_1146,Sprejemalec se ne odziva.
ScotApp_1303,Kartica zvestobe sprejeta: #%s
ScotApp_70,70neuporabljenih
ScotApp_60,Pokliči za asistenta
ScotApp_50,50neuporabljenih
ScotApp_40,Shrani avtorizacijo
ScotApp_30,Razveljavljeni izdelki
ScotApp_20,20neuporabljenih
ScotApp_10,10neuporabljenih
ScotApp_1779,Ne morem razveljaviti kupona dokler je njegov kupon razveljavljen. Najprej razveljavite kupon izdelka.
ScotApp_1211,PRIVZETO
ScotApp_90,90neuporabljenih
ScotApp_80,80neuporabljenih
ScotApp_663,Napaka vnosa PIN številke
ScotApp_463,Oddaljena odobritev se končuje ...
ScotApp_363,\nUporabite tipkovnico za vnos upraviteljevega gesla.
ScotApp_163,163neuporabljenih
ScotApp_1420,Prekličem izdelek\n%s?
ScotApp_1145,Napaka sprejemalca kovancev
ScotApp_963,Prekliči zahtevo
ScotApp_863,Vnos vrednosti kupona
ScotApp_1816,Kovanci so nakopičeni ali pa so odprta vrata.
ScotApp_1637,Težava kabla
ScotApp_742,742neuporabljenih
ScotApp_642,Dodan izdelek. Skenirajte naslednji izdelek.
ScotApp_542,Ne morem ustvariti črtne kode upravitelja.
ScotApp_342,Vrsta opisa
ScotApp_242,Kopičenje kartic v čitalcu kartic
ScotApp_142,Potrdi znesek
ScotApp_1210,ZADNJI OGLED
ScotApp_942,942neuporabljenih
ScotApp_842,842neuporabljenih
ScotApp_1044,Ponudba s pomočjo asistenta
ScotApp_1427,Spremenite količino izdelka: \n%s
ScotApp_721,721neuporabljenih
ScotApp_621,Privzeto
ScotApp_1341,Upravljanje glasnosti
ScotApp_421,"Skenirajte vaše izdelke ali pritisnite ""Zagon"" za začetek."
ScotApp_321,Overjanje transakcije
ScotApp_221,Zaprite in zaklenite vrata predalnika za tiskalnik.
ScotApp_121,izdelke z blagajne.
ScotApp_1636,Napaka ločevalnika kovancev
ScotApp_921,Pričakovana teža na varnostni tehtnici.
ScotApp_821,821neuporabljenih
ScotApp_600,Vzdrževanje varnosti
ScotApp_500,500neuporabljenih
ScotApp_400,400neuporabljenih
ScotApp_1368,Zajpod
ScotApp_200,Posrednik transakcij se testira ...
ScotApp_100,Potrebna je količina
ScotApp_1076,Pozor
ScotApp_1623,Prenesi bankovce v kaseto za dvig
ScotApp_1340,Izklopi celotni sistem
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Zbiralni koš manjka ali pa ni pravilno vstavljen.
ScotApp_1758,Napaka koša kuponov
ScotApp_1635,"Preverite kabel do ločevalnika bankovcev in ponovno poskusite.   Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis.\n\nNapaka SafePay: %s"
ScotApp_1557,Dobiček avtomata za izdajanje
ScotApp_734,734neuporabljenih
ScotApp_634,634neuporabljenih
ScotApp_534,Časovno omejeni izdelki
ScotApp_1413,"Prosim, zaključite vašo transakcijo v naslednji(h) # minuti(ah).  Kmalu se lahko pojavi izklop napajanja."
ScotApp_334,"Napaka čitalca kartic, ker ni vstavljena kartica"
ScotApp_234,"Odstranite kaseto za bankovce.\n\nIz kasete odstranite bankovce.\n\nPonovno vstavite kaseto, da zaskoči v svoj položaj.\n\nPotegnite za ročico kasete, da zagotovite, da zaskočni zapah zadržuje kaseto v njenem položaju."
ScotApp_1569,Vrednost
ScotApp_1801,Način delovanja
ScotApp_934,Povečanje teže
ScotApp_1622,Kaseta
ScotApp_768,Začasno zaustavi potrditev
ScotApp_668,Uspešno tiskanje podpisa.
ScotApp_1347,Poskus ponovnega povezovanja
ScotApp_1778,Briši varnost
ScotApp_168,Skenirajte vaše kupone in jih položite na stran dokler ni konca nakupa.
ScotApp_1203,ODOBREN DOKUMENT
ScotApp_1634,Težava kabla
ScotApp_1556,Dobiček sprejemalca
ScotApp_1412,Funkcije asistence
ScotApp_1783,ODPRT VARNOSTNI POKROV
ScotApp_1232,ODOBREN PODPIS
ScotApp_1568,Skupna vsota :        %s
ScotApp_1800,Izberi način delovanja
ScotApp_1495,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1621,Odkleni kaseto za bankovce
ScotApp_1346,Vrsta ni povezana in sistem jo poskuša ponovno povezati.
ScotApp_72,72neuporabljenih
ScotApp_62,Da
ScotApp_52,Prekliči kupone
ScotApp_42,Razveljavljeni izdelki
ScotApp_32,Nadaljujem
ScotApp_12,  Kol %d @ %s/vsak
ScotApp_1411,Spremeni količino
ScotApp_92,Dobrodošli!
ScotApp_82,82neuporabljenih
ScotApp_1807,_ _ _
ScotApp_1089,Končaj obdobje poročanja
ScotApp_1620,Odkleni pokrov bankovcev
ScotApp_1345,Upravitelj varnosti se končuje ...
ScotApp_1819,Napake ločevalnika pri sprejemanju
ScotApp_762,762neuporabljenih
ScotApp_662,%
ScotApp_1554,Sprejemalec
ScotApp_462,Oddaljena odobritev je naložena.
ScotApp_362,Vnesi geslo
ScotApp_262,262neuporabljenih
ScotApp_162,Skenirajte vaše izdelke in kupone.
ScotApp_1410,Spremeni ceno
ScotApp_962,"Vzemite razveljavljeni izdelek v vrsti in nato pritisnite ""Odobri razveljavljeno""."
ScotApp_862,Vnos vrednosti kupona:
ScotApp_1806,"\n*Pritisnite ''Samo kartice'', da zaključite transakcijo in sami vrnite stranki drobiž."
ScotApp_1088,1088neuporabljenih
ScotApp_1627,Napaka ločevalnika kovancev/bankovcev
ScotApp_741,741neuporabljenih
ScotApp_641,  Avg.Wt.   Odobreno   Blagajna   Tol.Type     Tol.Value     Datum
ScotApp_541,Skeniranje črtne kode upravitelja tiskalnika
ScotApp_441,Potrdi znesek
ScotApp_341,341neuporabljenih
ScotApp_241,Nepričakovana napaka Upravitelja naprave
ScotApp_141,Izberi vrsto kartice
ScotApp_941,Razveljavljeni izdelek
ScotApp_841,Vnos izdelka
ScotApp_1873,1873unused
ScotApp_25,Datum rojstva:
ScotApp_720,720neuporabljenih
ScotApp_520,Neznana koda izdelka
ScotApp_420,420neuporabljenih
ScotApp_320,Pojdi nazaj
ScotApp_220,* Odprite vrata predalnika za tiskalnik.\n* Odprite pokrov tiskalnika in ga preverite glede kopičenj.\n* V tiskalnik dajte novo rolo papirja.\n* Zaprite in zaklenite vrata predalnika za tiskalnik.
ScotApp_120,Preklicana transakcija. Odstrani
ScotApp_1626,"Vstavite gotovino, da napolnite ali izberite drugo funkcijo."
ScotApp_1423,Dlančni skener se poskuša povezati.
ScotApp_920,Odobri/Brez posodobitve.
ScotApp_820,Odobri razveljavljeno
ScotApp_1757,"Da bi dodali akcent, pritisnite tipko ""Akcent"" na zaslonu spodaj, nato vnesite črko."
ScotApp_1872,1872unused
ScotApp_754,Prejšnjih 7 dni povzetka
ScotApp_554,Ne povlecite plačilnih kartic zdaj.
ScotApp_1613,Koš zavrnjenih
ScotApp_354,Sistemske funkcije
ScotApp_254,Avtomat za izdajo kovancev ne deluje.\nNapolnite avtomat za izdajo kovancev ali\nVklopite napajanje ali\nOdpravite kopičenje v avtomatu.
ScotApp_154,Nalagam ...
ScotApp_1769,Št. kode
ScotApp_1240,GOTOVINA
ScotApp_954,Spodletelo odpiranje pametne tehtnice
ScotApp_854,Pet izdelkov
ScotApp_1547,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1403,"Zaustavite in ponovno zaženite program NCR SelfServ blagajna. Če napaka ostaja, kontaktirajte pomoč uporabnikom."
ScotApp_545,Izdelek z omejitvami
ScotApp_1559,Izhod
ScotApp_1871,%s %s opazovan
ScotApp_1612,Upravljanje kartic
ScotApp_1550,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_845,Skeniraj dodatne izdelke:
ScotApp_1564,Vnesi štetje polnjenja za %s
ScotApp_1768,Nepodprta enota teže.
ScotApp_1272,OPREDELJENUPORABNIK14
ScotApp_1546,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_74,Odobri razveljavljeno
ScotApp_64,Prekliči izbrano
ScotApp_54,Prekliči
ScotApp_44,44neuporabljenih
ScotApp_34,34neuporabljenih
ScotApp_1558,Zapusti in Shrani
ScotApp_14,14neuporabljenih
ScotApp_1870,%s %s pričakovan
ScotApp_1389,Napaka naprave zajemanja podpisa
ScotApp_1611,     Koš zavrnjenih je poln
ScotApp_94,94neuporabljenih
ScotApp_84,Naloži možnosti
ScotApp_1289,B - C
ScotApp_687,Natisni poročilo
ScotApp_587,Podpis
ScotApp_487,Dol
ScotApp_387,Kopičenje v transportu
ScotApp_287,Skener: Neveljavna oznaka
ScotApp_1545,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1336,Pripomoček
ScotApp_987,Izdelek odstranjen s traku. Vrnite izdelek.
ScotApp_887,Odstranjen izdelek
ScotApp_555,Drugo plačilo
ScotApp_1610,     Koš zavrnjenih je skoraj poln (%s)  
ScotApp_1041,Odobri podpis
ScotApp_1691,Upravljanje gotovine
ScotApp_1809,Napake ločevalnika kovancev pri izdaji
ScotApp_1288,A
ScotApp_761,761neuporabljenih
ScotApp_1193,OVERJENA IDENTITETA
ScotApp_561,Kupon položite na stran
ScotApp_461,Oddaljena odobritev se nalaga ...
ScotApp_361,Zaprta vrsta
ScotApp_261,261neuporabljenih
ScotApp_961,"Napaka zbirke podatkov učenja teže: Preverite Pregledovalnik dogodkov glede napak, nato pritisnite ""Težava je rešena""."
ScotApp_861,861neuporabljenih
ScotApp_1876,%s %s opazovan
ScotApp_740,740neuporabljenih
ScotApp_640,Obstoječi vnosi teže WLDB
ScotApp_540,540neuporabljenih
ScotApp_340,Izberite izdelek s seznama. Uporabite smerne tipke da se pomikate gor in dol.
ScotApp_240,Splošna napaka Upravitelja naprave
ScotApp_140,Hvala
ScotApp_1105,"e=d=0,005 kg Max 13,995 kg min 0,1 kg Nmax 2799"
ScotApp_1192,PLAČILO IZBORA
ScotApp_940,Razveljavi
ScotApp_840,Vnos izdelka:
ScotApp_1863,"Dotaknite se ""Odobrite"" ali ""Izpraznite košarico""."
ScotApp_1463,Sprememba v vrednosti
ScotApp_1875,%s %s pričakovan
ScotApp_774,Dobljene točke :
ScotApp_674,"""Vzrok zavrnitve ponudbe: """
ScotApp_780,780neuporabljenih
ScotApp_474,474neuporabljenih
ScotApp_374,Napaka črne barve tiskalnika
ScotApp_174,Ni mogoče najti skeniranega izdelka. Ni še bil kupljen ali pa je bil že preklican.
ScotApp_1029,Vstavi kupon
ScotApp_974,974neuporabljenih
ScotApp_1679,Napaka knjižnice bankovcev
ScotApp_1747,Napaka čitalca prstnih odtisov
ScotApp_1862,Preverite predmet na tehtnici.
ScotApp_1603,     Stanje koša avtomata za izdajo kartic je običajno
ScotApp_1419,Večpaketno pakiranje
ScotApp_1759,Koš kuponov je poln
ScotApp_649,Vstavljena cena
ScotApp_1039,Prejšnji izdelki imajo EAS oznako(e).
ScotApp_849,Potrebna je količina
ScotApp_765,765neuporabljenih
ScotApp_565,Prijava trgovine
ScotApp_1549,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1861,SEZNAM
ScotApp_1731,PickList podobe se nalagajo ...
ScotApp_76,76neuporabljenih
ScotApp_66,66neuporabljenih
ScotApp_56,Prekliči plačilo
ScotApp_46,Asistenca
ScotApp_36,Povrnjeno:
ScotApp_26,26neuporabljenih
ScotApp_16,%s bo zaračunanih na vašo kartico
ScotApp_719,719neuporabljenih
ScotApp_619,Izberite <Vnesi odstopanje> ali <Privzeto> da uredite trenutno odstopanje.
ScotApp_519,Kupon previsok
ScotApp_419,419neuporabljenih
ScotApp_319,Plačaj s kartico
ScotApp_219,219neuporabljenih
ScotApp_119,Prekliči vse izdelke
ScotApp_96,96neuporabljenih
ScotApp_86,86neuporabljenih
ScotApp_1755,Izberi s seznama
ScotApp_1038,Overi podpis
ScotApp_919,"Overite težo izdelka in pritisnite ""Odobri & Posodobi težo"" ali pritisnite ""Odobri/Brez posodobitve""."
ScotApp_1489,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1745,"Naprava za prstne odtise ni priključena.\n\nProsim, poskusite znova."
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,OPREDELJENUPORABNIK10
ScotApp_1008,1008neuporabljenih
ScotApp_786,Začasna zaustavitev na vrsti
ScotApp_686,Včeraj
ScotApp_586,Kuponi: %0.star/$%0.2lf
ScotApp_486,Gor
ScotApp_386,Kaseta odstranjena
ScotApp_286,Skener: Neveljavna predpona2 oznake
ScotApp_186,186neuporabljenih
ScotApp_1488,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_986,986neuporabljenih
ScotApp_886,Izdelki odstranjeni iz vrečke.\nVrnite izdelek.
ScotApp_1393,"Zaustavite in ponovno zaženite program NCR SelfServ blagajna. Če napaka ostaja, kontaktirajte pomoč uporabnikom."
ScotApp_1867,Blokiran pogled na kamero
ScotApp_68,68neuporabljenih
ScotApp_38,38neuporabljenih
ScotApp_28,Prekliči nakup
ScotApp_1024,1024neuporabljenih
ScotApp_760,Potegnite kartico ob strani tega zaslona.
ScotApp_660,Vsi nivoji valute so običajni
ScotApp_460,To bo zaključilo vaš nakup.
ScotApp_360,Zapri vrsto
ScotApp_260,260neuporabljenih
ScotApp_1392,Napaka Tri-Light
ScotApp_960,"Napaka tehtnice vrečke: Preverite tehtnico vrečke ali pregledovalnik dogodkov, nato pritisnite ""Težava je rešena""."
ScotApp_860,Potrebna je mera:
ScotApp_1866,Bolj priljubljen
ScotApp_1459,Poročilo o upravljanju gotovine
ScotApp_1239,BREZ
ScotApp_1301,Uredi seznam izbranih
ScotApp_1749,Obdelava prstnih odtisov
ScotApp_1017,Odstranite nakopičene izdelke na traku.
ScotApp_1771,Limit vrednosti kupona
ScotApp_739,739neuporabljenih
ScotApp_639,Pričakovana teža Primerjava teže
ScotApp_539,539neuporabljenih
ScotApp_439,439neuporabljenih
ScotApp_339,339neuporabljenih
ScotApp_239,Nepričakovan status Upravitelja naprave
ScotApp_1092,Vsebina poročila
ScotApp_1851,Ne odobri  
ScotApp_1238,DRUGO PLAČILO
ScotApp_939,Časovnik potekel
ScotApp_839,Prekliči dejanje
ScotApp_1333,Vračalka
ScotApp_24,Razveljavljeno
ScotApp_1016,Nakopičeni izdelki na traku
ScotApp_1615,"Pritisnite gumb Dvig avtomata za izdajo, da spraznite"
ScotApp_1723,Usposabljanje Trx
ScotApp_1028,Presežen prag kupona
ScotApp_1435,Napaka avt. za izdajanje kovancev/računa
ScotApp_1698,"Pritisnite ""Stanje popravljeno""."
ScotApp_1688,Napaka kasete
ScotApp_454,454neuporabljenih
ScotApp_1593,Odstrani kovance
ScotApp_1642,Napaka ločevalnika bankovcev
ScotApp_1015,Nakopičeni izdelki
ScotApp_785,785neuporabljenih
ScotApp_685,Vsako uro
ScotApp_585,585neuporabljenih
ScotApp_536,Sprejemalec kovancev
ScotApp_385,385neuporabljenih
ScotApp_285,Skener: Neveljavna pripona oznake
ScotApp_185,Primerjajte podpis stranke s podpisom na kartici.
ScotApp_1224,POTREBNA CENA
ScotApp_985,Položite izdelek na trak.
ScotApp_885,Alarm dajanja v vrečke
ScotApp_575,Zaključite gotovinsko ponudbo.  Dolg ostanka.
ScotApp_475,Začasna zaustavitev transakcije
ScotApp_375,Iztek časa tiskalnika
ScotApp_1002,Brez prodaje
ScotApp_1888,"Kontrolirajte transakcijo stranke zaradi varnosti in se dotaknite ""Odobrite ali odstranite predmet""."
ScotApp_910,910neuporabljenih
ScotApp_1592,"Odstranite kovance iz nakopičenega koša. Nagnite koš. Obrnite vijak na desno, da lahko odstranite kovance. Ne uporabite preveč sile."
ScotApp_875,ID vodja asistentov za preklic nakupa
ScotApp_1014,Odstranite nakopičene izdelke s traku.
ScotApp_1572,"Ali ste prepričani, da želite spregledati spremembe na zaslonu Upravljanja kovancev?"
ScotApp_1790,Samo plačilna / kreditna kartica
ScotApp_1344,Upravitelj varnosti je naložen.
ScotApp_798,798neuporabljenih
ScotApp_698,698neuporabljenih
ScotApp_598,Obrazec %d ni bil shranjen!
ScotApp_498,Plačan znesek:
ScotApp_398,Kaseta je vstavljena
ScotApp_298,298neuporabljenih
ScotApp_198,Izhodi uporabnikov se nalagajo ...
ScotApp_998,Količina
ScotApp_898,WTINFO se končuje ...
ScotApp_1416,Preveri glede večpaketnega pakiranja
ScotApp_1431,Razveljavi vse
ScotApp_1236,Obdelava poročila ...
ScotApp_1770,Izberite iz rezultatov iskanja.
ScotApp_1000,Ni najden
ScotApp_1439,"Presežen prag ""Vrečka/škatla"""
ScotApp_1217,RAZVELJAVI
ScotApp_759,Potegnite kartico po plačilni napravi.
ScotApp_659,Nizek status valute:
ScotApp_559,Brez kuponov
ScotApp_459,Za ta nakup bo ostal ostanek.
ScotApp_359,Sistemske funkcije
ScotApp_259,Upravitelj naprave se končuje ...
ScotApp_1007,Zahtevana asistenca
ScotApp_1438,"Presežen prag ""Nov izdelek"""
ScotApp_959,Zbirka podatkov učenja teže
ScotApp_859,Ne
ScotApp_1216,VARNOST
ScotApp_1373,VZEMI DARILNO KARTICO
ScotApp_1005,Vizualna overitev
ScotApp_1655,Prodaja oddelka
ScotApp_1228,ZAČASNO ZAUSTAVLJEN
ScotApp_1725,Varnost onemogočena
ScotApp_1006,Druga ponud.
ScotApp_496,Omejitev količine
ScotApp_1018,Starostni minimum.
ScotApp_1160,"Preverite, ali je kabel priključen na hrbtni strani PinTipkovnice.\n\nČe je kabel varno pritrjen, pritisnite ""Težava je rešena"".\n\nČe napaka ostaja, izklopite in ponovno zaženite terminal."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Da povežete vaš dlančni skener pritisnite ""Poveži""."
ScotApp_1202,ZAPRTA VRSTA
ScotApp_679,Poročila o asistenci
ScotApp_1792,Samo kartice
ScotApp_1214,RAČUN
ScotApp_1804,Izhod iz načina samo kartice
ScotApp_879,879neuporabljenih
ScotApp_1072,Potrebujete informacije
ScotApp_1631,Napaka preverjanja bankovcev
ScotApp_1148,Napaka komponent varnostne lestvice
ScotApp_1244,PRIHRANKI DOLGA
ScotApp_1004,Overi del
ScotApp_1282,Potrebna cena za
ScotApp_1071,1071neuporabljenih
ScotApp_1276,OPREDELJENUPORABNIK18
ScotApp_1200,PRIKAZOVANJE CENE
ScotApp_1639,Napaka ločevalnika kovancev
ScotApp_1828,\n    - Nivo glasnosti %d%%
ScotApp_1308,Vnesena PIN številka
ScotApp_1417,"Če je izdelek v večpaketnem pakiranju, pritisnite ""Način asistence"" in ga razveljavite ter nato skenirajte črtno kodo večpaketnega pakiranja."
ScotApp_1343,Upravitelj varnosti se nalaga ...
ScotApp_779,779neuporabljenih
ScotApp_1429,"<<<Malo kovancev. Prosim, ponovno napolnite.>>>"
ScotApp_579,579neuporabljenih
ScotApp_479,Oddaj kupone
ScotApp_379,Sprejemalec gotovine
ScotApp_279,Potrdi vse zapisane varnostne težave.
ScotApp_179,179neuporabljenih
ScotApp_1865,Glej predmet\nbrez teže
ScotApp_1207,OVERJENI PODPIS
ScotApp_1638,"Preverite kable ločevalnika kovancev in ponovno poskusite. Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis.\n\nNapaka SafePay: %s"
ScotApp_979,Prag = %d zahteve stranke
ScotApp_707,Prejšnjih 7 dni
ScotApp_607,Nastavi izvajanje dajanja v vrečke
ScotApp_507,Vizualno overi izdelke
ScotApp_307,Druga embalaža
ScotApp_207,207neuporabljenih
ScotApp_107,Asistent prihaja
ScotApp_1219,OMEJENA STAROST
ScotApp_907,907neuporabljenih
ScotApp_807,Odstrani varovalne oznake
ScotApp_1077,Vrni izdelke na trak
ScotApp_1428,Spremenite ceno izdelka: \n%s
ScotApp_1695,Popravi kasneje
ScotApp_1206,NEDEAKTIVIRAN IZDELEK
ScotApp_1218,ZBIRKA
ScotApp_1782,ZAČNITE TRANSAKCIJO V
ScotApp_1273,OPREDELJENUPORABNIK15
ScotApp_1624,Prenesi vse bankovce v kaseto
ScotApp_793,793neuporabljenih
ScotApp_1059,1059neuporabljenih
ScotApp_593,NCR SelfServ ZajPod blagajne se nalaga ...
ScotApp_493,Vaš račun se bo natisnil pod plačilno napravo.
ScotApp_393,Tiskalnik zapisnika
ScotApp_293,Zahteva za asistenco
ScotApp_1205,PODPORA DAJANJA V VREČKE
ScotApp_993,Zaprta vrsta
ScotApp_893,DBM se nalaga ...
ScotApp_1063,1063neuporabljenih
ScotApp_1414,Ta vrsta ni na voljo dokler napajanje ni ponovno vzpostavljeno.
ScotApp_1182,LIMIT ZNESKA KUPONA
ScotApp_1201,PONUDBA Z ASISTENCO
ScotApp_1075,Omejitev\Preskoči trak
ScotApp_1348,Zaprta vrsta
ScotApp_1671,Odprite enoto ločevalnika bankovcev in odstranite bankovce iz kasete. Zaprite enoto ločevalnika.\nOdstranite kovance iz zbiralnika in posode za drobiž.
ScotApp_1204,ŠTEVILKA DOKUMENTA
ScotApp_1284,1284neuporabljenih
ScotApp_1062,1062neuporabljenih
ScotApp_1233,DRUGO PLAČILO
ScotApp_27,27neuporabljenih
ScotApp_1074,Odobritev za preskočitev traku.
ScotApp_1472,Ločevalnik gotovine ni pripravljen
ScotApp_1026,Prekliči trans.
ScotApp_1061,1061neuporabljenih
ScotApp_1617,Vnesen znesek presega kapacitete. Ponovno vnesite štetje polnjenja za koš zavrnjenih. Maksimalna kapaciteta je %d.
ScotApp_1050,1050neuporabljenih
ScotApp_744,744neuporabljenih
ScotApp_1591,Preverite povezave kablov do avtomata za izdajo kovancev
ScotApp_1130,Napaka sprejemalca računa
ScotApp_1270,OPREDELJENUPORABNIK12
ScotApp_1629,Težava s CPU nastavitvami ali Sysdata parametri.  Prosim pokličite servis.\n\nNapaka SafePay: %s
ScotApp_1820,"Odstranite izdelek s tehtnice in pritisnite gumb "">0<"" na skenerju."
ScotApp_882,Potrdite začasno zaustavitev.
ScotApp_1440,Upravljanje računa
ScotApp_1407,PONOVNI ZAGON
ScotApp_727,727neuporabljenih
ScotApp_627,Transakcija #:
ScotApp_527,527neuporabljenih
ScotApp_427,Mediji nizki
ScotApp_327,"Naprava ni povezana, preverite povezave in/ali dnevnik dogodkov:"
ScotApp_227,V čitalec kartic je vstavljena neveljavna kartica
ScotApp_127,127neuporabljenih
ScotApp_665,"Izberite ""Prekliči vse"" ali ""Pojdi nazaj"" za nadaljevanje."
ScotApp_1060,"PROSIM, POČAKAJTE ..."
ScotApp_1616,"Vnesite štetje polnjenja za koš zavrnjenih. Maksimalni znesek, ki ga lahko napolnite je %d."
ScotApp_927,Okvara naprave
ScotApp_827,Skenirajte črtno kodo izdelka in ga položite v vrečko.
ScotApp_1540,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_900,Položite izdelek v vrečko.
ScotApp_1277,OPREDELJENUPORABNIK19
ScotApp_865,Overi lastnika kartice
ScotApp_506,506neuporabljenih
ScotApp_406,406neuporabljenih
ScotApp_306,Brez embalaže
