AmountSaved,Economie
ScotApp_1556,Décharger Accepteur
ScotApp_1412,"Fonctions d'aide"
ScotApp_1783,COUVERCLE DE SÉCURITÉ OUVERT
ScotApp_1232,SIGNATURE APPROUVEE
ScotApp_1568,Grand Total :           %s
ScotApp_1800,"Sélectionner un mode d'opération"
ScotApp_1495,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1621,Déverrouiller la cassette des billets
ScotApp_1346,Lane est déconnectée et le système tente de se reconnecter.
ScotApp_72,72unused
ScotApp_62,Oui
ScotApp_52,Annuler les coupons
ScotApp_42,Articles annulés
ScotApp_32,Continuer
ScotApp_12,  Qté %d @ %s/chacun
ScotApp_1411,Changer la quantité
ScotApp_92,Bienvenue !
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Fin de la période du rapport
ScotApp_1620,Déverrouiller le capot du bac de billets
ScotApp_1345,Fin du Gestionnaire de sécurité...
ScotApp_1819,"Erreurs de l'accepteur du recycleur de pièces"
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Accepteur	
ScotApp_462,Autorisation à distance chargée.
ScotApp_362,Saisir le mot de passe
ScotApp_262,262unused
ScotApp_162,Scannez vos coupons et articles.
ScotApp_1410,Changer le prix
ScotApp_962,"Prenez l'article annulé à la caisse, puis touchez ""Approuver annulation""."
ScotApp_862,Saisir la valeur du coupon:
ScotApp_1806,"\n* Appuyez sur ""Cartes uniquement"" pour terminer la transaction et rendre manuellement son change au client."
ScotApp_1088,1088unused
ScotApp_1627,Erreur du recycleur de billets/de monnaie
ScotApp_741,741unused
ScotApp_641, Pds.moy.   Approuvé    Compte    Type tol.    Valeur tol.   Date
ScotApp_541,"Imprimer un code à barres d'opérateur"
ScotApp_441,Confirmez le montant
ScotApp_341,341unused
ScotApp_241,Gestionnaire de périphériques: erreur imprévue
ScotApp_141,Sélectionnez le type de carte
ScotApp_941,Article annulé
ScotApp_841,"Saisie d'article"
ScotApp_1873,1873unused
ScotApp_25,Date de naissance:
ScotApp_720,720unused
ScotApp_520,"Code d'article inconnu"
ScotApp_420,420unused
ScotApp_320,Retour
ScotApp_220,"* Ouvrir la porte de l'armoire de l'imprimante.\n* Ouvrir le couvercle de l'imprimante pour rechercher d'éventuels bourrages.\n* Mettre un nouveau rouleau de papier dans l'imprimante.\n* Fermer et verrouiller la porte de l'armoire de l'imprimante."
ScotApp_120,Transaction annulée. Retirez
ScotApp_1626,"Insérez des espèces pour réalimenter l'unité ou sélectionnez une autre fonction."
ScotApp_1423,Tentative de connexion du scanneur portable.
ScotApp_920,Approuver/ Pas de mise à jour.
ScotApp_820,Approuver annulation
ScotApp_1757,"Pour ajouter un accent, appuyez sur une touche d'accent au bas de l'écran, puis tapez la lettre."
ScotApp_1872,1872unused
ScotApp_754,Résumé des 7 derniers jours
ScotApp_554,"N'insérez pas de carte de paiement pour l'instant."
ScotApp_1613,Récupérateur de billets
ScotApp_354,Fonctions système
ScotApp_254,Distributeur de monnaie: hors service\nRemplir distributeur ou\nMettre en marche ou\nRetirer le blocage
ScotApp_154,Chargement...
ScotApp_1769,Saisir code
ScotApp_1240,ESPECE
ScotApp_954,"Erreur d'ouverture de Smart Scale"
ScotApp_854,Cinq articles
ScotApp_1547,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1403,"Arrêtez et redémarrez le programme NCR SelfServ Checkout. Si l'erreur est encore présente, contactez votre service d'assistance."
ScotApp_545,Article à vente restreinte
ScotApp_1559,Quitter
ScotApp_1871,%s %s observé
ScotApp_1612,Gestion de cartes
ScotApp_1550,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_845,Scannez articles supplémentaires:
ScotApp_1564,Saisissez Charger nombre pour %s
ScotApp_1768,Unité de poids non supportée.
ScotApp_1272,USERDEFINED14
ScotApp_1546,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_74,Approuver les annulations
ScotApp_64,Annuler sélection
ScotApp_54,Annuler
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Quitter & Enregistrer
ScotApp_14,14unused
ScotApp_1870,%s %s attendu
ScotApp_1389,Défaillance du périphérique de saisie de signature
ScotApp_1611,     Récupérateur de billets plein
ScotApp_94,94unused
ScotApp_84,Options de chargement
ScotApp_1289,B - C
ScotApp_687,"Impression de l'état"
ScotApp_587,Signature
ScotApp_487,Bas
ScotApp_387,Blocage du transport
ScotApp_287,Scanner: Étiquette invalide
ScotApp_1545,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1336,Utilitaire
ScotApp_987,Remplacez-le par le bon article.
ScotApp_887,Article retiré
ScotApp_555,Autre paiement
ScotApp_1610,     Récupérateur de billets presque plein (%s) 
ScotApp_1041,Approuvez signature
ScotApp_1691,Gestion monnaie
ScotApp_1809,Erreurs du distributeur du recycleur de pièces
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,IDENTITE VERIFIEE
ScotApp_561,Mettez le coupon de côté
ScotApp_461,"Chargement de l'autorisation à distance en cours..."
ScotApp_361,Caisse fermée
ScotApp_261,261unused
ScotApp_961,"Erreur de la base de données d'apprentissage de poids: Recherchez d'éventuelles erreurs dans le journal des événements, puis appuyez sur ""J'ai corrigé le problème""."
ScotApp_861,861unused
ScotApp_1876,%s %s observé
ScotApp_740,740unused
ScotApp_640,Poids existants dans la BD
ScotApp_540,540unused
ScotApp_340,"Sélectionnez l'article dans la liste. Utilisez les flèches pour faire défiler vers le haut ou vers le bas."
ScotApp_240,Gestionnaire de périphériques: panne générale
ScotApp_140,Merci
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,FRAIS DE MONTAGE
ScotApp_940,Annulation
ScotApp_840,"Saisie d'article:"
ScotApp_1863,"Appuyez sur ""Approuver"" ou ""Annuler article"""
ScotApp_1463,Différence en valeur
ScotApp_1875,%s %s attendu
ScotApp_774,Points obtenus:
ScotApp_674,"""Raison du refus du paiement:"""
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Translation not required
ScotApp_174,"Impossible de trouver l'article scanné. Il n'a pas encore été\nacheté ou a déjà été annulé."
ScotApp_1029,Insérer coupon
ScotApp_974,974unused
ScotApp_1679,Erreur de la bibliothèque de billets
ScotApp_1747,"Erreur du lecteur d'empreintes digitales"
ScotApp_1862,"Vérifiez l'article sur la balance-scanner"
ScotApp_1603,     Le niveau du bac du distributeur de carte est normal
ScotApp_1419,Multi-Pack
ScotApp_1759,Récipient à bons de réduction plein
ScotApp_649,Prix encodé.
ScotApp_1039,Les articles précédents ont des dispositifs antivol.
ScotApp_849,Quantité requise
ScotApp_765,765unused
ScotApp_565,Connexion au magasin
ScotApp_1549,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1861,PICK LIST
ScotApp_1731,Chargement des images de la PL en cours...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Annuler le paiement
ScotApp_46,Aide
ScotApp_36,Remboursé:
ScotApp_26,26unused
ScotApp_16,%s sera débité sur votre carte.
ScotApp_719,719unused
ScotApp_619,Sélect. <Saisir tolérance> ou <Défaut> pour modif. tolérance actuelle.
ScotApp_519,Coupon trop élevé
ScotApp_419,419unused
ScotApp_319,Paiement par carte
ScotApp_219,219unused
ScotApp_119,Annuler tous les articles
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Sélectionnez dans la liste
ScotApp_1038,Vérifiez signature
ScotApp_919,"Vérifiez le poids de l'article et touchez ""Approuver & Mettre à jour"" ou touchez ""Approuver/ Pas de mise à jour""."
ScotApp_1489,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1745,"Le lecteur d'empreintes digitales est débranché.\n\nVeuillez réessayer."
ScotApp_1860,Sélectionnez des articles avec assistance dans la Pick List ou cherchez-les par ordre alphabétique.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Mise en attente à la caisse
ScotApp_686,Hier
ScotApp_586,"Coupons: %0,0ld/$%0,2lf"
ScotApp_486,Haut
ScotApp_386,Cassette retirée
ScotApp_286,"Scanner: Préfixe2 d'étiquette invalide"
ScotApp_186,186unused
ScotApp_1488,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_986,986unused
ScotApp_886,"Remettez articles ou touchez ""Article retiré""."
ScotApp_1393,"Arrêtez et redémarrez le programme NCR SelfServ Checkout. Si l'erreur persiste, contactez le service d'assistance."
ScotApp_1867,Vue de la caméra obstruée
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,"Annuler l'achat"
ScotApp_1024,1024unused
ScotApp_760,Passez votre carte sur le côté de ce moniteur.
ScotApp_660,Tous niveaux de numéraire OK
ScotApp_460,Ceci terminera votre achat.
ScotApp_360,Fermer la caisse
ScotApp_260,260unused
ScotApp_1392,Erreur du voyant tricolore
ScotApp_960,\nPoids maximal autorisé dépassé.\n\nRetirez les articles de la balance.
ScotApp_860,Mesure requise :
ScotApp_1866,"Plus d'articles populaires"
ScotApp_1459,Rapport de gestion des espèces
ScotApp_1239,AUCUN
ScotApp_1301,Modifier Liste de choix
ScotApp_1749,"Traitement de l'empreinte digitale en cours"
ScotApp_1017,Effacez les articles enregistrés.
ScotApp_1771,Valeur limite des bons de réduction
ScotApp_739,739unused
ScotApp_639,Poids probable Vérif.poids
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,Gestionnaire de périphériques: état non prévu
ScotApp_1092,Contenu de rapport
ScotApp_1851,Ne pas approuver  
ScotApp_1238,AUTRE PAIEMENT
ScotApp_939,Délai expiré
ScotApp_839,Annuler action
ScotApp_1333,Retour arrière
ScotApp_24,Annulé
ScotApp_1016,Articles empilés sur le tapis roulant
ScotApp_1615,Touchez le bouton Décharger Distributeur pour le décharger
ScotApp_1723,Trn formation
ScotApp_1028,Limite du coupon dépassée
ScotApp_1435,Erreur du Distributeur de monnaie\billets
ScotApp_1698,"Touchez ""Condition corrigée""."
ScotApp_1688,Erreur de cassette
ScotApp_454,454unused
ScotApp_1593,Retirez les pièces
ScotApp_1642,Erreur du recycleur de billets
ScotApp_1015,Articles empilés
ScotApp_785,785unused
ScotApp_685,Horaire
ScotApp_585,585unused
ScotApp_536,Monnayeur
ScotApp_385,385unused
ScotApp_285,"Scanner: Suffixe d'étiquette invalide"
ScotApp_185,Comparez la signature du client à celle qui se trouve sur la carte.
ScotApp_1224,PRIX REQUIS
ScotApp_985,"Mettez l'article sur le tapis roulant."
ScotApp_885,Alerte de mise en sac
ScotApp_575,Terminez le paiement en espèces. Solde dû.
ScotApp_475,Transaction mise en attente
ScotApp_375,Imprimante: délai dépassé
ScotApp_1002,Pas à vendre
ScotApp_1888,"Examinez la sécurité de la transaction du client et appuyez sur ""Annuler l'alerte""."
ScotApp_910,910unused
ScotApp_1592,"Retirez les pièces bloquées du bac concerné. Retournez le bac. Tournez la vis vers la droite jusqu'à ce que vous puissiez retirer la pièce. Ne forcez pas."
ScotApp_875,"ID de la chef-caissière pour annuler l'achat"
ScotApp_1014,Dégagez articles empilés sur tapis
ScotApp_1572,Souhaitez-vous vraiment ignorer les changements dans l’écran Gestion de monnaie ?
ScotApp_1790,Cartes de crédit/débit uniquement
ScotApp_1344,Gestionnaire de sécurité chargé...
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Le stockage du formulaire %d a échoué !
ScotApp_498,Montant payé:
ScotApp_398,Cassette insérée
ScotApp_298,298unused
ScotApp_198,"Chargement des sorties d'utilisateur en cours..."
ScotApp_998,Quantité
ScotApp_898,Fin de WTINFO...
ScotApp_1416,Vérifiez le multi-pack
ScotApp_1431,Annuler tout
ScotApp_1236,Traitement de rapport en cours...
ScotApp_1770,Sélectionnez parmi les résultats de recherche.
ScotApp_1000,Non trouvé
ScotApp_1439,"Limite ""Sac/Carton"" dépassée"
ScotApp_1217,ANNULATION
ScotApp_759,Passez votre carte dans le terminal de paiement.
ScotApp_659,Etat de la devise: bas
ScotApp_559,Aucun coupon
ScotApp_459,Il restera un solde pour cet achat.
ScotApp_359,Fonctions système
ScotApp_259,Fin du gestionnaire de périphériques...
ScotApp_1007,Aide demandée
ScotApp_1438,"Limite ""Nouvel article"" dépassée"
ScotApp_959,"Base de données d'apprentissage de poids"
ScotApp_859,Non
ScotApp_1216,SECURITE
ScotApp_1373,COLLECTER LA CARTE CADEAU
ScotApp_1005,Validation visuelle
ScotApp_1655,Dépt. Ventes 
ScotApp_1228,EN ATTENTE
ScotApp_1725,Sécurité désactivée
ScotApp_1006,Autre paiement
ScotApp_496,Limite de quantité
ScotApp_1018,Ans minimum.
ScotApp_1160,"Vérifier connexion du câble à l'arrière du PinPad.\n\nSi le câble est bien fixé, toucher ""J'ai corrigé le problème"".\n\nSi l'erreur persiste, éteindre et redémarrer le terminal."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Pour connecter le scanner portable, touchez ""Connecter""."
ScotApp_1202,CAISSE FERMEE
ScotApp_679,"Etats d'assistance"
ScotApp_1792,Cartes uniquement
ScotApp_1214,RECU
ScotApp_1804,"Quitter le mode ""Cartes uniquement"""
ScotApp_879,879unused
ScotApp_1072,Information requise
ScotApp_1631,Erreur du validateur de billets
ScotApp_1148,Panne des pièces de la balance de sécurité
ScotApp_1244,"DEBITER COMPTE D'EPARGNE"
ScotApp_1004,Vérifier art.
ScotApp_1282,Prix requis pour :
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,PRIX
ScotApp_1639,Erreur du recycleur de monnaie
ScotApp_1828,\n    - Niveau de volume %d%%
ScotApp_1308,NIP entré
ScotApp_1417,"Dans le multi-pack, touchez ""Mode Assistance"" pour annuler l'article, puis scannez le code à barres du multi-pack"
ScotApp_1343,Chargement du Gestionnaire de sécurité...
ScotApp_779,779unused
ScotApp_1429,<<<Niveau des pièces bas. Veuillez remplir.>>>
ScotApp_579,579unused
ScotApp_479,Déposez les coupons.
ScotApp_379,Monnayeur espèces
ScotApp_279,Actez les probl. de sécurité enregistrés.
ScotApp_179,179unused
ScotApp_1865,Rech. art.\n sans poids
ScotApp_1207,SIGNATURE VERIFIEE
ScotApp_1638,"Vérifiez les câbles de connexion au recycleur de monnaie et réessayez. Si l'erreur revient, appelez la maintenance.\n\nErreur SafePay: %s"
ScotApp_979,Seuil = %d demandes client
ScotApp_707,7 derniers jours
ScotApp_607,"Définir l'obligation de mise en sac"
ScotApp_507,Vérifiez les articles visuellement
ScotApp_307,Autre emballage
ScotApp_207,207unused
ScotApp_107,Vous allez être aidé.
ScotApp_1219,"LIMITE D'AGE"
ScotApp_907,907unused
ScotApp_807,Retirer les dispositifs de sécurité
ScotApp_1077,Remettez les articles sur le tapis roulant
ScotApp_1428,"Modifier le prix pour l'article: \n%s"
ScotApp_1695,Réparer après
ScotApp_1206,ARTICLE NON DESACTIVE
ScotApp_1218,COLLECTION
ScotApp_1782,DÉMARRER LA TRANSACTION EN MP
ScotApp_1273,USERDEFINED15
ScotApp_1624,Transférer tous les billets dans la cassette
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout SigCap: chargement en cours...
ScotApp_493,Votre reçu sortira sous le terminal de paiement.
ScotApp_393,Imprimante journal
ScotApp_293,"Demandez de l'aide"
ScotApp_1205,SAUVEGARDE DE LA ZONE DE MISE EN SAC
ScotApp_993,Caisse fermée
ScotApp_893,Chargement de DBM...
ScotApp_1063,1063unused
ScotApp_1414,"Cette caisse n’est pas disponible tant que l'alimentation n’aura pas été rétablie."
ScotApp_1182,LIMITE DU MONANT DU COUPON
ScotApp_1201,PAIEMENT ASSISTE
ScotApp_1075,Limite\Passer tapis roulant
ScotApp_1348,Caisse fermée
ScotApp_1671,"Ouvrez l'unité de recyclage des billets et retirez les billets de la cassette. Fermez l'unité de recyclage.\nDéchargez les pièces du distributeur et retirez-les du bac de monnaie."
ScotApp_1204,NUMERO DE DOCUMENT
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,AUTRE PAIEMENT
ScotApp_27,27unused
ScotApp_1074,Approbation pour passer tapis roulant.
ScotApp_1472,"Le périphérique de recyclage des espèces n'est pas prêt"
ScotApp_1026,AnnulerTrans
ScotApp_1061,1061unused
ScotApp_1617,Le montant entré excède la capacité. Ré-entrez le montant charger compte pour le bac du distributeur. La capacité maximale est %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Vérifiez la connexion des câbles au distributeur de pièces.
ScotApp_1130,"Erreur de l'accepteur de billets"
ScotApp_1270,USERDEFINED12
ScotApp_1629,Problème avec les paramètres de la CPU ou des données Sysdata. Merci de contacter le Service.\n\nErreur SafePay: %s
ScotApp_1820,"Retirez l'article de la balance et appuyez sur le bouton "">0< du scanner."
ScotApp_882,Confirmer la mise en attente.
ScotApp_1440,Gestion des billets
ScotApp_1407,Redémarrer
ScotApp_727,727unused
ScotApp_627,Numéro de transaction:
ScotApp_527,527unused
ScotApp_427,Media faible
ScotApp_327,"Appareil hors ligne, vérifiez les connexions et/ou le journal des événements:"
ScotApp_227,"Lecteur de carte: insertion d'une carte invalide"
ScotApp_127,127unused
ScotApp_665,Sélectionnez Tout annuler ou\nRetour pour continuer.
ScotApp_1060,Veuillez patienter...
ScotApp_1616,Saisissez Charger compte pour le bac du distributeur. Le montant maximum possible est %d.
ScotApp_927,"Dysfonctionnement de l'appareil"
ScotApp_827,"Scannez l'article et mettez-le dans la zone d'emballage."
ScotApp_1540,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_900,"Placez l'article dans la zone de mise en sac."
ScotApp_1277,USERDEFINED19
ScotApp_865,Vérifier titulaire de la carte
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Pas de récipient
ScotApp_206,Les options seront chargées.
ScotApp_106,Aide requise
ScotApp_1209,LIMITE DE LA CARTE CADEAU DEPASSEE
ScotApp_806,Approuver des articles à validation visuelle
ScotApp_1067,1067unused
ScotApp_1418,Poids maximal autorisé dépassé
ScotApp_1473,"Le périphérique n'est pas prêt.\n\nAllumez-le, vérifiez le câble de communication ou placez l'unité dans l'armoire."
ScotApp_187,187unused
ScotApp_1716,PP:
ScotApp_1190,COUPON ENTRE
ScotApp_1602,     Le niveau du bac du distributeur de cartes est bas (%s)
ScotApp_1149,Erreur imprimante de ticket
ScotApp_1066,1066unused
ScotApp_1614,Bac du distributeur
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,Cryptage NCR SelfServ Checkout: chargé.
ScotApp_492,Veuillez prendre votre monnaie.
ScotApp_392,Articles inconnus
ScotApp_292,Impossible de scanner un coupon
ScotApp_192,192unused
ScotApp_1241,CARTE DE CREDIT
ScotApp_1197,TRANSACTION ANNULEE
ScotApp_1548,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_992,Saisir la date de naissance
ScotApp_892,Fin de Smart Scale...
ScotApp_1053,Attendez que la caissière apporte le ticket à signer.
ScotApp_1404,"Le serveur POS est déconnecté ou non synchronisé, veuillez arrêter le terminal."
ScotApp_1245,DEBITER COMPTE CHEQUES
ScotApp_1262,USERDEFINED4
ScotApp_1471,Erreur du périphérique de recyclage de monnaie
ScotApp_1196,NUMERO DU PERMIS DE CONDUIRE
ScotApp_1052,1052unused
ScotApp_1600,Etat du distributeur de cartes :
ScotApp_1663,le bac est vide ou bloqué
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Remplir complètement tous les conduits de pièces dans le magasin de pièces.\n\nPasser en mode Magasin, sélectionner ""État Cash / Papier"" et toucher le bouton ""Distributeur de monnaie rempli""."
ScotApp_1183,PRIX
ScotApp_1470,Erreur du périphérique de recyclage des billets
ScotApp_1195,MISE EN ATTENTE CSA
ScotApp_1229,AIDE DEMANDEE
ScotApp_1051,Approbation par signature de ticket
ScotApp_1607,     Récupérateur de billets normal (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Votre compte de client régulier\na été activé.
ScotApp_347,"L'article à vente restreinte a été annulé - la limite d'âge n'a pas été respectée. Veuillez mettre l'article de côté."
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Mise en attente
ScotApp_769,Confirmer ou annuler la mise en attente
ScotApp_947,"Nouveau poids d'article"
ScotApp_847,Scanning terminé
ScotApp_1477,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_726,726unused
ScotApp_626,Tolérance:
ScotApp_526,\nMauvais code secret.\nInsérez une autre carte\n   -ou-\nPayez en espèces
ScotApp_426,Caisse n°:
ScotApp_326,"La date de naissance ne correspond pas à la limite d'âge pour les articles réglementés."
ScotApp_226,Lecteur de carte: inutilisable
ScotApp_126,(mmjjaa).
ScotApp_1606,     Récupérateur de billets normal
ScotApp_926,Articles non remis dans la zone de mise en sac.
ScotApp_826,Passer emballage
ScotApp_1267,USERDEFINED9
ScotApp_1618,"Cassette du distributeur de billets hors emplacement ou mal insérée.\n\nInstallez ou replacez la cassette de billets jusqu'à verrouillage."
ScotApp_1181,LIMITE DU COUPON DEPASSEE
ScotApp_205,Copie terminée.
ScotApp_105,Article inconnu
ScotApp_1476,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1730,Rech.
ScotApp_1390,Le périphérique ne répond pas
ScotApp_805,Approuver des articles
ScotApp_1864,Allez à la caisse
ScotApp_1408,Aide
ScotApp_1266,USERDEFINED8
ScotApp_1180,PAS DE CORRESPONDANCE DE PRIX
ScotApp_1208,VENDU EN MODE ASSISTANCE
ScotApp_1475,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1397,Préposé
ScotApp_1748,Échec de la connexion par empreinte digitale
ScotApp_718,718unused
ScotApp_618,Tolérance de poids
ScotApp_518,Insérez des espèces.
ScotApp_1253,PIP FIDELITY
ScotApp_1604,     Le niveau du bac du distributeur de cartes est normal (%s)
ScotApp_218,Presque vide
ScotApp_118,Autorisation requise
ScotApp_552,"L'ID opérateur et le mot de passe ne peuvent pas commencer par zéro."
ScotApp_791,Choisir mode paiement
ScotApp_691,691unused
ScotApp_591,Cryptage NCR SelfServ Checkout: chargement en cours...
ScotApp_391,Articles dont le prix est requis
ScotApp_918,"Pas d'enregistrement du poids de l'article."
ScotApp_1187,ERREUR DE PERIPHERIQUE
ScotApp_991,"Vérification de l'âge"
ScotApp_891,Smart Scale chargé
ScotApp_1474,"Erreur matérielle. Code d'erreur E%d"
ScotApp_1396,Quitter le mode Préposé
ScotApp_1252,"PIP CARTE DE DEBIT ET RETRAIT D'ESPECES"
ScotApp_1732,Images de la PL chargées.
ScotApp_1461,Monnaie
ScotApp_1166,"Ouvrir la porte de l'armoire de l'imprimante.\n* Déverrouiller et pousser l'imprimante.\n* Ouvrir le couvercle de l'imprimante pour rechercher d'éventuels bourrages.\n* Pousser doucement l'imprimante jusqu'à son blocage en position."
ScotApp_1186,DIMINUTION NON PREVUE
ScotApp_1857,  Ne pas mettre sur le tapis
ScotApp_1829,Approuver
ScotApp_1670,Erreur du recycleur de billets/de monnaie
ScotApp_1198,NUMERO DE COMPTE ENTRE
ScotApp_1869,Main dans le champ
ScotApp_1251,PIP DEBITER
ScotApp_1855,En option
ScotApp_767,Support normal
ScotApp_667,Carte insérée. Scannez vos coupons et articles.
ScotApp_567,Entrée
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Sécurité
ScotApp_1460,Billets
ScotApp_1185,"LIMITE ""MISE EN SAC/CARTON"" DEPASSEE"
ScotApp_1009,Mode magasin
ScotApp_867,Non
ScotApp_1856,  Ne pas ensacher
ScotApp_1677,"Vérifiez que la porte de l'unité de recyclage des pièces est fermée."
ScotApp_746,746unused
ScotApp_646,O
ScotApp_1394,"Erreur de l'interface numérique"
ScotApp_446,Transaction mise en attente
ScotApp_346,"Distributeur Automatique Bancaire (distribution d'espèces)"
ScotApp_246,246unused
ScotApp_146,Veuillez choisir votre mode de paiement.
ScotApp_1501,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1609,     Récupérateur de billets presque plein
ScotApp_1194,"NUMERO D'AUTORISATION"
ScotApp_946,Approbation Sac/Carton
ScotApp_846,"Scannez des articles ou touchez ""Scanning terminé""."
ScotApp_1843,V. sac
ScotApp_1467,"Utilisez l'écran ""État Cash / Papier"" pour enlever les espèces."
ScotApp_725,725unused
ScotApp_625,Saisissez une tolérance de poids entre <%s> et <%s>.
ScotApp_1381,Traitement en cours...
ScotApp_425,425unused
ScotApp_325,La date saisie est invalide.
ScotApp_225,Lecteur de carte: compartiment de saisie inséré
ScotApp_1676,"Ouvrir la porte de l'unité de recyclage des pièces"
ScotApp_925,925unused
ScotApp_825,"Mettre l'article en sac"
ScotApp_1608,     Récupérateur de billets vide
ScotApp_1842,Aide complète
ScotApp_1808,"Sélectionnez l'article sur le ticket."
ScotApp_1466,Etat du recycleur des espèces plein
ScotApp_1380,prix
ScotApp_1854,En option
ScotApp_1675,Erreur du recycleur de monnaie
ScotApp_1597,Carte de fidélité
ScotApp_1350,%s\n%s %s ajouté
ScotApp_738,738unused
ScotApp_638,Infos sur tolérance de poids
ScotApp_538,538unused
ScotApp_338,"Tapez les 3 premières lettres de l'article."
ScotApp_238,"L'accepteur d'espèces n'a pas\n enregistré les espèces insérées.\nVérifiez la cassette de billets."
ScotApp_138,Prenez votre carte
ScotApp_1170,"* Ouvrez le capot  de l'imprimante et vérifiez s'il n'y a pas de bourrage dans la zone indiquée. \n* Enlevez le papier.\n* Fermez le capot de l'imprimante et rechargez du papier.\n* Si l'erreur persiste, redémarrez le terminal."
ScotApp_1841,Veuillez vous rendre à la caisse pour approbation
ScotApp_1740,Vérifiez le sac
ScotApp_938,938unused
ScotApp_838,Contrat client
ScotApp_1133,Bourrage dans accepteur de billets.
ScotApp_1387,"Erreur fatale de logiciel. \nRedémarrez le terminal.\n\nPour redémarrer le terminal :\nAmenez la clé Superviseur en position 'S' -OU- Appuyez sur le bouton Superviseur.\n*Sélectionnez Rédemarrer le système.\nAppelez le support technique et signalez-leur l'erreur."
ScotApp_1674,"Appuyez sur le bouton d'éjection pour libérer les pièces coincées. Si l'erreur persiste, il se peut qu'une pièce soit coincée. Ouvrez le capot du bac de pièces et bloquez-le. Retirez les pièces coincées. Appuyez sur lebouton d'éjection pour réinitialiser le système. Débloquez le capot et refermez le bac."
ScotApp_1650,(jjmmaa)
ScotApp_690,690unused
ScotApp_590,Fin des paramètres par défaut du périphérique...
ScotApp_490,"Scannez vos articles ou appuyez sur ""Démarrer"" pour commencer."
ScotApp_390,Articles rappelés
ScotApp_290,290unused
ScotApp_190,Chargement en cours du Transaction Broker...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Chargement de Smart Scale...
ScotApp_1772,Coupon
ScotApp_1661,"Impossible d'imprimer le reçu. Toucher ""Autres reçus"" pour recommencer"
ScotApp_1132,Erreur de communication.
ScotApp_1386,Erreur fatale
ScotApp_784,Distributeur de billets non fonctionnel\nRemplir distributeur de billets ou\nRemédier au blocage ou\nAjuster le récupérateur.
ScotApp_684,Aujourd’hui
ScotApp_584,EBT refusé.
ScotApp_484,Signature requise
ScotApp_384,384unused
ScotApp_284,Scanner: données perdues
ScotApp_1595,Langue par défaut
ScotApp_1451,ID caissière
ScotApp_984,Takeaway Belt chargé
ScotApp_884,Annuler la mise en attente
ScotApp_1847,"Article ajouté. Scannez l'article suivant ou appuyez sur ""Tapez le code""."
ScotApp_1660,"Sélectionner l'option d'impression"
ScotApp_1131,La cassette de billets est retirée ou mal insérée.
ScotApp_1385,Sélectionnez la langue
