AmountSaved,Epargné
ScotApp_860,Mesure requise:
ScotApp_1866,Autres articles très demandés
ScotApp_1459,Rapport de gestion des espèces
ScotApp_1239,AUCUNE
ScotApp_1301,Modifier liste de choix
ScotApp_1749,Traitement de l’empreinte
ScotApp_1017,Dégagez les articles entassés sur le convoyeur.
ScotApp_1771,Limite de valeur du coupon
ScotApp_739,739unused
ScotApp_639,Poids probable Vérif. poids
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,État de gestionnaire de périphériques imprévu
ScotApp_1092,Contenu du rapport
ScotApp_1851,N’approuvez pas  
ScotApp_1238,AUTRE PAIEMENT
ScotApp_939,Minuteur expiré
ScotApp_839,Annuler action
ScotApp_1333,Recule
ScotApp_24,Annulé
ScotApp_1016,Articles entassés sur le convoyeur
ScotApp_1615,"Appuyez sur le bouton ""Cueillette de l’argent dans le distributeur"" pour le vider"
ScotApp_1723,Transac. entraîn.
ScotApp_1028,Limite coupons excédée
ScotApp_1435,Erreur du distributeur de monnaie/billets
ScotApp_1698,"Appuyez sur ""Problème corrigé""."
ScotApp_1688,Erreur liée à la cassette
ScotApp_454,454unused
ScotApp_1593,Retirer les pièces
ScotApp_1642,Erreur du recycleur de billet
ScotApp_1015,Articles entassés
ScotApp_785,785unused
ScotApp_685,À l’heure
ScotApp_585,585unused
ScotApp_536,Accepteur de monnaie
ScotApp_385,385unused
ScotApp_285,"Scanneur : Suffixe d'étiquette non valide"
ScotApp_185,Comparez la signature du client à celle qui se trouve sur la carte.
ScotApp_1224,PRIX NÉCESSAIRE
ScotApp_985,Placez l’article sur le convoyeur.
ScotApp_885,Alerte de mise en sac
ScotApp_575,"Finissez le dépôt d'argent comptant.  Solde dû."
ScotApp_475,Transaction suspendue
ScotApp_375,"Temporisation d'imprimante"
ScotApp_1002,Non vente
ScotApp_1888,Contrôlez la transaction du client relativement à la sécurité et appuyez sur « Accepter ».
ScotApp_910,910unused
ScotApp_1592,"Retirer la monnaie de l'emplacement où elle est bloquée. Incliner l’emplacement. Tourner la vis vers la droite jusqu’à ce que vous puissiez retirer la monnaie. Ne pas utiliser de force excessive."
ScotApp_875,"Code du superviseur est requis pour annuler l'achat."
ScotApp_1014,Dégagez les articles entassés\ndu convoyeur.
ScotApp_1572,Êtes-vous certain de vouloir ignorer les modifications apportées à l’écran Gestion de la monnaie?
ScotApp_1790,Crédit / Débit seulement
ScotApp_1344,Directeur de sécurité chargé...
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Le stockage du formulaire %d a échoué !
ScotApp_498,Montant versé :
ScotApp_398,\n* Cassette insérée
ScotApp_298,298unused
ScotApp_198,"Chargement des sorties d'utilisateur en cours..."
ScotApp_998,Quantité
ScotApp_898,WTINFO se termine...
ScotApp_1416,Vérification de l’emballage collectif
ScotApp_1431,Annuler tout
ScotApp_1236,Traitement du rapport en cour...
ScotApp_1770,Faites votre choix parmi les résultats de recherche.
ScotApp_1000,Non trouvé
ScotApp_1439,"Seuil ""Sac/boîte"" dépassé"
ScotApp_1217,ANNULATION
ScotApp_759,Glissez votre carte sur l’appareil de paiement.
ScotApp_659,Statut des Numéraires:
ScotApp_559,Aucun coupon
ScotApp_459,Il restera un solde pour cet achat.
ScotApp_359,Fonctions caissière
ScotApp_259,Fin du gestionnaire de périphériques...
ScotApp_1007,Aide demandée
ScotApp_1438,"Seuil ""Nouvel article"" dépassé"
ScotApp_959,Base de données du poids
ScotApp_859,Non
ScotApp_1216,SÉCURITÉ
ScotApp_1373,RAMASSEZ LA CARTE CADEAU
ScotApp_1005,Validation visuelle
ScotApp_1655,Vente par service
ScotApp_1228,EN ATTENTE
ScotApp_1725,Sécurité désactivée
ScotApp_1006,Autre paiement
ScotApp_496,Limite de quantité
ScotApp_1018,Age minimum.
ScotApp_1160,"Vérifiez que le cable est bien branché au dos du PinPad.\n\nSi le cable est branché correctement, appuyez sur ""J’ai corrigé le problème"".\n\nSi le problème persiste, éteignez et redémarrez le poste."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Pour connecter votre scanner portatif, appuyez sur ""Connecter""."
ScotApp_1202,LIGNE FERMÉE
ScotApp_679,Rapports d’aide
ScotApp_1792,Cartes seulement
ScotApp_1214,RECU
ScotApp_1804,Sortez du mode Cartes seulement
ScotApp_879,879unused
ScotApp_1072,Information requise
ScotApp_1631,Erreur du valideur de billet
ScotApp_1148,Panne des composants de la balance de sécurité
ScotApp_1244,ÉPARGNE DÉBIT
ScotApp_1004,Vérifiez article
ScotApp_1282,Nécessite un prix pour:
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,SOLLICITATION DU PRIX
ScotApp_1639,Erreur du recycleur de monnaie
ScotApp_1828,\n    - Niveau du volume %d%%
ScotApp_1308,NIP entré
ScotApp_1417,"Si emballage collectif, appuyez ""Mode d’assistance"" et annulez l’article, scannez ensuite le code d’emballage collectif"
ScotApp_1343,Chargement du directeur de sécurité...
ScotApp_779,779unused
ScotApp_1429,<<<Bas niveau de monnaie. Veuillez remplir.>>>
ScotApp_579,579unused
ScotApp_479,Remettez les coupons
ScotApp_379,"Accepteur d'argent"
ScotApp_279,Accusez réception de tous les problèmes de sécurité enregistrés.
ScotApp_179,179unused
ScotApp_1865,Rech. artic.\n sans pesage
ScotApp_1207,SIGNATURE VÉRIFIÉE
ScotApp_1638,"Vérifiez le câble du recycleur de monnaie et essayez de nouveau. Si l’erreur survient de nouveau, appelez le service.\n\nErreur SafePay: %s"
ScotApp_979,Limite = %d demandes client
ScotApp_707,7 jours précédents
ScotApp_607,Réglez la mise en sac forcée
ScotApp_507,Vérification visuelle
ScotApp_307,Autre contenant
ScotApp_207,207unused
ScotApp_107,Aide en chemin
ScotApp_1219,RESTRICTION D’AGE
ScotApp_907,907unused
ScotApp_807,Retirez les dispositifs de sécurité
ScotApp_1077,Retournez les articles sur le convoyeur.
ScotApp_1428,Changer le prix pour l’article : \n%s
ScotApp_1695,Réparer plus tard
ScotApp_1206,ARTICLE RÉACTIVÉ
ScotApp_1218,COLLECTION
ScotApp_1782,COMMENCEZ LA TRANSACTION DANS AM (MODE/MENU ASSISTANCE)
ScotApp_1273,USERDEFINED15
ScotApp_1624,Transférer tous les billets dans la cassette
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,Capteur de signature de NCR SelfServ Checkout en chargement...
ScotApp_493,Votre reçu sortira sous l’appareil de paiement.
ScotApp_393,Imprimante de journal
ScotApp_293,"Demande d'aide"
ScotApp_1205,MISE EN SAC DE RÉSERVE
ScotApp_993,Caisse fermée
ScotApp_893,DBM en chargement...
ScotApp_1063,1063unused
ScotApp_1414,Ce poste n’est pas disponible jusrqu’a ce que le courant soit rétabli.
ScotApp_1182,LIMITE DE MONTANT DE COUPON
ScotApp_1201,PAIEMENT ASSISTÉ
ScotApp_1075,Limiter\Éviter le convoyeur.
ScotApp_1348,Couloir fermé
ScotApp_1671,Ouvrez le recycleur de billet et retirez des billets de la cassette. Refermez le recycleur.\nUtilisez le distributeur pour obtenir de la monnaie que vous retirerez ensuite. 
ScotApp_1204,NUMÉRO DE DOCUMENT
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,AUTRE PAIEMENT
ScotApp_27,27unused
ScotApp_1074,"Approbation d'éviter le convoyeur."
ScotApp_1472,"Le périphérique de recyclage des espèces n'est pas prêt"
ScotApp_1026,Annul. Trans.
ScotApp_1061,1061unused
ScotApp_1617,Le montant entré dépasse la capacité. Entrer de nouveau la quantité d’argent insérée dans le compartiment du distributeur. Le maximum est %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Vérifier les connexions entre les câbles et le distributeur de monnaie.
ScotApp_1130,Erreur d’accepteur de billets
ScotApp_1270,USERDEFINED12
ScotApp_1629,Problèmes avec les paramètres de l’UC ou des données système.  Veuillez appeler le service d’assistance.\n\nErreur SafePay: %s
ScotApp_1820,"Retirez l'article de la balance et appuyez sur le bouton "">0<"" du scanneur."
ScotApp_882,Confirmer la mise en attente.
ScotApp_1440,Gestion des billets
ScotApp_1407,Redémarrage
ScotApp_727,727unused
ScotApp_627,Numéro de transaction :
ScotApp_527,527unused
ScotApp_427,Médium faible
ScotApp_327,Appareil hors ligne; vérifiez les connexions ou le journal:
ScotApp_227,"Insertion d'une carte non valide dans le lecteur de carte"
ScotApp_127,127unused
ScotApp_665,"Sélectionnez ""Annulez tout"" ou ""Retour"" pour continuer."
ScotApp_1060,Veuillez attendre...
ScotApp_1616,Entrer la quantité d’argent insérée dans le compartiment du distributeur. Le montant maximal à y insérer est %d.
ScotApp_927,Mauvais fonctionnement de l’appareil
ScotApp_827,Passez le code sur le démagnétiseur.
ScotApp_1540,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_900,Placez l’article dans la zone de mise en sac.
ScotApp_1277,USERDEFINED19
ScotApp_865,Verifiez détenteur de carte BIC
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Pas de contenants
ScotApp_206,Les options seront chargées.
ScotApp_106,Aide requise
ScotApp_1209,LIMITE DE CARTE CADEAU EXCÉDÉ
ScotApp_806,Approuvez des articles à validation visuelle
ScotApp_1067,1067unused
ScotApp_1418,Poids maximum permis dépassé
ScotApp_1473,"Le périphérique n'est pas prêt.\n\nAllumez-le, vérifiez le câble de communication ou placez l'unité dans l'armoire."
ScotApp_187,187unused
ScotApp_1716,PA:
ScotApp_1190,COUPON ENTRÉ
ScotApp_1602,     Le compartiment du distributeur de carte est presque vide (%s)
ScotApp_1149,Erreur d’impression de reçu
ScotApp_1066,1066unused
ScotApp_1614,Compartiment du distributeur
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,Machine à chiffrer de NCR SelfServ Checkout chargée.
ScotApp_492,Veuillez prendre votre monnaie.
ScotApp_392,Articles inconnus
ScotApp_292,Coupon non lu
ScotApp_192,192unused
ScotApp_1241,CRÉDIT
ScotApp_1197,TRANSACTION ANNULÉE
ScotApp_1548,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_992,Entrez date de naissance
ScotApp_892,Balance Smart se termine...
ScotApp_1053,"Attendez que l'opérateur vous apporte le recu a signer."
ScotApp_1404,"Serveur PV hors ligne ou désynchronisé, veuillez fermer le terminal."
ScotApp_1245,CHEQUE DÉBIT
ScotApp_1262,USERDEFINED4
ScotApp_1471,Erreur du périphérique de recyclage de monnaie
ScotApp_1196,NUMÉRO DE PERMIS DE CONDUIRE
ScotApp_1052,1052unused
ScotApp_1600,État du distributeur de cartes :
ScotApp_1663,Bac vide ou bourrage
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Remplissez tous les canaux de monnaie.\n\nAllez en mode magasin, sélectionnez ""Etat Cash / Papier"" et appuyez sur ""Remplissage de la distributrice de monnaie""."
ScotApp_1183,SOLLICITATION DE PRIX
ScotApp_1470,Erreur du périphérique de recyclage des billets
ScotApp_1195,CSA EN ATTENTE
ScotApp_1229,APPELÉ POUR DE L’ASSISTANCE
ScotApp_1051,"Reçu d'approbation"
ScotApp_1607,     Le compartiment des articles rejetés est au niveau normal (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Le compte de client régulier a été activé.
ScotApp_347,"L'article réglementé a été annulé - la limite d'âge n'a pas été respectée. Veuillez mettre l'article de côté."
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Mise en attente
ScotApp_769,Confirmer ou annuler la mise en attente
ScotApp_947,"Poids net de l'article"
ScotApp_847,Scan terminé
ScotApp_1477,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_726,726unused
ScotApp_626,Tolérance:
ScotApp_526,\nMauvais NIP entré.\nInsérez une autre carte\n   -ou-\npayez en argent comptant.
ScotApp_426,Numéro de couloir :
ScotApp_326,"La date de naissance ne correspond pas à la limite d'âge pour les articles réglementés."
ScotApp_226,Lecteur de carte inutilisable
ScotApp_126,(mmjjaa).
ScotApp_1606,     Le compartiment des articles rejetés est au niveau normal
ScotApp_926,Articles non retournés dans la zone de mise en sac.
ScotApp_826,Je ne veux pas\nemballer cet article.
ScotApp_1267,USERDEFINED9
ScotApp_1618,Cassette de distribution des billets est absente ou n’est pas en position.\n\nInstallez ou repositionnez la cassette des billets jusqu’à ce qu’elle soit en position.
ScotApp_1181,SEUIL COUPON EXPIRÉ
ScotApp_205,Copie terminée.
ScotApp_105,Article inconnu
ScotApp_1476,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1730,Recher
ScotApp_1390,Périphérique ne répond pas.
ScotApp_805,Approuvez des articles
ScotApp_1864,Allez dans l’allée
ScotApp_1408,Assistance
ScotApp_1266,USERDEFINED8
ScotApp_1180,AUCUN MATCH DE PRIX
ScotApp_1208,VENDU EN MODE D’ASSISTANCE
ScotApp_1475,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1397,Préposé
ScotApp_1748,Échec d’ouverture de session avec l’empreinte
ScotApp_718,718unused
ScotApp_618,Tolérance de poids
ScotApp_518,"Insérez de l'argent comptant."
ScotApp_1253,PIP FIDÉLITÉ
ScotApp_1604,     Le compartiment du distributeur de carte est au niveau normal (%s)
ScotApp_218,Imprimante presque vide
ScotApp_118,Approbation
ScotApp_552,"L'opérateur et le mot de passe ne peuvent commencer par zéro."
ScotApp_791,Choisissez Paiement
ScotApp_691,691unused
ScotApp_591,Machine à chiffrer de NCR SelfServ Checkout en chargement...
ScotApp_391,Articles dont le prix est requis
ScotApp_918,Aucune donnée
ScotApp_1187,ERREUR DE PÉRIPHERIQUE
ScotApp_991,Verification âge
ScotApp_891,Balance Smart chargé
ScotApp_1474,"Erreur matérielle. Code d'erreur E%d"
ScotApp_1396,Sortez du mode Préposé
ScotApp_1252,PIP ARGENT REMIS DÉBIT
ScotApp_1732,Images PL chargées.
ScotApp_1461,Monnaie
ScotApp_1166,Ouvrez la porte de l’imprimante du cabinet.\n* Déverrouillez et poussez l’imprimante vers l’arrière.\n* Ouvrez le couvercle de l’imprimante pour vérifiez si le papier est coincé.\n* Refermez le couvercle et rechagez le papier.\n* Tirez avec soin sur l’imprimante jusqu’a ce qu’elle soit en place.
ScotApp_1186,DIMINUTION INATTENDUE
ScotApp_1857,  Ne placez pas sur le convoyeur
ScotApp_1829,Approuver
ScotApp_1670,Erreur du recycleur de monnaie/billet
ScotApp_1198,NUMÉRO DE COMPTE ENTRÉ
ScotApp_1869,Main dans le champ de vision
ScotApp_1251,PIP DÉBIT
ScotApp_1855,En option
ScotApp_767,Médium Normal
ScotApp_667,Carte lue.\nScannez articles et coupons.
ScotApp_567,Entrée
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Sécurité
ScotApp_1460,Billets
ScotApp_1185,SEUIL DE LA BOITE DE SAC EXCÉDÉ
ScotApp_1009,Mode magasin
ScotApp_867,Non
ScotApp_1856,  N’ensachez pas
ScotApp_1677,Assurez-vous que la porte du recycleur de monnaie est fermée.
ScotApp_746,746unused
ScotApp_646,O
ScotApp_1394,Erreur de l’interface numérique
ScotApp_446,Suspendre Trans. 
ScotApp_346,GAB-argent remis
ScotApp_246,246unused
ScotApp_146,Sélectionnez votre type de paiement.
ScotApp_1501,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1609,     Le compartiment des articles rejetés est presque plein
ScotApp_1194,NUMÉRO D’AUTORISATION
ScotApp_946,Sac/Approbation boîte
ScotApp_846,"Scannez articles ou appuyez ""Scan terminé""."
ScotApp_1843,Son sac
ScotApp_1467,"Utilisez l'écran ""Etat Cash / Papier"" pour enlever les espèces."
ScotApp_725,725unused
ScotApp_625,Entrez une tolérance de poids entre <%s> et <%s>.
ScotApp_1381,Traitement...
ScotApp_425,425unused
ScotApp_325,La date entrée n’est pas valide.
ScotApp_225,Compartiment de saisie du lecteur de carte inséré
ScotApp_1676,Porte du recycleur de monnaie ouverte
ScotApp_925,925unused
ScotApp_825,Emballez article
ScotApp_1608,     Le compartiment des articles rejetés est vide
ScotApp_1842,Aide complète
ScotApp_1808,Sélectionnez l’article sur le reçu.
ScotApp_1466,Etat du recycleur des espèces plein
ScotApp_1380,prix
ScotApp_1854,En option
ScotApp_1675,Erreur du recycleur de monnaie
ScotApp_1597,Carte de fidélisation
ScotApp_1350,%s\n%s %s ajouté
ScotApp_738,738unused
ScotApp_638,Info sur tolérance données de poids
ScotApp_538,538unused
ScotApp_338,Entrez 3 premières lettres.
ScotApp_238,\nL’accepteur d’argent comptant n’a pas noté l’argent comptant inséré.\nVérifiez la cassette des billets.
ScotApp_138,Prenez votre carte
ScotApp_1170,"* Ouvrez le capot de l’imprimante et vérifiez s’il n’y a pas de bourrage dans la zone indiquée. \n* Retirez le papier.\n* Fermez le capot de l’imprimante et remettez du papier.\n* Si l’erreur demeure, relancez le poste."
ScotApp_1841,Veuillez aller dans l’allée pour l’approbation
ScotApp_1740,Vérifier le sac
ScotApp_938,938unused
ScotApp_838,Entente client
ScotApp_1133,Billets coincés dans l’accepteur de billets.
ScotApp_1387,"Erreur de logiciel fatale est survenue. \nrelancez le poste.\n\n Pour relancer le poste:\nTournez la clé superveur a 'S' -OU- Appuyez sur l’option superveur\n* Choisir Relancer le système.\n* Appelez le support et informez les de l’erreur."
ScotApp_1674,"Appuyez sur le bouton d’éjection pour débloquer la monnaie. Si l'erreur se produit de nouveau, cela peut indiquer un bourrage de monnaie. Ouvrez le couvercle du distributeur. Retirez toute pièce bloquée. Appuyez sur le bouton d’éjection pour réinitialiser le tout.  Désenclenchez le couvercle avant de le refermer."
ScotApp_1650,(jjmmaa)
ScotApp_690,690unused
ScotApp_590,Fin des paramètres par défaut de périphérique...
ScotApp_490,"Scannez vos articles ou appuyez sur ""Démarrer"" pour commencer."
ScotApp_390,Articles rappelés
ScotApp_290,290unused
ScotApp_190,Chargement du serveur de transaction en cours...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Balance Smart en chargement...
ScotApp_1772,Coupon
ScotApp_1661,"Impossible d’imprimer le reçu.  Appuyez sur ""Autres reçus"" pour réessayer."
ScotApp_1132,Erreur de communication.
ScotApp_1386,Erreur fatale
ScotApp_784,"Distributeur d’argent non fonctionnel\nRemplir distributeur d'argent ou\nRetirer distributeur d’argent bloqué ou\nAjuster bac de récupération."
ScotApp_684,Aujourd’hui
ScotApp_584,VBÉ refusé.
ScotApp_484,Signature requise
ScotApp_384,384unused
ScotApp_284,Scanneur : Données perdues
ScotApp_1595,Langue préférée
ScotApp_1451,ID caissière
ScotApp_984,Application du convoyeur chargée.
ScotApp_884,Annuler la mise en attente
ScotApp_1847,"Article ajouté. Scannez l’article suivant ou appuyez sur  ""Entrez le code""."
ScotApp_1660,Sélectionner l’option d’impression
ScotApp_1131,Cassette de billets est manquante ou n’est pas insérée correctement.
ScotApp_1385,Choisissez la langue
ScotApp_1436,"Seuil ""Passer l’emballage"" dépassé"
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Fermez le poste correctement et redémarrez le poste.
ScotApp_466,   Article inconnu scanné
ScotApp_366,"Blocage du couteau d'imprimante"
ScotApp_266,"Fin de l'agent de sécurité..."
ScotApp_966,966unused
ScotApp_1541,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1846,"Scannez l’article ou appuyez sur ""Entrez le code""."
ScotApp_1667,Bourrage de billets
ScotApp_1689,Erreur du recycleur de billet
ScotApp_745,745unused
ScotApp_645,Mettez à nouveau l’article scanné dans la zone de mise en sac.
ScotApp_1581,Distributeur de monnaie
ScotApp_445,Indemnité en espèces
ScotApp_345,345unused
ScotApp_245,Lecteur de carte inutilisable
ScotApp_145,145unused
ScotApp_945,Limite\Sac/Boîte
ScotApp_713,713unused
ScotApp_613,"Placez l'article sur la balance pour sac."
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Annulez des articles
ScotApp_1573,"Touchez le bouton ""Charger"" pour remplir. Pour libérer, touchez les boutons ""Décharger Accepteur"" et ""Décharger Distributeur""."
ScotApp_913,Article inattendu sur la balance de sécurité.
ScotApp_813,"Entrez bon commande/nom projet & appuyez ""Entrée""."
ScotApp_1666,Erreur du recycleur de billet
ScotApp_1137,%s Cassette non installé.
ScotApp_1580,Distributeur de billets
ScotApp_758,758unused
ScotApp_658,numéraire en baisse
ScotApp_558,Article à restriction de quantité
ScotApp_1653,Montant dépasse la capacité. Le montant maximal requis est %s. %s automatiquement entré.
ScotApp_358,Revenez au mode Aide
ScotApp_258,Fin du courtier de transaction...
ScotApp_158,"Cet article nécessite l'approbation du magasin. Veuillez continuer."
ScotApp_1844,Recherche
ScotApp_958,Balance sac
ScotApp_858,Oui
ScotApp_1136,Cassette des billets rejetés est manquante ou n’est pas en place.
ScotApp_1587,Êtes-vous certain de vouloir ignorer les modifications apportées à l’écran Gestion des billets?
ScotApp_1531,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1599,Échec de la recherche de préférences en %s.
ScotApp_1652,(aammjj)
ScotApp_1123,"* NE PAS poursuivre tant que tous les billets coincés n’ont pas été enlevés.\n* Retirez le distributeur avec soin.\n* Enlevez les billets coincés de la partie supérieure du distributeur de billets sans déranger les ceintures.\n* Remettez le distributeur dans l’armoire.\n*  Verrouillez la porte puis appuyez sur ""J’ai corrigé le problème""."
ScotApp_1342,Choisissez l’utilitaire
ScotApp_1332,Espace
ScotApp_1586,%s    %s  %s
ScotApp_1444,Enlever
ScotApp_1598,Préférences activées.
ScotApp_1651,(aaaammjj)
ScotApp_1122,Des billets peuvent être coincés à la sortie de la distributrice de billets.\n\nRetirez partiellement la distributrice de billets du cabinet.\n\nEnlevez tous les billets coincés a l’endroit indiqué.
ScotApp_1331,Shift
ScotApp_1585,Bac              Valeur    Différence en\n                                  valeur
ScotApp_1118,Problème de distribution de %s billets.\n\n%sbillets n’ont pas pu être retirés de la cassette des billets.\n\nEnlevez %s billets de la cassette de billets et vérifiez la condition des billets.
ScotApp_1884,Alerte Smart Assist
ScotApp_1191,MESURE REQUISE
ScotApp_1121,Des billets peuvent être coincés a l’endroit indiqué.\n\nRetirez partiellement la distributrice d’argent du cabinet.\n\nEnlevez les billets coincés.\n\nRemettez la distributrice d’argent en place dans le cabinet.
ScotApp_503,503unused
ScotApp_403,403unused
ScotApp_1849,
ScotApp_1330,Article non emballé
ScotApp_1355,Votre solde
ScotApp_1584,Bac              Nombre   Différence en\n                                  nombre
ScotApp_465,%s               %s
ScotApp_365,"Blocage de la tête d'imprimante"
ScotApp_265,265unused
ScotApp_965,965unused
ScotApp_633,Signature :
ScotApp_433,433unused
ScotApp_333,"Erreur de type ""blocage de volet de lecteur de carte"""
ScotApp_233,Assurez vous que l’accepteur de billets est installé correctement.\n\nPoussez sur la poignée et glissez l’accepteur de billets vers l’avant.\n\nPoussez l’accepteur d’argent aussi loin que vous pouver jusqu’a ce qu’il soit en place.
ScotApp_133,133unused
ScotApp_1120,Il peut y avoir des billets coincés a l’avant de %s la cassette de billets.\n\nEnlevez %s la cassette et assurez vous qu’il n’y a pas de billets coincés a cet endroit.\n\nEnlevez les billets coincés si possible et remettez la cassette en place.
ScotApp_1805,Sortez du mode Argent comptant seulement
ScotApp_933,Poids inattendu
ScotApp_833,833unused
ScotApp_1337,Sortez du NCR SelfServ Checkout
ScotApp_1780,COMMENCEZ LA TRANSACTION
ScotApp_712,712unused
ScotApp_612,Ajoutez du poids
ScotApp_512,Validations visuelles
ScotApp_312,le compartiment est bloqué
ScotApp_212,212unused
ScotApp_112,Confirmez la quantité
ScotApp_1081,Montrer\nTous les couloirs
ScotApp_778,778unused
ScotApp_678,678unused
ScotApp_578,Fin du média de carte. Monnaie due.
ScotApp_478,Remettez les coupons.
ScotApp_378,Imprimante de reçu
ScotApp_278,Journal de sécurité
ScotApp_1127,Reconnection
ScotApp_1802,Acceptez les cartes seulement
ScotApp_978,Limite = %d
ScotApp_878,Entrez le prix.
ScotApp_1533,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1787,Entrez le nombre de sacs  en plastique que vous avez utilisés ou 0 si vous n’en avez pas utilisé.
ScotApp_1799,Mode Cartes seulement
ScotApp_1309,"* Insérez une cassette jusqu'à ce qu’elle soit verrouillée.\n* Vérifiez que le moteur de l'accepteur d’argent s'allume."
ScotApp_1323,Poids reste sur la 
ScotApp_1079,"Mettez à nouveau l'article scanné sur le convoyeur."
ScotApp_1382,(Std)
ScotApp_1532,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1786,Montant du sac en plastique
ScotApp_1094,Imprimer les signatures
ScotApp_1113,%s @ %s/%s\t%s
ScotApp_1798,Mode Argent comptant seulement.
ScotApp_1322,Erreur de Senseur de Coupon.\nErreur de Communication.
ScotApp_1078,"Sélectionnez le réglage pour le poids attendu. (Client devrait mettre l'article sur le convoyeur.)"
ScotApp_1334,"  Article n'est pas sur le convoyeur"
ScotApp_1785,Ouverture de session non valide. Veuillez ouvrir une session en utilisant le clavier ou avec votre empreinte.
ScotApp_1046,"S.V.P. Apportez votre %s\nà l'opérateur au comptoir de paiement."
ScotApp_1696,Problème corrigé
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,Erreur de périphérique PinPad\TFE
ScotApp_1065,1065unused
ScotApp_1321,Fin du paiement par bon.  Solde due.
ScotApp_764,764unused
ScotApp_1530,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1784,ARTICLE MULTIPACK
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Qté %s @ %s/%s\t%s
ScotApp_753,Hier - À l’heure
ScotApp_653,"Entrez la valeur du coupon en cents\net appuyez sur ""Entrée""."
ScotApp_453,"État d'accepteur de monnaie plein"
ScotApp_353,Retour
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Début du paiement par bon.
ScotApp_953,"Veuillez arrêter et redémarrer le terminal :\n* Tournez la clé du superviseur en position « S » -OU- appuyez sur le bouton Superviseur.\n* Sélectionnez ""Exécuter la DAA au Prochain Redémarrage"". Sélectionnez ""Oui"" pour confirmer.\n* Sélectionnez ensuite « Arrêter le système ».\nLorsque l’écran sera vide, éteignez le terminal à partir de l’UPS ou du disjoncteur.\n* Rallumez ensuite le terminal. Vérifiez l’affichage des événements. Si l’erreur se produit de nouveau, appelez pour obtenir du service."
ScotApp_853,Quatre articles
ScotApp_1845,Reçu
ScotApp_1537,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Article réglementé
ScotApp_432,VBÉ
ScotApp_332,Quittez le mode Aide.
ScotApp_232,* Enlevez l’accepteur de billets et la cassette.\n* Vérifiez qu’il n’y a pas de billets coincés dans la cassette.\n* Ouvrez les portes d’accès sur le dessus de l’accepteur de billets et vérifiez qu’il n’y a pas de billets coincés.\n* Fermez les portes d’accès fermement. Remettez l’accepteur de billets et la cassette en place.
ScotApp_132,132unused
ScotApp_1110,  Qté %s @ %s/chacun\t%s
ScotApp_1242,DÉBIT
ScotApp_1285,Populaires
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Appuyez sur le rapport désiré; appuyez alors sur ""Lancer le rapport""."
ScotApp_711,711unused
ScotApp_611,Sélectionnez la fonction voulue.
ScotApp_511,Comparez la signature du client à celle se trouvant sur la carte.
ScotApp_411,Prenez la carte de fidélisation
ScotApp_311,le compartiment est vide
