AmountSaved,Iznos Ušteđen
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Izlaz i Spremi
ScotApp_14,14unused
ScotApp_1870,%s %s ocekivano
ScotApp_1389,Greška u radu čitača potpisa
ScotApp_1611,     Kanta odbačenih kartica je puna
ScotApp_94,94unused
ScotApp_84,Učitaj opcije
ScotApp_1289,B - C
ScotApp_687,Ispis Izvještaja
ScotApp_587,Potpis
ScotApp_487,Dolje
ScotApp_387,Zastoj u prijenosu
ScotApp_287,Skener: Nevažeća oznaka
ScotApp_1545,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1336,Uslužni program
ScotApp_987,Proizvod je maknut s remena.  Povratite proizvod.
ScotApp_887,Proizvod je Sklonut
ScotApp_555,Drugo Plaćanje
ScotApp_1610,     Kanta odbačenih kartica je skoro puna (%s)
ScotApp_1041,Potvrdi potpis
ScotApp_1691,Upravljanje novcem
ScotApp_1809,Greška u Preradniku za Djeljenje Novčića
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,IDENTITET PROVJEREN
ScotApp_561,Stavite Kupon sa strane
ScotApp_461,Učitavanje Daljinskog odobrenja...
ScotApp_361,Traka je zatvorena
ScotApp_261,261unused
ScotApp_961,"Greška Baze podataka za prepoznavanje težine: Provjerite preglednik događaja radi grešaka, zatim pritisnite ""Ispravio sam grešku""."
ScotApp_861,861unused
ScotApp_1876,%s %s opaženo
ScotApp_740,740unused
ScotApp_640,Postojeći BPPT unosi težine
ScotApp_540,540unused
ScotApp_340,Odaberite proizvod od spisaka. Upotrebite strelicu gore ili nadolje za pomicati se.
ScotApp_240,Opća greška Upravljanja uređajem
ScotApp_140,Hvala vam
ScotApp_1105,e=d=0.005 kg Maks 13.995 kg min 0.1 kg Nmaks 2799
ScotApp_1192,PRISTOJBA ZA POSTAVLJANJE UREĐAJA
ScotApp_940,Poništiti
ScotApp_840,Upis Proizvoda:
ScotApp_1863,"Klikni ''Odobri'' ili ''Poništi artikl''"
ScotApp_1463,Promjena vrijednosti
ScotApp_1875,%s %s ocekivano
ScotApp_774,Bodovi Zarađeni:
ScotApp_674,"""Način plaćanja odbijen - razlog: """
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Greška senzora crne oznake pisača
ScotApp_174,"Nemože se naći skeniran proizvod. Još nije bio kupljen, ili je već bio poništen."
ScotApp_1029,Umetnite Kupon
ScotApp_974,974unused
ScotApp_1679,Greška u Note Library
ScotApp_1747,Greška u čitaču otisaka
ScotApp_1862,Potvrdi artikl na vagi skenera
ScotApp_1603,     Kanta izdavača kartica - normalna razina
ScotApp_1419,Višestruko pakiranje
ScotApp_1759,Kanta za kupone je puna
ScotApp_649,Cijena je ugrađena
ScotApp_1039,Prethodni proizvodi imaju EAS etiketu(/e)
ScotApp_849,Količina Potrebna
ScotApp_765,765unused
ScotApp_565,Ulazna zaporka od Trgovine
ScotApp_1549,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1861,POPIS ODABIRA
ScotApp_1731,Slike Birajuceg Spiska se Pune...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Poništite Plaćanje
ScotApp_46,Pomoć
ScotApp_36,Naknada:
ScotApp_26,26unused
ScotApp_16,%s biti će zacjenjen na vašu karticu.
ScotApp_719,719unused
ScotApp_619,Izaberite <Unesite odstupanje> ili <Zadano> za uredivanje trenutnog odstupanja.
ScotApp_519,Kupon je Previše Visok
ScotApp_419,419unused
ScotApp_319,Platite s Karticom
ScotApp_219,219unused
ScotApp_119,Poništite Sve Proizvode 
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Odaberite od Spisaka
ScotApp_1038,Provjeri potpis
ScotApp_919,"Provjerite težinu proizvoda i pritisnite ""Potvrdi i ažuriraj težinu"", ili pritisnite ""Potvrdi/Nije ažurirano""."
ScotApp_1489,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1745,Uredaj za prepoznavanje otisaka nije spojen.\n\nMolimo pokušajte ponovo.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Obustavljeno na traci
ScotApp_686,Jučer
ScotApp_586,Kuponi: %0.0ld/$%0.2lf
ScotApp_486,Gore
ScotApp_386,Kaseta je uklonjena
ScotApp_286,Skener: Nevažeći prefiks2 oznake
ScotApp_186,186unused
ScotApp_1488,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_986,986unused
ScotApp_886,Proizvod je sklonut od zone pakiranja.\nPovratite proizvod.
ScotApp_1393,"Zaustavite i restartajte NCR SelfServ Checkout Odjavite se iz programa. Ako greška nije uklonjena, kontaktirajte službu za pomoc."
ScotApp_1867,Pogled kamere blokiran
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,Poništiti Nabavku
ScotApp_1024,1024unused
ScotApp_760,Provucite vašu karticu sa strane ovog prikaznog uređaja.
ScotApp_660,Sve razine valuta su normalne
ScotApp_460,Ovo će dovršiti vašu kupovinu. 
ScotApp_360,Zatvori traku
ScotApp_260,260unused
ScotApp_1392,Greška u radu tri svjetla
ScotApp_960,"Greška vage za pakiranje: Provjerite vagu  ili Preglednik događaja radi otkrivanja grešaka, zatim pritisnite ""Ispravio sam grešku""."
ScotApp_860,Mjerenje je Potrebno:
ScotApp_1866,Popularno
ScotApp_1459,Izvještaj upravljanja novcem
ScotApp_1239,NIJEDAN
ScotApp_1301,Uredi listu odabira
ScotApp_1749,Obrada otiska u tijeku
ScotApp_1017,Izbrišite proizvode pokrenute unazad na remenu.
ScotApp_1771,Granica Vrijednosti Kupona
ScotApp_739,739unused
ScotApp_639,Očekivana težina Usporedba težine
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,Neočekivani status Upravljanja uređajem
ScotApp_1092,Sadržaj izvještaja
ScotApp_1851,Nemoj potvrditi
ScotApp_1238,DRUGO PLAĆANJE
ScotApp_939,Tajmer je istekao
ScotApp_839,Poništite Djelo
ScotApp_1333,Povratni Pomak
ScotApp_24,Poništeno 
ScotApp_1016,Proizvodi su Pokrenuti unazad na Remen
ScotApp_1615,Za pražnjenje pritisnite tipku Podizanje Izdavača 
ScotApp_1723,Priprema 
ScotApp_1028,Prag Kupona je Premašen
ScotApp_1435,Greška u djeljenju Kovanice/Računa
ScotApp_1698,"Pritisnite ""Stanje ispravljeno""."
ScotApp_1688,Greška u kaseti
ScotApp_454,454unused
ScotApp_1593,Uklonite kovanice
ScotApp_1642,Greška u Preradniku Novčanica
ScotApp_1015,Proizvodi su Pokrenuti natrag
ScotApp_785,785unused
ScotApp_685,Satno
ScotApp_585,585unused
ScotApp_536,Akceptor kovanica
ScotApp_385,385unused
ScotApp_285,Skener: Nevažeći sufiks oznake
ScotApp_185,Uporedite potpis kupca s onim na kartici.
ScotApp_1224,POTREBNA CIJENA
ScotApp_985,Stavite proizvod na remen.
ScotApp_885,Upozorenje Pakovanja
ScotApp_575,Dovršite Ponudu Novca.  Kredit Dužan.
ScotApp_475,Transakcija je Zaustavljena
ScotApp_375,Isteklo je vrijeme za ispis
ScotApp_1002,Nije dostupno za prodaju
ScotApp_1888,"Prati transakciju kupca radi sigurnosti i klikni ''Poništi osiguranje''"
ScotApp_910,910unused
ScotApp_1592,* Uklonite kovanice u kanti sa zaglavljenjem.\n* Iskrenite kantu.\n* Okrenite vijak udesno dok ne izvadite kovanicu.\n* Ne koristite prekomjernu silu.
ScotApp_875,ID glavnog blagajnika za poništenje kupovine
ScotApp_1014,Izbrišite proizvode pokrenute natrag sa remena.
ScotApp_1572,Jeste li sigurni da želite zanemariti promjene na ekranu Upravljanje kovanicama?
ScotApp_1790,Samo Kredit / Debit
ScotApp_1344,Upravljanje sigurnošću je učitano.
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Obrazac %d nije pohranjen!
ScotApp_498,Iznos Plaćen:
ScotApp_398,Kaseta je umetnuta
ScotApp_298,298unused
ScotApp_198,Učitavanje User Exits...
ScotApp_998,Količina
ScotApp_898,WTINFO završava...
ScotApp_1416,Provjeri višestruko pakiranje
ScotApp_1431,Poništite Sve
ScotApp_1236,Izvještaj u tijeku...
ScotApp_1770,Odaberite između rizultate traženja.
ScotApp_1000,Nije pronađeno
ScotApp_1439,"Prijeđen prag za ""Pakiraj u vrećicu/kutiju"""
ScotApp_1217,PONIŠTITI
ScotApp_759,Provucite vašu karticu na uređaj plaćanja.
ScotApp_659,status valute nizak:
ScotApp_559,Niti jedan Kupon
ScotApp_459,Kredit će ostati za ovu kupovinu.
ScotApp_359,Funkcije sustava
ScotApp_259,Upravljanje uređajem završava...
ScotApp_1007,Zatražena Pomoć
ScotApp_1438,"Prijeđen prag za ""Novi proizvod"""
ScotApp_959,Baza podataka za prepoznavanje težine
ScotApp_859,Ne 
ScotApp_1216,ZAŠTITA
ScotApp_1373,SKUPLJAJTE POKLON-KARTICU
ScotApp_1005,Vizualni Dokaz Valjanosti
ScotApp_1655,Prodaja Od
ScotApp_1228,OBUSTAVLJENO
ScotApp_1725,Zaštita onemogućena
ScotApp_1006,Drugi način plaćanja
ScotApp_496,Ograničenje Količine
ScotApp_1018,Minimalna dob.
ScotApp_1160,"* Provjerite da li je kabel povezan sa stražnjim dijelom PinPad-a.\n* Ako je kabel sigurno pricvršcen, pritisnite ""Ispravio sam grešku"".\n* Ako greška nije uklonjena, ugasite i restartajte terminal."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Da biste spojili Vaš rucni skener, pritisnite  ""Spojite""."
ScotApp_1202,ZATVORENA TRAKA
ScotApp_679,Izvještaji podrške
ScotApp_1792,Samo Kartice
ScotApp_1214,PRIZNANICA
ScotApp_1804,Izlaz od Postupka Samo Kartice
ScotApp_879,879unused
ScotApp_1072,Potrebna Informacija
ScotApp_1631,Greška Preradniku novčanica 
ScotApp_1148,Kvar dijelova sigurnosne vage.
ScotApp_1244,UŠTEDA DUGOVANJA
ScotApp_1004,Provjera proizvoda.
ScotApp_1282,Potrebna je cijena za
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,TOČNA CIJENA
ScotApp_1639,Greška u Priradniku Kovanice
ScotApp_1828,\n    - Visina jakosti zvuka. %d%%
ScotApp_1308,PIN je Umetnut
ScotApp_1417,"Ako je proizvod višestruko pakiranje, pritisnite ""Postupak podrške"" i poništite ga, zatim skenirajte bar kod višestrukog pakiranja."
ScotApp_1343,Učitavanje Upravljanja sigurnošću...
ScotApp_779,779unused
ScotApp_1429,<<<Malo novcanica. Molimo napunite.>>
ScotApp_579,579unused
ScotApp_479,Kuponi su ostavljeni
ScotApp_379,Akceptor gotovine
ScotApp_279,Potvrdite sve snimljene sigurnosne objave.
ScotApp_179,179unused
ScotApp_1865,Nađi artikl\n bez težine
ScotApp_1207,POTPIS PROVJEREN
ScotApp_1638,"Provjerite kablove Preradnika kovanica i pritisnite tipku Pokušaj ponovo.\n* Ako se kvar ponovi, zovite pomoc.\n\nGreška u SafePay-u: %s"
ScotApp_979,Prag = %d zahtjeva kupaca
ScotApp_707,Zadnjih 7 dana
ScotApp_607,Postavi Postupak pakiranja
ScotApp_507,Vizualna provjera proizvoda
ScotApp_307,Drugi spremnik
ScotApp_207,207unused
ScotApp_107,Dolazi Pomoć
ScotApp_1219,OGRANIČENA STAROST
ScotApp_907,907unused
ScotApp_807,Skinite Zaštitne Oznake
ScotApp_1077,Povratite proizvode na remen
ScotApp_1428,Promijenite cijenu proizvoda: \n%s
ScotApp_1695,Popravi kasnije
ScotApp_1206,PROIZVOD NIJE DEAKTIVIRAN
ScotApp_1218,SKUPLJANJE
ScotApp_1782,POČETAK PRIJENOSA S ASISTENCIJOM
ScotApp_1273,USERDEFINED15
ScotApp_1624,Premjestite sve novčanice u kasetu
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout Učitavanje SigCap...
ScotApp_493,Vaša priznanica će biti otiskana ispod uređaja za plaćanje.
ScotApp_393,Ispis dnevnika
ScotApp_293,Zahtjev za pomoć
ScotApp_1205,PODRŠKA PODRUČJA ZA PAKIRANJE
ScotApp_993,Traka je zatvorena
ScotApp_893,Učitavanje DBM (upravljanje bazama podataka)...
ScotApp_1063,1063unused
ScotApp_1414,Ova traka nije dostupna sve dok snaga nije obnovljena.
ScotApp_1182,GRANICA IZNOSA KUPONA
ScotApp_1201,NAČIN PLAĆANJA UZ POMOĆ
ScotApp_1075,Limit\Preskoci traku.
ScotApp_1348,Traka je zatvorena
ScotApp_1671,Otvorite Preradnik novcanica i uklonite novcanice iz kasete.\nIzvadite kovanice iz izbacivaca i uklonite iz posude za izvraceni novac.
ScotApp_1204,BROJ DOKUMENTA
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,DRUGO PLAĆANJE
ScotApp_27,27unused
ScotApp_1074,Potvrda za preskakanje trake.
ScotApp_1472,Preradnik novca nije spreman.
ScotApp_1026,Poništi trans.
ScotApp_1061,1061unused
ScotApp_1617,Uneseni iznos premašuje kapacitet. Ponovo unesite zbroj unosa za Kantu izdavaca. Maksimalni kapacitet je %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Provjerite kabelske spojeve s izdavačem kovanica
ScotApp_1130,Greška u radu akceptora novčanica
ScotApp_1270,USERDEFINED12
ScotApp_1629,* Problem s CPJ postavkama ili Sysdata parametrima.\n* Molimo nazovite službu podrške.\n\n Greška u SafePay-u: %s
ScotApp_1820,"Sklonite proizvod s vage, i pritisnite tipku "">0<"" na skeneru."
ScotApp_882,Potvrdi obustavu.
ScotApp_1440,Upravljanje novcanicama
ScotApp_1407,PONOVO POKRENITE SUSTAV
ScotApp_727,727unused
ScotApp_627,Transakcija #:
ScotApp_527,527unused
ScotApp_427,Nizak Medij
ScotApp_327,"Uredaj nije spojen, molim vas provjerite veze i/ili u slucaju zapišite se:"
ScotApp_227,Čitač kartica - umetnuta nevažeća kartica
ScotApp_127,127unused
ScotApp_665,"Odaberite ""Izbriši Sve"" ili ""Vrati se Nazad"" za nastaviti."
ScotApp_1060,MOLIM VAS PRIČEKAJTE...
ScotApp_1616,Unesite zbroj sredstava za Kantu izdavaca. Maksimalni iznos koji možete unijeti je %d.
ScotApp_927,Kvar uređaja
ScotApp_827,Prođite kod proizvoda iznad tastera i stavite ga u zonu pakiranja.
ScotApp_1540,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_900,Stavite proizvod u zonu pakiranja.
ScotApp_1277,USERDEFINED19
ScotApp_865,Provjera vlasnika kartice
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Niti jedan Spremnik
ScotApp_206,Opcije će biti učitane.
ScotApp_106,Potrebna Pomoć
ScotApp_1209,PREKORAČEN LIMIT POKLON-KARTICE
ScotApp_806,Potvrda vizualno vrednovanih proizvoda
ScotApp_1067,1067unused
ScotApp_1418,Maksimalna dopuštena težina prekoračena.
ScotApp_1473,"Uredaj nije spreman.\n\nUkljucite, provjerite komunikacijski kabel, ili vratite jedinicu natrag u kucište."
ScotApp_187,187unused
ScotApp_1716,WE:
ScotApp_1190,UNESENI KUPON
ScotApp_1602,     Kanta izdavača kartica - niska razina (%s)
ScotApp_1149,Greška u ispisu računa
ScotApp_1066,1066unused
ScotApp_1614,Kanta izdavača
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,NCR SelfServ Checkout Šifrator učitan.
ScotApp_492,Molim vas uzmite vaš ostatak.
ScotApp_392,Nepoznati Proizvodi
ScotApp_292,Kupon se ne može skenirati 
ScotApp_192,192unused
ScotApp_1241,KREDIT
ScotApp_1197,TRANSAKCIJA PONIŠTENA
ScotApp_1548,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_992,Unesite datum rođenja
ScotApp_892,Pametna vaga završava...
ScotApp_1053,Pričekajte blagajnika da vam donese papirnatu potvrdu za potpisati.
ScotApp_1404,"Server MP (mjesta prodaje) je pao ili  nije sinkroniziran, molimo ugasite terminal pomocu prekidaca."
ScotApp_1245,PROVJERA DEBITA
ScotApp_1262,USERDEFINED4
ScotApp_1471,Greška u Preradniku kovanica
ScotApp_1196,BROJ VOZAČKE DOZVOLE
ScotApp_1052,1052unused
ScotApp_1600,Status Izdavača kartica:
ScotApp_1663,kanta je prazna ili zaglavljena
ScotApp_1261,USERDEFINED3
ScotApp_1125,"* Ponovo napunite sve kanale u spremištu kovanica do vrha.\n* Idite u Postupak trgovine, odaberite ""Stanje Gotovine / Papira"" i pritisnite tipku ""Izdavac kovanica je napunjen""."
ScotApp_1183,TOČNA CIJENA
ScotApp_1470,Greška Preradniku novcanica 
ScotApp_1195,CSA OBUSTAVLJEN
ScotApp_1229,POMOĆ JE POZVANA
ScotApp_1051,Odobrenje Papirnate Potvrde 
ScotApp_1607,     Kanta odbačenih kartica - normalna razina (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,N
ScotApp_447,Vaš korisnički račun za čestog kupca je bio aktiviran.
ScotApp_347,Ograničen proizvod bio je poništen – starosna granica nije sastala. Molim vas stavite proizvod sa strane.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Obustavite
ScotApp_769,Potvrdi ili poništi obustavu.
ScotApp_947,Nova težina proizvoda
ScotApp_847,Skeniranje Završeno
ScotApp_1477,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_726,726unused
ScotApp_626,Odstupanje:
ScotApp_526,\nUbačen nepravilan PIN.\nKliznite različitu karticu\n  -ili-\nPlatite s gotovinom 
ScotApp_426,Traka ##:
ScotApp_326,Datum rođenja ne odgovara dobnoj granici za ograničene proizvode.
ScotApp_226,Čitač kartice uređaj nije djelatan
ScotApp_126,(ddmmgg)
ScotApp_1606,     Kanta odbačenih kartica - normalna razina
ScotApp_926,Proizvodi nisu vraćeni u zonu pakiranja.
ScotApp_826,Ja ne želim staviti\nu kesicu ovaj proizvod
ScotApp_1267,USERDEFINED9
ScotApp_1618,* Kaseta izdavaca novcanica nije umetnuta ili nije u potpunosti umetnuta. \n* Umetnite ili podesite kasetu za novcanice dok se ne zakvaci.
ScotApp_1181,PRAG KUPONA JE PREMAŠEN
ScotApp_205,Kopiranje je dovršeno.
ScotApp_105,Nepoznat Proizvod
ScotApp_1476,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1730,Traži
ScotApp_1390,Uređaj ne reagira
ScotApp_805,Potvrda proizvoda
ScotApp_1864,Idi na traku
ScotApp_1408,PODRŠKA/POMOĆ
ScotApp_1266,USERDEFINED8
ScotApp_1180,NEMA ODGOVARAJUĆE CIJENE
ScotApp_1208,PRODANO U POSTUPKU PODRŠKE
ScotApp_1475,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1397,Poslužitelj
ScotApp_1748,Prijava otiska nije uspjela
ScotApp_718,718unused
ScotApp_618,Odstupanje težine
ScotApp_518,Umetnite gotovinski novac. 
ScotApp_1253,PIP LOYALTY
ScotApp_1604,     Kanta izdavača kartica - normalna razina (%s)
ScotApp_218,Pisač je gotovo prazan
ScotApp_118,Potrebna je Potvrda
ScotApp_552,Operater i lozinka ne smiju počinjati s nulom.
ScotApp_791,Odaberite vrstu Plačanja
ScotApp_691,691unused
ScotApp_591,NCR SelfServ Checkout Učitavanje Šifratora...
ScotApp_391,Potrebna je Cijena Proizvoda
ScotApp_918,Nema podataka o težini proizvoda.
ScotApp_1187,GREŠKA U RADU UREĐAJA
ScotApp_991,Dobna provjera
ScotApp_891,Pametna vaga je učitana.
ScotApp_1474,Greška hardvera. Kod greške E%d
ScotApp_1396,Izađite iz Postupka poslužitelja
ScotApp_1252,PIP DEBIT CASH BACK
ScotApp_1732,Slike Birajuceg Spiska Ispunile su se.
ScotApp_1461,Kovanice
ScotApp_1166,* Otvorite vrata kucišta pisaca.\n* Otkvacite i gurnite pisac natrag.\n* Otvorite poklopac pisaca radi provjere zaglavljenja.\n* Spustite poklopac pisaca i umetnite papir.\n* Pažljivo povucite pisac naprijed dok se ne zakvaci u pravilan položaj.
ScotApp_1186,NEOČEKIVANO SMANJENJE
ScotApp_1857,  Ne stavljajte na traku
ScotApp_1829,Potvrditi
ScotApp_1670,Greška Preradnika kovanica/novčanica
ScotApp_1198,UNESEN BROJ RAČUNA
ScotApp_1869,Ruka u vidokrugu kamere
ScotApp_1251,PIP DEBIT
ScotApp_1855,Izborno
ScotApp_767,Razina sredstava normalna
ScotApp_667,Kartica je provućena. Skenirajte vaše proizvode i kupone.
ScotApp_567,Unesite
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Zaštita
ScotApp_1460,Novcanice
ScotApp_1185,PRIJEĐEN PRAG ZA PAKIRANJE U VREĆICE I KUTIJE 
ScotApp_1009,Postupak trgovine
ScotApp_867,Ne 
ScotApp_1856,  Ne pakiraj
ScotApp_1677,Provjerite da li su vrata Preradnika kovanica zatvorena.
ScotApp_746,746unused
ScotApp_646,D
ScotApp_1394,Greška digitalnog sučelja
ScotApp_446,Transakcija je Zaustavljena
ScotApp_346,ATM (Ostatak)
ScotApp_246,246unused
ScotApp_146,Molim vas odaberite vašu vrstu plaćanja.
ScotApp_1501,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1609,     Kanta odbačenih kartica je skoro puna
ScotApp_1194,AUTORIZACIJSKI BROJ
ScotApp_946,Potvrda za pakiranje u vrećicu/kutiju
ScotApp_846,"Skenirajte proizvode ili pritisnite ""Skeniranje Završeno""."
ScotApp_1843,Vrećica
ScotApp_1467,"Koristite zaslon za ""Stanje Gotovine / Papira"" kako biste izvadili novac."
ScotApp_725,725unused
ScotApp_625,Unesite odstupanje težine izmedu <%s> i <%s>.
ScotApp_1381,Obrada...
ScotApp_425,425unused
ScotApp_325,Uneseni datum nije valjan
ScotApp_225,Spremnik za prihvat čitača kartica je umetnut
ScotApp_1676,Vrata Preradnika kovanica su otvorena
ScotApp_925,925unused
ScotApp_825,Stavite Proizvod u Kesicu
ScotApp_1608,     Kanta odbačenih kartica je prazna
ScotApp_1842,Puna podrška
ScotApp_1808,Odaberite proizvod na računu.
ScotApp_1466,Status Preradnika novca - pun
ScotApp_1380,Cijena
ScotApp_1854,Izborno
ScotApp_1675,Greška u Priradniku Kovanice.
ScotApp_1597,Kartica Vjernosti
ScotApp_1350,%s\n%s %s dodano
ScotApp_738,738unused
ScotApp_638,Informacije o stvarnim odstupanjima BPPT
ScotApp_538,538unused
ScotApp_338,Otipkajte prva tri slova od opisa proizvoda.
ScotApp_238,* Akceptor gotovine nije uspio evidentirati umetnuti novac.\n* Provjerite kasetu za novcanice.
ScotApp_138,Uzmite Karticu 
ScotApp_1170,"* Otvorite poklopac štampaca i provjerite zastoj papira u prikazanoj zoni.\n* Uklonite Papir.\n* Zatvorite poklopac štampaca i ponovo ga napunite s papirom.\n* Ako greška nije uklonjena, ponovo pokrenite terminal."
ScotApp_1841,Molimo otiđite na traku za potvrdu
ScotApp_1740,Provjerite Kesicu
ScotApp_938,938unused
ScotApp_838,Sporazumi Korisnika
ScotApp_1133,Zaglavljenje u akceptoru novčanica.
ScotApp_1387,"* Pronadena fatalna softverska pogreška.\n* Restartajte terminal.\n\nDa biste restartali terminal:\n* Okrenite kljuc Nadglednika prema ‘S’ –ILI- pritisnite tipku Nadglednika.\n* Dotaknite ""Prekid rada racunala Cijelog Sustava"".\n* Pozovite pomoc/podršku i obavijestite ih o pogrešci."
ScotApp_1674,"Pritisnite gumb za odbacivanje da biste ispustili zaglavljene kovanice. Ako se greška pojavi ponovo, možda je došlo do zaglavljenja kovanica. Otvorite poklopac spremnika za kovanice i pricvrstite. Uklonite sve zaglavljene kovanice. Za resetiranje pritisnite gumb za odbacivanje. Ispustite i zatvorite poklopac spremnika za kovanice."
ScotApp_1650,(ddmmgg)
ScotApp_690,690unused
ScotApp_590,Tvornica uređaja završava...
ScotApp_490,"Skenirajte vaše proizvode, ili pritisnite ""Početak"" za početak."
ScotApp_390,Ukinjeni Proizvodi
ScotApp_290,290unused
ScotApp_190,Učitavanje Transakcijskog brokera...
ScotApp_990,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_890,Učitavanje Pametne vage...
ScotApp_1772,Kupon 
ScotApp_1661,"Nije moguce ispisati racun. Za ponovni pokušaj pritisnite ""Drugi racuni""."
ScotApp_1132,Greška u komunikaciji.
ScotApp_1386,Fatalna pogreška
ScotApp_784,* Izdavac novcanica nije u funkciji\n* Napunite izdavac novcanica ili\n* Uklonite zaglavljenje u izdavacu novcanica ili\n* Podesi kantu za cišcenje.
ScotApp_684,Danas
ScotApp_584,EBT Propalo.
ScotApp_484,Potreban je Potpis 
ScotApp_384,384unused
ScotApp_284,Skener: Podaci izgubljeni
ScotApp_1595,Jezik Povlašten
ScotApp_1451,ID blagajnika
ScotApp_984,Traka za odnošenje je učitana.
ScotApp_884,Poništi obustavu
ScotApp_1847,"Proizvod je dodan. Skenirajte sljedeći proizvod ili Ipritisnite ""Unesi Kod""."
ScotApp_1660,Odaberite opciju ispisa
ScotApp_1131,Kaseta za novcanice nije umetnuta ili nije pravilno umetnuta.
ScotApp_1385,Odaberite Jezik
ScotApp_1436,"Prijeđen prag za ""Preskoči pakiranje"""
ScotApp_1049,1049unused
ScotApp_666,666unused
ScotApp_1594,Pravilno ugasite i ponovno pokrenite terminal.
ScotApp_466,   Nepoznati Proizvodi su Skenirani
ScotApp_366,Zaglavljenje rezača pisača
ScotApp_266,Sig. Agent završava...
ScotApp_966,966unused
ScotApp_1541,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1846,"Skenirajte proizvod ili pritisnite ""Unesi Kod""."
ScotApp_1667,Zaglavljenje novčanica
ScotApp_1689,Greška u Preradniku Novčanica
ScotApp_745,745unused
ScotApp_645,Ponovo stavite skenirani proizvod na područje pakiranja.
ScotApp_1581,Izdavač kovanica
ScotApp_445,Naknada Gotovine
ScotApp_345,345unused
ScotApp_245,Čitač kartice uređaj nije djelatan
ScotApp_145,145unused
ScotApp_945,Limit\Pakiranje u vrecicu/kutiju
ScotApp_713,713unused
ScotApp_613,Stavite proizvod na vagu za pakiranje.
ScotApp_513,513unused
ScotApp_313,313unused
ScotApp_213,213unused
ScotApp_113,Poništite Proizvode 
ScotApp_1573,Pritisnite tipke punjenja za nadopunu ili pritisnite tipke Podizanje akceptora i Podizanje izdavača za pražnjenje.
ScotApp_913,Neočekivan proizvod na vagi uvjerenja.
ScotApp_813,"Otipkajte PO# / Posao Ime i pritisnite ""Unesite"""
ScotApp_1666,Greška u Preradniku Novčanica
ScotApp_1137,%s Kaseta za novcanice nije umetnuta.
ScotApp_1580,Izdavac novcanica
ScotApp_758,758unused
ScotApp_658,niska razina valute
ScotApp_558,Ograničena Količina Proizvoda
ScotApp_1653,Iznos prelazi ogranicenost. Maksimalni potrebni iznos je %s. Iznos je %s automatski unesen.
ScotApp_358,Povratak na Postupak podrške
ScotApp_258,Transakcijski broker završava...
ScotApp_158,Ovaj proizvod treba potvrdu trgovine. Molim vas nastavite.
ScotApp_1844,Tražiti
ScotApp_958,Vaga za pakiranje
ScotApp_858,Da
ScotApp_1136,Kanta za odbacene novcanice nije umetnuta ili nije u potpunosti zakvacena.
ScotApp_1587,Jeste li sigurni da želite zanemariti promjene na ekranu Upravljanje novčanicama?
ScotApp_1531,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1599,%s provjera postavke nije uspjela.
