AmountSaved,Sutaupyta suma
ScotApp_1706,"Įtaisas neparengtas.\n* Uždarykite bet kokias kitas programas, kurios galėtų kreiptis į įtaisą, ir palieskite ""Problemą ištaisiau"".\n* Jei klaida vėl įvyksta, kreipkitės į ""Gunnebo"" dėl techninės priežiūros."
ScotApp_1399, Patarnautojas
ScotApp_1494,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1672,Monetų grąžinimo į apyvartą įtaiso klaida
ScotApp_573,"Įveskite savo naudotojo ID ir palieskite ""Įvesti""."
ScotApp_173,173unused
ScotApp_775,Sveikiname pasirinkus NCR SelfServ Checkout! Gero pirkimo!
ScotApp_675,Monetų išdavimo įtaisas pripildytas
ScotApp_1481,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Paandykite dar kartą
ScotApp_39,Operacijos panaikinimas
ScotApp_29,Apribotos prekės
ScotApp_19,Mokesčiai
ScotApp_975,975unused
ScotApp_603,Redaguoti/pridėti svorio įvestį
ScotApp_99,Anuliuojamas kiekis
ScotApp_89,89unused
ScotApp_303,Panaikinti prekes
ScotApp_203,203unused
ScotApp_103,Įveskite prekės kodą
ScotApp_1889,Pasitikėjimo lygis
ScotApp_1443,"Įdėkite monetų, jei norite papildyti arba palieskite ""Išimti pinigus"" jei norite iškrauti."
ScotApp_903,Prekė pašalinta iš pakavimo zonos.
ScotApp_803,803unused
ScotApp_1555,Išdavimo įtaisas
ScotApp_1037,Parašas
ScotApp_1480,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1263,USERDEFINED5
ScotApp_1697,Kamštis išvalytas
ScotApp_748,748unused
ScotApp_648,UPC
ScotApp_548,548unused
ScotApp_448,Jūsų dažnai apsilankančio pirkėjo sąskaita suaktyvinta.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_948,\n* Nuotolinė pagalba
ScotApp_848,Reikalingas kiekis:
ScotApp_485,Reikia parašo
ScotApp_1036,EAS prekė aktyvi
ScotApp_1487,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1499,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1023,1023unused
ScotApp_1179,NUĖJIMO SKIRTASIS LAIKAS BAIGĖSI
ScotApp_1035,EAS prekė aktyvi
ScotApp_1682,Bendroji banknotų skaitytuvo įrenginio klaida
ScotApp_1486,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1144,Išdavimo įtaisas nereaguoja.
ScotApp_866,Taip
ScotApp_1498,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1384,Kalba
ScotApp_1743,"Kad prisijungtumėte, įveskite savo naudotojo ID ir palieskite ""Įvesti"" arba uždėkite pirštą ant pirštų atspaudų skaitytuvo"
ScotApp_1319,VAUČERIS
ScotApp_1178,PAŠALINIMO ATLIKIMO SLENKSTINĖ VERTĖ VIRŠYTA
ScotApp_1001,Prekė nerasta
ScotApp_1034,1034unused
ScotApp_1485,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1068,1068unused
ScotApp_1694,"Pakeitimas naudojamas, nes: %sPalieskite ""Grynųjų / popieriaus būklė"", kad papildytumėte arba išvalytumėte kamštį."
ScotApp_1165,"Atsargiai patraukite spausdintuvą pirmyn, kol jis užsifiksuos savo padėtyje.\n\nUždarykite spausdintuvo korpuso dureles ir užrakinkite jas."
ScotApp_1021,Dėmesio
ScotApp_1230,NEIGIAMA KUPONŲ VERTĖ
ScotApp_1484,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_912,Patvirtinti ir atnaujinti svorį
ScotApp_723,723unused
ScotApp_623,"Klaviatūra įveskite nuokrypį ir palieskite ""Įvesti""."
ScotApp_523,Kortelė nepriimta
ScotApp_423,"Įdėkite kortelę. Patikrinkite, ar krepšyje nėra daugiau prekių."
ScotApp_323,  Kiekis %d @ %d/%s
ScotApp_223,Kortelių skaitytuvo paėmimo dėžė pilna
ScotApp_123,123unused
ScotApp_1020,Nuskenuoti prekes
ScotApp_923,923unused
ScotApp_823,Panaikinimo patvirtinimas
ScotApp_1483,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1237,KUPONAS
ScotApp_1680,"Neištaisoma klaida.  Prašome uždaryti kasos takelį.  Susisiekite su ""Gunnebo"" ir pateikite informaciją apie klaidą, kuri nurodyta toliau.\n\n""SafePay"" klaida: %s"
ScotApp_702,702unused
ScotApp_602,Redaguoti/pridėti \nsvorio įvestį
ScotApp_502,Atidėkite panaikintą prekę į šalį.
ScotApp_402,Nėra
ScotApp_302,Mokėjimo įtaise įveskite savo PIN.
ScotApp_202,Sign off testavimas...
ScotApp_102,Atšaukta prekė
ScotApp_1722,"Įjungtas takelio mokymosi režimas, tęsti operaciją?"
ScotApp_902,Prekė pašalinta iš pakavimo zonos.  Padėkite prekę atgal.
ScotApp_802,"\nPirkti visą dėžę prekės\n%s? \n\nPasirinkite ""Taip"" arba ""Ne""."
ScotApp_568,Išvalyti
ScotApp_468,   Atšaukta
ScotApp_368,Popierius neįdėtas – spausdintuvo kamštis
ScotApp_268,Kortelė nenuskaityta
ScotApp_1027,"Palieskite ""Taip"", jei operaciją norite panaikinti, arba ""Ne"", jei operaciją norite tęsti."
ScotApp_1354,Paimkite dovanų kortelę
ScotApp_968,968unused
ScotApp_868,Įgaliojimų patikrinimo numerio įvestis:
ScotApp_1433,ant apsauginių svarstyklių.
ScotApp_1687,"Jei norite iškrauti grynuosius, naudokite ekraną ""Grynųjų / popieriaus būklė""."
ScotApp_1150,Atidarytas spausdintuvo korpuso dangtis.
ScotApp_1699,"Pakeitimas naudojamas, nes: %sPapildykite arba išvalykite kamštį, tada palieskite ""Būklė ištaisyta""."
ScotApp_1259,USERDEFINED1
ScotApp_1223,TRŪKSTA PINIGŲ / POPIERIAUS
ScotApp_1379,vieneto kaina
ScotApp_1432,<<<Liko mažai banknotų. Prašome papildyti.>>>
ScotApp_1686,"Neištaisoma klaida.  Prašome uždaryti kasos takelį.  Susisiekite su ""Gunnebo"" ir pateikite informaciją apie klaidą, kuri nurodyta toliau.\n\n""SafePay"" klaida: %s"
ScotApp_1157,"Gali būti, jog atidarytos banknotų išdavimo įtaiso durelės.\n\nAtidarius prieigos dureles banknotų išdavimo įtaisas neveiks.\n\nVisiškai uždarykite ir užfiksuokite išdavimo įtaiso arba seifo dureles."
ScotApp_1013,Susikaupusios prekės
ScotApp_1184,DAUGIAU DUOMENŲ
ScotApp_1848,"Prekė ištrinta. Nuskenuokite kitą prekę arba palieskite ""Įveskite kodą""."
ScotApp_1169,"Atidarykite spausdintuvo korpuso dureles.\n* Atsargiai patraukite spausdintuvą pirmyn, kol jis užsifiksuos savo padėtyje.\n* Uždarykite spausdintuvo korpuso dureles ir užrakinkite jas."
ScotApp_1662,Kiti kvitai
ScotApp_1311,"* Išimkite banknotų priėmimo įtaisą.\n* Atidarykite priėmimo įtaiso modulį.\n* Patikrinkite, ar nėra kamščių, tada modulį pakeiskite.\n* Patikrinkite, ar įsijungia banknotų priėmimo įtaiso variklis ir ar LED rodiklis šviečia žaliai."
ScotApp_1025,Nuimkite visas prekes nuo juostos ir uždarykite apsaugos gaubtą.
ScotApp_1378,svoris
ScotApp_22,Pinigai\nneišmokami\n+ 0          \n(%s)
ScotApp_1234,KIEKIS APRIBOTAS
ScotApp_1685,Bendroji monetų įrenginio klaida
ScotApp_1156,"Patikrinkite, ar įjungtas monetų išdavimo įtaiso maitinimo jungiklis."
ScotApp_1012,Jūsų prekė transportuojama.
ScotApp_1365,MSR
ScotApp_1235,EAS PREKĖ AKTYVI
ScotApp_1221,NEIGIAMAS BALANSAS
ScotApp_1143,Monetų yra mažai arba monetų konteinerio nėra.
ScotApp_434,Pašalpos tipas
ScotApp_1625,"Įdėkite monetų, jei norite papildyti arba palieskite ""Išimti monetas"" jei norite iškrauti."
ScotApp_1430,Anuliuoti prekę
ScotApp_1684,Monetų grąžinimo į apyvartą įtaiso klaida
ScotApp_1155,Įtaisas neprijungtas.
ScotApp_834,Mokesčiai && susitarimai su klientu:
ScotApp_799,Patikrinkite krepšį
ScotApp_699,Neparduodama prekė
ScotApp_599,"""Forms Device"" nustatoma iš naujo..."
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,"Programa ""User Exits"" įkelta."
ScotApp_743,743unused
ScotApp_643,Prekė ištrinta. Nuskenuokite kitą prekę.
ScotApp_543,Operatoriaus ID negali būti didesnis nei %d skaitmenys
ScotApp_343,343unused
ScotApp_243,Kortelių skaitytuve – netinkama kortelė
ScotApp_999,Riba viršyta
ScotApp_899,Patvirtinti anuliavimą:
ScotApp_1220,EFT
ScotApp_1142,Monetų išdavimo įtaiso klaida
ScotApp_943,Naudoju savo maišą
ScotApp_843,843unused
ScotApp_1437,"Viršyta parametro ""Prekė pašalinta"" slenkstinė vertė"
ScotApp_1601,     kortelių išdavimo dėžėje atsargų lygis žemas
ScotApp_722,722unused
ScotApp_622,Redaguoti UPC nuokrypį
ScotApp_522,Klaidingas PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Spausdintuvo užklausos seka: patikrinkite, ar nėra spausdintuvo arba įvykių žiūryklės klaidų, tada palieskite ""Problemą ištaisiau""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Patvirtinti panaikintą prekę
ScotApp_1715,Laikino sustabdymo atmetimo patvirtinimas
ScotApp_1227,LAIKAS APRIBOTAS
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,"Įdėkite kortelę. Patikrinkite, ar krepšyje nėra daugiau prekių."
ScotApp_301,Įveskite kupono vertę
ScotApp_201,Sign on testavimas...
ScotApp_101,Nežinoma kaina
ScotApp_1633,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_901,Patvirtinimas praleisti pakavimą.
ScotApp_801,Pirkti dėžę
ScotApp_1824,Skaitmeninis kvitas nebuvo sugeneruotas.
ScotApp_1328,Dvigubas svoris
ScotApp_1299,Pradėti operaciją ir pereiti į pagalbos režimą
ScotApp_1226,ATŠAUKTA PREKĖ
ScotApp_1140,Kamštis banknotų išdavimo įtaise.
ScotApp_1579,Banknotų priėmimo įtaisas
ScotApp_1426,%s\nAr %d teisinga?
ScotApp_1632,"Nuimkite banknotų dangtį. Patikrinkite kabelį į banknotų patikrinimo įtaisą ir pamėginkite dar kartą.  Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros.\n\n""SafePay"" klaida: %s"
ScotApp_1141,Nepavyko išduoti: %s. ĮSPĖJIMAS: banknotas gali būti įstrigęs banknotų išdavimo įtaiso viršuje.
ScotApp_1791,Tik grynieji
ScotApp_1357,Paimkite dovanų kortelę
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Priverstinis pakavimas
ScotApp_514,514unused
ScotApp_314,dėžės problema
ScotApp_214,Tikrinama debeto kortelė
ScotApp_114,Panaikinti prekės negalima
ScotApp_1369,Įvair.
ScotApp_78,Bankomatas (be grynųjų)
ScotApp_1630,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Nueikite prie kasos, nuimkite papildomas prekes ir palieskite ""Apsaugos išjungimas""."
ScotApp_1422,Nešiojamasis skeneris
ScotApp_18,Iš viso
ScotApp_1147,Apsauginių svarstyklių klaida
ScotApp_1578,Vertė iš viso:
ScotApp_1022,Praleisti juostą
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Apribotas laikas
ScotApp_1434,Apribotas amžius
ScotApp_1356,Paimti
ScotApp_1212,KITA
ScotApp_1455,Netinkamas numeris
ScotApp_1713,"Jei laikiną sustabdymą reikia atmesti, palieskite ""Patvirtinti"" "
ScotApp_1565,Įveskite įkrovimo vertė (%s)
ScotApp_194,"Įkeliama programa ""Device Manager""..."
ScotApp_1275,USERDEFINED17
ScotApp_1146,Priėmimo įtaisas nereaguoja.
ScotApp_1303,Priimta lojalumo kortelė: #%s
ScotApp_70,70unused
ScotApp_60,Kviesti pagalbą
ScotApp_50,50unused
ScotApp_40,Parduotuvės administravimas
ScotApp_30,Anuliuotos prekės
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,"Negalima anuliuoti prekės, kol nebus anuliuotas jos kuponas. Anuliuokite prekės kuponą."
ScotApp_1211,STANDARTAS
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,PIN įvedimo klaida
ScotApp_463,"Išjungiama programa ""Remote Approval""..."
ScotApp_363,\nKlaviatūra įveskite operatoriaus slaptažodį.
ScotApp_163,163unused
ScotApp_1420,Panaikinti prekę\n%s?
ScotApp_1145,Monetų priėmimo įtaiso klaida
ScotApp_963,Panaikinti prašymą
ScotApp_863,Kupono vertės įvestis
ScotApp_1816,Monetos istrigo arba dureles yra atidarytos.
ScotApp_1637,Kabelio problema
ScotApp_742,742unused
ScotApp_642,Prekė pridėta. Nuskenuokite kitą prekę.
ScotApp_542,operatoriaus brūkšninio kodo sukurti negalima.
ScotApp_342,Tipo aprašas
ScotApp_242,Kortelių skaitytuve įstrigo kortelė
ScotApp_142,Patvirtinkite sumą
ScotApp_1210,PASKUTINIS RODINYS
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Mokėjimas padedant operatoriui
ScotApp_1427,Pakeiskite kiekį šiai prekei: \n%s
ScotApp_721,721unused
ScotApp_621,Standartas
ScotApp_1341,Garsumo valdymas
ScotApp_421,"Kad pradėtumėte, nuskenuokite savo prekes arba palieskite ""Pradžia""."
ScotApp_321,Operacijos patikrinimas
ScotApp_221,Uždarykite spausdintuvo korpuso dureles ir užrakinkite jas.
ScotApp_121,prekes iš pakavimo vietos.
ScotApp_1636,Monetų grąžinimo į apyvartą įtaiso klaida
ScotApp_921,Laukiamas svoris ant apsauginių svarstyklių.
ScotApp_821,821unused
ScotApp_600,Prekių saugos priežiūra
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Parašų fiksavimo įtaisas
ScotApp_200,"Programa ""Transaction Broker"" bandoma..."
ScotApp_100,Reikalingas kiekis
ScotApp_1076,Dėmesio
ScotApp_1623,Perkelti banknotus į kasetę paėmimui
ScotApp_1340,Išjungti visą sistemą
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Piltuvu dežes nera arba ji neideta.
ScotApp_1758,Kuponų dėžės klaida
ScotApp_1635,"Patikrinkite kabelį į banknotų grąžinimo į apyvartą įtaisą ir pamėginkite dar kartą.   Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros.\n\n""SafePay"" klaida: %s"
ScotApp_1557,Išėmimas iš išdavimo įtaiso
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,"Prekės, kurioms taikomi laiko apribojimai"
ScotApp_1413,"Prašome baigti savo operaciją per artimiausias # min.  Gali būti, jog netrukus bus nutrauktas energijos tiekimas."
ScotApp_334,Kortelių skaitytuvo klaida – nėra kortelės
ScotApp_234,"Išimkite banknotų kasetę.\n\nIšimkite banknotus iš kasetės.\n\nVėl įstatykite kasetę, kad ji būtų užfiksuota savo padėtyje.\n\nPatraukite kasetės rankenėlę, kad įsitikintumėte, jog kasetė yra užraktu laikoma reikiamoje padėtyje."
ScotApp_1569,Vertė
ScotApp_1801,Veikimo režimas
ScotApp_934,Svorio padidėjimas
ScotApp_1622,Kasetė
ScotApp_768,Laikino sustabdymo patvirtinimas
ScotApp_668,Parašas atspausdintas sėkmingai.
ScotApp_1347,Mėginama prisijungti iš naujo
ScotApp_1778,Apsaugos išjungimas
ScotApp_168,Nuskenuokite savo kuponus ir atidėkite juos į šalį iki pirkimo procedūros pabaigos.
ScotApp_1203,PRIPAŽINTAS DOKUMENTAS
ScotApp_1634,Kabelio problema
ScotApp_1556,Išėmimas iš priėmimo įtaiso
ScotApp_1412,Pagalbos funkcijos
ScotApp_1783,APSAUGOS GAUBTAS ATIDARYTAS
ScotApp_1232,PATVIRTINTAS PARAŠAS
ScotApp_1568,Galutinė suma:        %s
ScotApp_1800,Pasirinkite veikimo režimą
ScotApp_1495,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1621,Atrakinkite banknotų kasetę
ScotApp_1346,"Kasa neprijungta, sistema mėgina prisijungti iš naujo."
ScotApp_72,72unused
ScotApp_62,Taip
ScotApp_52,Panaikinti kuponus
ScotApp_42,Anuliuotos prekės
ScotApp_32,Tęsti
ScotApp_12,  Kiekis %d @ %s/each
ScotApp_1411,Pakeisti kiekį
ScotApp_92,Sveiki!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Baigti ataskaitos laikotarpį
ScotApp_1620,Atrakinkite banknotų dangtį
ScotApp_1345,"""Security Manager"" išjungiama..."
ScotApp_1819,Monetu gražinimo i apyvarta irenginio priemimo itaiso klaidos
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Priėmimo įtaisas
ScotApp_462,"Programa ""Remote Approval"" įkelta."
ScotApp_362,Įveskite slaptažodį
ScotApp_262,262unused
ScotApp_162,Nuskenuokite savo prekes ir kuponus.
ScotApp_1410,Pakeisti kainą
ScotApp_962,"Paimkite anuliuotą prekę kasos takelyje, o tada palieskite ""Anuliavimo patvirtinimas""."
ScotApp_862,Kupono vertės įvestis:
ScotApp_1806,"\n* Palieskite ""Tik kortelės"", kad užbaigtumėte operaciją, ir rankiniu būdu išduokite klientui grąžą."
ScotApp_1088,1088unused
ScotApp_1627,Monetų/banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_741,741unused
ScotApp_641,  Vid.sv.    Patvir.   V.mast.    Tol.tipas    Tol.vertė     Data
ScotApp_541,Operatoriaus kodo spausdinimas
ScotApp_441,Patvirtinkite sumą
ScotApp_341,341unused
ScotApp_241,"Nenumatyta programos ""Device Manager"" klaida"
ScotApp_141,Pasirinkite kortelės tipą
ScotApp_941,Anuliuota prekė
ScotApp_841,Prekės įvestis
ScotApp_1873,1873unused
ScotApp_25,Gimimo data:
ScotApp_720,720unused
ScotApp_520,Nežinoma prekė
ScotApp_420,420unused
ScotApp_320,Grįžti atgal
ScotApp_220,"* Atidarykite spausdintuvo korpuso dureles.\n* Atidarykite spausdintuvo dangtį, kad patikrintumėte, ar spausdintuve nesusidarė kamštis.\n* Į spausdintuvą įdėkite naują popieriaus ruloną.\n* Uždarykite spausdintuvo korpuso dureles ir užrakinkite jas."
ScotApp_120,Operacija panaikinta. Pašalinkite
ScotApp_1626,"Įdėkite grynųjų, jei norite papildyti, arba pasirinkite kitą funkciją."
ScotApp_1423,Nešiojamasis skeneris mėgina prisijungti.
ScotApp_920,Patvirtinti/neatnaujinti.
ScotApp_820,Patvirtinti panaikinimą
ScotApp_1757,"Jei norite pridėti kirtį, palieskite mygtuką ""Kirtis"" ekrano apačioje, tada įveskite raidę."
ScotApp_1872,1872unused
ScotApp_754,Praėjusių 7 dienų suvestinė
ScotApp_554,Kol kas mokamosiomis kortelėmis nebraukite.
ScotApp_1613,Atmetimo dėžė
ScotApp_354,Sistemos funkcijos
ScotApp_254,"Monetų išdavimo įtaisas neveikia.\nPripildykite monetų išdavimo įtaisą arba\nįjunkite energijos tiekimą, arba\nišvalykite kamštį išdavimo įtaise."
ScotApp_154,Įkeliama...
ScotApp_1769,Įvesti kodą
ScotApp_1240,GRYNIEJI
ScotApp_954,"Atidaryti ""Smart Scale"" nepavyko"
ScotApp_854,Penkios prekės
ScotApp_1547,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1403,"Išjunkite ir paleiskite iš naujo NCR SelfServ Checkout programą. Jei klaida išlieka, susisiekite su savo pagalbos tarnyba."
ScotApp_545,Apribota prekė
ScotApp_1559,Išeiti
ScotApp_1871,%s %s nustatyta
ScotApp_1612,Kortelių tvarkymas
ScotApp_1550,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_845,Nuskenuokite papildomas prekes:
ScotApp_1564,Įveskite įkrovimo skaičių (%s)
ScotApp_1768,Nepalaikomas svorio vienetas.
ScotApp_1272,USERDEFINED14
ScotApp_1546,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_74,Patvirtinti anuliavimus
ScotApp_64,Panaikinti pasirinktą
ScotApp_54,Panaikinti
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Išeiti ir išsaugoti
ScotApp_14,14unused
ScotApp_1870,%s %s laukiama
ScotApp_1389,Parašo užfiksavimo įtaiso klaida
ScotApp_1611,     atmetimo dėžė pilna
ScotApp_94,94unused
ScotApp_84,Įkelti pasirinktis
ScotApp_1289,B - C
ScotApp_687,Išspausdinti ataskaitą
ScotApp_587,Parašas
ScotApp_487,Že-\nmyn
ScotApp_387,Transportavimo kamštis
ScotApp_287,Skeneris: netinkama žyma
ScotApp_1545,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1336,Pagalbinės funkc.
ScotApp_987,Prekė pašalinta nuo juostos. Padėkite prekę atgal.
ScotApp_887,Prekė pašalinta
ScotApp_555,Kitas mokėjimas
ScotApp_1610,     Atmetimo dėžė beveik pilna (%s)
ScotApp_1041,Patvirtinti parašą
ScotApp_1691,Grynųjų pinigų tvarkymas
ScotApp_1809,Monetu gražinimo i apyvarta irenginio išdavimo itaiso klaidos
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,PATIKRINTA TAPATYBĖ
ScotApp_561,Atidėkite kuponus į šalį.
ScotApp_461,"Įkeliama programa ""Remote Approval""..."
ScotApp_361,Kasos uždaryta
ScotApp_261,261unused
ScotApp_961,"Masės nustatymo duomenų bazės gedimas: patikrinkite, ar nėra įvykių žiūryklės klaidų, tada palieskite ""Problemą ištaisiau""."
ScotApp_861,861unused
ScotApp_1876,%s %s nustatyta
ScotApp_740,740unused
ScotApp_640,Esamos WLDB svorio įvestys
ScotApp_540,540unused
ScotApp_340,Pasirinkite prekę iš sąrašo. Paslinkti aukštyn arba žemyn galite mygtukais su rodyklėmis.
ScotApp_240,"Bendrasis programos ""Device Manager"" gedimas"
ScotApp_140,Dėkojame
ScotApp_1105,"e=d=0,005 kg Max 13,995 kg min 0,1 kg Nmax 2799"
ScotApp_1192,SURINKIMO MOKESTIS
ScotApp_940,Anuliavimas
ScotApp_840,Prekės įvestis:
ScotApp_1863,Palieskite „Patvirtinti“ arba „Anuliuoti prekę“
ScotApp_1463,Vertės pokytis
ScotApp_1875,%s %s laukiama
ScotApp_774,Uždirbti taškai:
ScotApp_674,"""Mokėjimas atmestas, priežastis: """
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Spausdintuvo nepageidaujamos žymos klaida
ScotApp_174,Nuskenuotos prekės surasti nepavyko. Ji dar nebuvo nupirkta arba ji jau panaikinta.
ScotApp_1029,Įdėkite kuponą
ScotApp_974,974unused
ScotApp_1679,Banknotų bibliotekos klaida
ScotApp_1747,Pirštų atspaudų skaitytuvo klaida
ScotApp_1862,Patikrinkite prekę ant skenerio svarstyklių
ScotApp_1603,     kortelių išdavimo dėžėje atsargų lygis normalus
ScotApp_1419,Sudėtinė pakuotė
ScotApp_1759,Kuponų dėžė pilna
ScotApp_649,Kaina integruota
ScotApp_1039,Pirmesnėse prekėse yra EAS žymų.
ScotApp_849,Reikalingas kiekis
ScotApp_765,765unused
ScotApp_565,Darbuotojo registracija
ScotApp_1549,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1861,ATRENKAMŲ PREKIŲ SĄRAŠAS
ScotApp_1731,Įkeliami atren. pr. sąrašo vaizdai…
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Panaikinti mokėjimą
ScotApp_46,Pagalba
ScotApp_36,Grąžinta:
ScotApp_26,26unused
ScotApp_16,%s bus nuskaityta nuo kortelės.
ScotApp_719,719unused
ScotApp_619,Pasirinkite <Įvesti nuokrypį> arba <Standartas> jei norite redaguoti dabar nustatytą nuokrypį.
ScotApp_519,Kupono suma per didelė
ScotApp_419,419unused
ScotApp_319,Mokėti kortele
ScotApp_219,219unused
ScotApp_119,Panaikinti visas prekes
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Pasirinkite iš sąrašo
ScotApp_1038,Patikrinti parašą
ScotApp_919,"Patikrinkite prekės svorį ir palieskite ""Patvirtinti ir atnaujinti svorį"" arba palieskite ""Patvirtinti/neatnaujinti""."
ScotApp_1489,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1745,Pirštų atspaudų nuskaitymo įtaisas atjungtas.\n\nPamėginkite dar kartą.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Laikinai sustabdyta kasos takelyje
ScotApp_686,Vakar
ScotApp_586,Kuponai: %0.0ld/$%0.2lf
ScotApp_486,Aukš-\ntyn
ScotApp_386,Kasetė išimta
ScotApp_286,Skeneris: netinkamas žymos sufiksas 2
ScotApp_186,186unused
ScotApp_1488,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_986,986unused
ScotApp_886,Prekė pašalinta iš pakavimo zonos.\nGrąžinkite prekę.
ScotApp_1393,"Išjunkite ir paleiskite iš naujo NCR SelfServ Checkout programą. Jei klaida išlieka, susisiekite su pagalbos tarnyba."
ScotApp_1867,Kameros vaizdas uždengtas
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,Panaikinti pirkinius
ScotApp_1024,1024unused
ScotApp_760,Perbraukite kortelę šio monitoriaus šone.
ScotApp_660,visi grynųjų lygiai normalūs
ScotApp_460,Šiuo jūsų pirkimo procedūra bus baigta.
ScotApp_360,Uždaryti kasą
ScotApp_260,260unused
ScotApp_1392,Trijų šviesos diodų klaida
ScotApp_960,\n* Viršyta didžiausia leidžiama vertė.\n* Nuimkite prekes nuo apsauginių svarstyklių.
ScotApp_860,Reikalingas matmuo:
ScotApp_1866,Populiaresnės
ScotApp_1459,Grynųjų tvarkymo ataskaita
ScotApp_1239,NĖRA
ScotApp_1301,Redaguoti prekių sąrašą
ScotApp_1749,Apdorojamas piršto atspaudas
ScotApp_1017,Nuimkite susikaupusias ant juostos prekes.
ScotApp_1771,Kupono vertės riba
ScotApp_739,739unused
ScotApp_639,Tiketin.svoris  Svorio palygin.
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,"Nenumatyta programos ""Device Manager"" būklė"
ScotApp_1092,Ataskaitos turinys
ScotApp_1851,Nepatvirtinti 
ScotApp_1238,KITAS MOKĖJIMAS
ScotApp_939,Skirtasis laikas baigėsi
ScotApp_839,Panaikinti veiksmą
ScotApp_1333,Grįžtis
ScotApp_24,Anuliuota
ScotApp_1016,Susikaupusios prekės ant juostos
ScotApp_1615,"Jei norite iškrauti palieskite mygtuką ""Išėmimas iš priėmimo įtaiso"""
ScotApp_1723,Mokym. operacija
ScotApp_1028,Viršyta kuponų slenkstinė vertė
ScotApp_1435,Monetų\banknotų išdavimo įtaiso klaida
ScotApp_1698,"Palieskite ""Būklė ištaisyta""."
ScotApp_1688,Kasetės klaida
ScotApp_454,454unused
ScotApp_1593,Išimti monetas
ScotApp_1642,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_1015,Susikaupusios prekės
ScotApp_785,785unused
ScotApp_685,Kas valandą
ScotApp_585,585unused
