AmountSaved,Gespart
ScotApp_1685,Allgemeiner Fehler: Münzeneinheit
ScotApp_1156,"Überprüfen, ob Netzschalter des Münzenausgabemoduls eingeschaltet ist."
ScotApp_1012,Ihr Artikel wird transportiert.
ScotApp_1365,MSR
ScotApp_1235,EAS-ARTIKEL AKTIV
ScotApp_1221,SALDO NEGATIV
ScotApp_1143,Münzvorrat aufgebraucht oder Münzbehälter nicht vorhanden.
ScotApp_434,Vorteilsart
ScotApp_1625,"Münzenausgabemodul bestücken, oder ""Münzen herausnehmen"" berühren, um Modul zu entleeren."
ScotApp_1430,Artikel stornieren
ScotApp_1684,Fehler: Münzenrecycler
ScotApp_1155,Gerät ist offline.
ScotApp_834,Fees && Customer Agreements:
ScotApp_799,Einkaufskorb überprüfen
ScotApp_699,Nicht verkaufbarer Artikel
ScotApp_599,Resetting Forms Device...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,User Exists geladen.
ScotApp_743,743unused
ScotApp_643,Artikel gelöscht. Nächsten Artikel scannen.
ScotApp_543,Bediener-Identifikation max. %d Stellen.
ScotApp_343,343unused
ScotApp_243,Kartenleser - ungültige Karte
ScotApp_999,Limit überschritten
ScotApp_899,Stornierung genehmigen für
ScotApp_1220,EFT
ScotApp_1142,Fehler im Münzenausgabemodul
ScotApp_943,Ich benutze meine eigene Tasche
ScotApp_843,843unused
ScotApp_1437,"""Artikel entfernen"" Schwellenwert überschritten"
ScotApp_1601,     Kartenausgabebehälter muss nachgefüllt werden
ScotApp_722,722unused
ScotApp_622,Ändern Toleranz für EAN
ScotApp_522,Falsche PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Fehler Druckauftrag: Drucker oder Ereignisanzeige überprüfen, dann ""Problem gelöst"" drücken"
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Bitte genehmigen Sie den stornierten Artikel.
ScotApp_1715,Genehmigung der Abbruchverweigerung
ScotApp_1227,ZEITLICH BEGRENZT
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,Führen Sie die Karte ein. Prüfen Sie Ihren Warenkorb nach zusätzlichen Artikeln.
ScotApp_301,Eingabe Coupon-Wert
ScotApp_201,Test Anmeldung...
ScotApp_101,unbekannter Preis
ScotApp_1633,Fehler: Geldscheinrecycler
ScotApp_901,Einpackgenehmigung überspringen
ScotApp_801,Erfassung Flaschen-Kasten
ScotApp_1824,Elektronischer Beleg wurde nicht erstellt.
ScotApp_1328,Doppeltes Gewicht
ScotApp_1299,Transaktion starten und Hilfemodus wählen
ScotApp_1226,ZURÜCKGERUFENER ARTIKEL
ScotApp_1140,Geldscheinstau im Ausgabemodul.
ScotApp_1579,Geldscheinannahmemodul
ScotApp_1426,%s\nIst %d richtig?
ScotApp_1632,"Geldscheinrecyclerabdeckung öffnen. Kabelverbindung am Geldscheinprüfer überprüfen und Vorgang wiederholen. Wenn der Fehler erneut auftritt, Service rufen.\n\nSafePay-Fehler: %s"
ScotApp_1141,%s konnte(n) nicht herausgegeben werden. VORSICHT: Möglicher Geldscheinstau oben im Ausgabemodul.
ScotApp_1791,Nur Bargeld
ScotApp_1357,Geschenkgutschein abholen
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Einpackpflicht
ScotApp_514,514unused
ScotApp_314,Behälter-Problem
ScotApp_214,Gutschrift Prüfung
ScotApp_114,kein Storno möglich
ScotApp_1369,Div
ScotApp_78,EC-Karte
ScotApp_1630,Fehler: Geldscheinrecycler
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Gehen Sie zur Kasse, entnehmen Sie die Extraartikel und berühren Sie ""Beheben""."
ScotApp_1422,Handscanner
ScotApp_18,Summe
ScotApp_1147,Sicherheitswaagenfehler
ScotApp_1578,Gesamtwert:
ScotApp_1022,Ich möchte diesen\nArtikel nicht einpacken
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Zeitlich begrenzt
ScotApp_1434,Alter limitiert
ScotApp_1356,Abholen
ScotApp_1212,ANDERE
ScotApp_1455,Ungültige Nummer
ScotApp_1713,"Drücken Sie ""Approve"", um den Abbruch zu verweigern"
ScotApp_1565,Bestückungswert eingeben für %s
ScotApp_194,Device Manager wird geladen ...
ScotApp_1275,USERDEFINED17
ScotApp_1146,Annahmemodul reagiert nicht.
ScotApp_1303,Kundenkarte [wurde*] akzeptiert: #%s
ScotApp_70,70unused
ScotApp_60,Bitte um Hilfe
ScotApp_50,50unused
ScotApp_40,Filial-Autorisierung
ScotApp_30,stornierte Artikel
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,Artikel kann erst nach Storno des Coupons storniert werden. storniere Coupon zuerst.
ScotApp_1211,STANDARDEINSTELLUNG
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,PIN-Eingabe-Fehler
ScotApp_463,Fernbedienung beendet....
ScotApp_363,\nEingabe Bediener-Passwort über Tastatur.
ScotApp_163,163unused
ScotApp_1420,Artikel stornieren\n%s?
ScotApp_1145,Fehler im Münzenannahmemodul
ScotApp_963,Anfrage abbrechen
ScotApp_863,Coupon-Wert eingeben
ScotApp_1816,Münzstau oder Tür offen.
ScotApp_1637,Kabelproblem
ScotApp_742,742unused
ScotApp_642,Artikel erfasst. Scanne nächsten Artikel.
ScotApp_542,Bediener Strichcode kann nicht erstellt werden.
ScotApp_342,Artkl.-Bezchng. eingeben
ScotApp_242,Kartenleser - Kartenstau
ScotApp_142,Betrag bestätigen
ScotApp_1210,LETZTE ANSICHT
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Zahlungsart erfordert Hilfe vom Personal
ScotApp_1427,Artikelmenge ändern für: \n%s
ScotApp_721,721unused
ScotApp_621,Standard
ScotApp_1341,Lautstärkeregler
ScotApp_421,"Scannen Sie Artikel, oder drücken Sie ""Anfang"" um anzufangen."
ScotApp_321,Vorgangs-Überprüfung
ScotApp_221,Druckergehäuseklappe schließen und verriegeln.
ScotApp_121,Alle Artikel dieser Kassenstelle.
ScotApp_1636,Fehler: Münzenrecycler
ScotApp_921,Auf der Sicherheitswaage wurde ein Gewicht erwartet.
ScotApp_821,821unused
ScotApp_600,Pflege Sicherheits-System
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Sigcap
ScotApp_200,Transaction Broker wird getestet...
ScotApp_100,gewünschte Menge
ScotApp_1076,Achtung!
ScotApp_1623,Scheine für die Abholung in die Kassette übertragen.
ScotApp_1340,System herunterfahren
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Münzbehälter ist draußen oder nicht richtig eingesetzt.
ScotApp_1758,Fehler beim Coupon-Behälter
ScotApp_1635,"Kabelverbindung am Geldscheinrecycler überprüfen und Vorgang wiederholen. Wenn der Fehler erneut auftritt, Service rufen.\n\nSafePay-Fehler: %s"
ScotApp_1557,Ausgabemodul leeren
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Art. zeitl. begrenzt
ScotApp_1413,Bitte beenden Sie Ihre Transaktion in den nächsten # Minuten.  Der Strom wird bald abgeschaltet.
ScotApp_334,Kartenleser Fehler keine Karte
ScotApp_234,"Geldscheinkassette herausnehmen.\n\nGeldscheine aus Kassette nehmen.\n\nKassette hineinschieben, bis sie einrastet.\n\nAm Griff ziehen, um sicherzustellen, dass die Kassette richtig eingerastet ist."
ScotApp_1569,Wert
ScotApp_1801,Betriebsmodus
ScotApp_934,Gewicht erhöhen
ScotApp_1622,Kassette
ScotApp_768,Zurückstellungs-Bestätigung
ScotApp_668,Druck der Unterschrift erfolgreich.
ScotApp_1347,Versuche Verbindung 
ScotApp_1778,Beheben
ScotApp_168,Scannen Sie Ihre Coupons und legen Sie diese zur Seite bis zum Ende des Einkaufs.
ScotApp_1203,INDOSSIERTES DOKUMENT
ScotApp_1634,Kabelproblem
ScotApp_1556,Annahmemodul leeren
ScotApp_1412,Hilfefunktionen
ScotApp_1783,SICHERHEITSABDECKUNG OFFEN
ScotApp_1232,GENEHMIGTE UNTERSCHRIFT
ScotApp_1568,Gesamtsumme:                %s
ScotApp_1800,Betriebsmodus auswählen
ScotApp_1495,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1621,Geldscheinkassette aufschließen
ScotApp_1346,"Die Kasse ist offline, und das System versucht, die Verbindung wiederherzustellen."
ScotApp_72,72unused
ScotApp_62,Ja
ScotApp_52,lösche Coupon
ScotApp_42,stornierte Artikel
ScotApp_32,Weiter
ScotApp_12,  Menge %d @ %s/für alle
ScotApp_1411,Menge ändern
ScotApp_92,Guten Tag
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Berichtsperiode beenden
ScotApp_1620,Geldscheinrecyclerabdeckung aufschließen
ScotApp_1345,Sicherheitsmanager wird beendet...
ScotApp_1819,Fehler bei der Münzrückführungsannahme
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Annahmemodul	
ScotApp_462,Fernbedienung geladen.
ScotApp_362,Eingabe Passwort
ScotApp_262,262unused
ScotApp_162,Scannen Sie Ihre Artikel.
ScotApp_1410,Preis ändern
ScotApp_962,"Bitte stornierten Artikel von der Kasse abholen und ""Stornierung genehmigen"" berühren."
ScotApp_862,Coupon-Wert eingeben:
ScotApp_1806,"\n* ""Nur EC-Karten"" berühren, um die Transaktion zu beenden und Wechselgeld per Hand ausgeben"
ScotApp_1088,1088unused
ScotApp_1627,Fehler: Münzen-/Geldscheinrecycler
ScotApp_741,741unused
ScotApp_641,Gew. i. D.  Genehmigt   Zähler  Toleranztyp   Toleranzwert   Datum
ScotApp_541,Drucke Bediener Strichcode
ScotApp_441,Betrag bestätigen
ScotApp_341,341unused
ScotApp_241,"Device Manager, unerwarteter Fehler"
ScotApp_141,Wählen Sie Kartentyp
ScotApp_941,Stornierter Artikel
ScotApp_841,Artikel Eingabe
ScotApp_1873,1873unused
ScotApp_25,Geburtsdatum:
ScotApp_720,720unused
ScotApp_520,Unbekannte Artikel-Nr.
ScotApp_420,420unused
ScotApp_320,Zurück
ScotApp_220,"* Druckergehäuseklappe öffnen.\n* Druckerabdeckung öffnen und prüfen, ob Stau vorliegt.\n* Neue Papierrolle in Drucker einlegen.\n* Druckergehäuseklappe schließen und verriegeln."
ScotApp_120,Vorgangsabbruch. Entnehmen
ScotApp_1626,Geldscheinausgabemodul auffüllen oder andere Funktion wählen.
ScotApp_1423,Der Handscanner versucht die Verbindung aufzubauen.
ScotApp_920,Genehmigen & nicht aktualisieren.
ScotApp_820,Stornierung genehmigen
ScotApp_1757,"Um einen Akzent hinzuzufügen, drücken Sie unten auf dem Bildschirm eine Akzent-Taste und geben dann den Buchstaben ein."
ScotApp_1872,1872unused
ScotApp_754,Übersicht letzte 7 Tage
ScotApp_554,Im Moment bitte die Kunden-Karte nicht durch den Leser ziehen.
ScotApp_1613,Behälter für abgelehnte Geldscheine
ScotApp_354,System-funktionen
ScotApp_254,Münz-Ausgabe gestört\nAuffüllen oder\nStrom einschalten oder\nMünzstau entfernen.
ScotApp_154,Laden...
ScotApp_1769,Code eingeb
ScotApp_1240,BARGELD
ScotApp_954,Smart Scale Startfehler
ScotApp_854,Fünf Artikel
ScotApp_1547,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1403,"Stoppen und starten Sie das NCR SelfServ Checkout-Programm neu. Sollte der Fehler immer noch auftreten, rufen Sie den Help Desk an."
ScotApp_545,Jugendschutz-Artikel
ScotApp_1559,Beenden
ScotApp_1871,%s %s gefunden
ScotApp_1612,Kartenmanagement
ScotApp_1550,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_845,Zusätzliche Artikel scannen:
ScotApp_1564,Stückzahl eingeben für %s
ScotApp_1768,Nicht unterstützte Gewichtseinheit.
ScotApp_1272,USERDEFINED14
ScotApp_1546,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_74,genehmige Stornos
ScotApp_64,Auswahl löschen
ScotApp_54,Lösche
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Beenden & speichern
ScotApp_14,14unused
ScotApp_1870,%s %s erwartet
ScotApp_1389,Fehler im Unterschriftserfassungsgerät
ScotApp_1611,     Behälter für abgelehnte Geldscheine ist voll
ScotApp_94,94unused
ScotApp_84,Lade Optionen
ScotApp_1289,B - C
ScotApp_687,Drucke Bericht
ScotApp_587,Unterschrift
ScotApp_487,nach unten
ScotApp_387,Transport-Stau
ScotApp_287,Scanner: ungültiges Etikett
ScotApp_1545,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1336,Dienstprogramm
ScotApp_987,Item removed from belt. Return item.
ScotApp_887,Artikel entnommen
ScotApp_555,Andere Zahlungsart
ScotApp_1610,     Behälter für abgelehnte Geldscheine ist fast voll (%s) 
ScotApp_1041,Unterschrift genehmigen
ScotApp_1691,Geldverwaltung
ScotApp_1809,Fehler bei der Münzrückführungsausgabe
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,IDENTITÄT GEPRÜFT
ScotApp_561,Coupon zur Seite legen.
ScotApp_461,Fernbedienung lädt...
ScotApp_361,Kasse geschlossen
ScotApp_261,261unused
ScotApp_961,"Fehler in Gewicht-Lerndatenbank: Ereignisanzeige nach Fehlern überprüfen und ""Problem gelöst"" drücken"
ScotApp_861,861unused
ScotApp_1876,%s %s gefunden
ScotApp_740,740unused
ScotApp_640,Vorhandene GDB Gewichts-Eintragungen
ScotApp_540,540unused
ScotApp_340,Artikel aus Liste wählen. Pfeiltasten nach oben/unten benutzen.
ScotApp_240,"Device Manager, genereller Fehler"
ScotApp_140,Vielen Dank
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,MONTAGEGEBÜHR
ScotApp_940,Stornieren
ScotApp_840,Artikel Eingabe:
ScotApp_1863,"""Bestätigen"" oder ""Artikel stornieren"" berühren"
ScotApp_1463,Änderung des Bargeldbetrags
ScotApp_1875,%s %s erwartet
ScotApp_774,Treuepunkte:
ScotApp_674,Grund für Rückweisung Zahlungsart:
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Blackmark-Fehler beim Drucker
ScotApp_174,Gescannter Artikel nicht gefunden. Ist nicht registriert oder schon storniert.
ScotApp_1029,Bitte Coupon hineinstecken
ScotApp_974,974unused
ScotApp_1679,Fehler: Geldscheinbibliothek
ScotApp_1747,Fehler bei Fingerabdruck-Lesegerät
ScotApp_1862,Artikel auf Kassenwaage verifizieren
ScotApp_1603,     Kartenausgabebehälter ist normal
ScotApp_1419,Multipackung
ScotApp_1759,Coupon-Behälter voll
ScotApp_649,Preis enthalten.
ScotApp_1039,Vorherige Artikel haben EAS-Etiketten
ScotApp_849,Benötigte Menge
ScotApp_765,765unused
ScotApp_565,Laden-Anmeldung
ScotApp_1549,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1861,PICKLISTE
ScotApp_1731,PL-Bilder werden geladen...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Lösche Zahlung
ScotApp_46,Hilfe
ScotApp_36,Rückvergütet:
ScotApp_26,26unused
ScotApp_16,%s werden Ihrer Karte belastet
ScotApp_719,719unused
ScotApp_619,Wähle <Eingabe Toleranz> oder <Standard> um vorhandene Toleranz zu ändern.
ScotApp_519,Coupon zu hoch.
ScotApp_419,419unused
ScotApp_319,Zahlung mit Karte
ScotApp_219,219unused
ScotApp_119,Alle Artikel stornieren
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Wählen Sie aus der Liste
ScotApp_1038,Unterschrift prüfen
ScotApp_919,"Gewicht prüfen und ""Genehmigen & Gewicht aktualisieren"" oder ""Genehmigen & nicht aktualisier""."
ScotApp_1489,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1745,Fingerabdruck-Lesegerät nicht angeschlossen.\n\nBitte versuchen Sie es noch einmal.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Zurückgestellt an Kassenstelle
ScotApp_686,Gestern
ScotApp_586,Coupons: %0.0ld/$%0.2lf
ScotApp_486,nach oben
ScotApp_386,Kassette entfernen
ScotApp_286,Scanner: ungültiges Code-Kennzeichen2
ScotApp_186,186unused
ScotApp_1488,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_986,986unused
ScotApp_886,Artikel auf Einpack-Station zurücklegen.
ScotApp_1393,"Stoppen und starten Sie das NCR SelfServ Checkout-Programm neu. Sollte der Fehler immer noch auftreten, rufen Sie den Help Desk an."
ScotApp_1867,Kamerasicht Versperrt
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,Vorgangsstorno
ScotApp_1024,1024unused
ScotApp_760,Ziehen Sie Ihre Karte durch den Leser rechts vom Bildschirm.
ScotApp_660,Alle Geldbestände sind normal
ScotApp_460,Dies wird Ihren Kauf abschliessen.
ScotApp_360,Kasse schließen
ScotApp_260,260unused
ScotApp_1392,Tri-Light-Fehler
ScotApp_960,\nMaximal erlaubtes Gewicht überschritten.\n\nArtikel entnehmen.
ScotApp_860,Measurement Needed:
ScotApp_1866,Beliebter
ScotApp_1459,Bargeldmanagement-Bericht
ScotApp_1239,KEINE
ScotApp_1301,Artikelliste bearbeiten
ScotApp_1749,Fingerabdruck wird verarbeitet
ScotApp_1017,Restliche Artikel vom Band nehmen.
ScotApp_1771,Couponwert-Limit
ScotApp_739,739unused
ScotApp_639,Gew.erwart. Gewichtsvergleich
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,"Device Manager, unerwarteter Status"
ScotApp_1092,Inhalt des Berichts
ScotApp_1851,Nicht genehmigen 
ScotApp_1238,ANDERE ZAHLUNGSART
ScotApp_939,Zeitgeber abgelaufen
ScotApp_839,Aktion abbrechen
ScotApp_1333,Rücktaste
ScotApp_24,storniert
ScotApp_1016,Restliche Artikel auf dem Band
ScotApp_1615,"""Ausgabemodul leeren"" berühren, um Modul zu leeren"
ScotApp_1723,Train-Trans
ScotApp_1028,Coupon-Schwellenwert überschritten
ScotApp_1435,Münzen-/Geldscheinausgabefehler
ScotApp_1698,"Drücken Sie auf ""Problem behoben""."
ScotApp_1688,Fehler: Kassette
ScotApp_454,454unused
ScotApp_1593,Münzen entnehmen
ScotApp_1642,Fehler: Geldscheinrecycler
ScotApp_1015,Restliche Artikel
ScotApp_785,785unused
ScotApp_685,Stündlich
ScotApp_585,585unused
ScotApp_536,Münz-Annahme
ScotApp_385,385unused
ScotApp_285,Scanner: ungültiger Code-Zusatz
ScotApp_185,Vergleichen Sie die Kundenunterschrift mit der auf der Karte.
ScotApp_1224,PREIS ERFORDERLICH
ScotApp_985,Artikel auf das Band legen.
ScotApp_885,Einpack-Warnhinweis
ScotApp_575,Ende Barzahlung. Rest-Summe.
ScotApp_475,Vorgang rückgängig machen
ScotApp_375,Drucker Time-Out
ScotApp_1002,Unverkäufl. Artkl.
ScotApp_1888,"Kundeninteraktion auf Sicherheit überprüfen und ""Beheben"" berühren"
ScotApp_910,910unused
ScotApp_1592,"Münzenstau im Behälter beseitigen. Dazu den Behälter umkippen und dann die Schraube nach rechts drehen, bis die Münzen entnommen werden können. Dabei keine übermäßige Kraft aufwenden."
ScotApp_875,Hauptkassierer-ID für Kaufabbruch
ScotApp_1014,Restliche Artikel vom Band nehmen.
ScotApp_1572,Möchten Sie die Änderungen auf der Münzenmanagement-Anzeige wirklich ignorieren?
ScotApp_1790,Nur Gutschrift oder Lastschrift
ScotApp_1344,Sicherheitsmanager geladen...
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,Form %d failed to store!
ScotApp_498,Bezahlter Betrag:
ScotApp_398,Kassette eingesetzt
ScotApp_298,298unused
ScotApp_198,User Exists werden geladen...
ScotApp_998,Menge
ScotApp_898,WTINFO wird beendet...
ScotApp_1416,"Prüfen Sie, ob es sich um eine Multipackung handelt"
ScotApp_1431,Alles stornieren
ScotApp_1236,Bericht wird verarbeitet...
ScotApp_1770,Aus Suchergebnissen wählen.
ScotApp_1000,Unauffindbar
ScotApp_1439,"""Tüte/Karton"" Schwellenwert überschritten"
ScotApp_1217,STORNIERUNG
ScotApp_759,Ziehen Sie Ihre Karte durch das Zahlungsterminal.
ScotApp_659,Geldbestand-Niedrig-Status:
ScotApp_559,Keine Coupons
ScotApp_459,Für diesen Kauf verbleibt eine Rest-Summe.
ScotApp_359,System-funktionen
ScotApp_259,Device Manager wird beendet...
ScotApp_1007,Hilfe angefordert
ScotApp_1438,"""Neuer Artikel"" Schwellenwert überschritten"
ScotApp_959,Gewicht-Lerndatenbank
ScotApp_859,Nein
ScotApp_1216,SICHERHEIT
ScotApp_1373,GESCHENKGUTSCHEIN ABHOLEN
ScotApp_1005,Visuelle Prüfung
ScotApp_1655,Abt. Verkauf
ScotApp_1228,ABGEBROCHEN
ScotApp_1725,Sicurezza disabilitata
ScotApp_1006,Andere Zahlungsart
ScotApp_496,Mengen Limit
ScotApp_1018,Jahre alt (Minimum).
ScotApp_1160,"Kabelanschluss an Rückseite der PIN-Tastatur überprüfen.\n\nWenn das Kabel fest angeschlossen ist, ""Problem gelöst"" berühren.\n\nSollte der Fehler immer noch auftreten, Kasse herunterfahren und neu starten."
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Berühren Sie ""Verbindung aufbauen"", um Ihren Handscanner mit der SelfServ Checkout-Kasse zu verbinden."
ScotApp_1202,GESCHLOSSENE KASSE
ScotApp_679,Assistenz-Berichte
ScotApp_1792,Nur EC-Karten
ScotApp_1214,BON
ScotApp_1804,Nur-EC-Karten-Modus beenden
ScotApp_879,879unused
ScotApp_1072,Informationen erforderlich
ScotApp_1631,Fehler: Geldscheinprüfer
ScotApp_1148,Komponentenausfall bei Sicherheitswaage
ScotApp_1244,DEBITKARTE SPARKONTO
ScotApp_1004,Artkl. prüfen
ScotApp_1282,Benötige Preis für:
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,PREISANFORDERUNG
ScotApp_1639,Fehler: Münzenrecycler
ScotApp_1828,\n    - Lautstärke %d%%
ScotApp_1308,PIN eingegeben
ScotApp_1417,"Wenn ja, berühren Sie ""Hilfemodus"", stornieren Sie den Artikel und scannen Sie den Strichcode auf der Multipackung"
ScotApp_1343,Sicherheitsmanager wird geladen...
ScotApp_779,779unused
ScotApp_1429,<<<Wenige Münzen vorhanden. Bitte nachfüllen.>>>
ScotApp_579,579unused
ScotApp_479,Gutscheine ablegen
ScotApp_379,Bargeld-Annahme
ScotApp_279,Übernahme Sicherheitseinträge.
ScotApp_179,179unused
ScotApp_1865,PLU-Artikel\nohne Gewicht
ScotApp_1207,GEPRÜFTE UNTERSCHRIFT
ScotApp_1638,"Kabelverbindungen am Münzenrecycler überprüfen und Vorgang wiederholen. Wenn der Fehler erneut auftritt, Service rufen.\n\nSafePay-Fehler: %s"
ScotApp_979,Schwellenwert = %d Kundenanfragen
ScotApp_707,letzte 7 Tage
ScotApp_607,Einpackpflicht einstellen
ScotApp_507,prüfe Artikel visuell
ScotApp_307,Anderer Behälter
ScotApp_207,207unused
ScotApp_107,Hilfe kommt
ScotApp_1219,ALTER BESCHRÄNKT
ScotApp_907,907unused
ScotApp_807,Sicherheitsanhänger entfernen
ScotApp_1077,Artikel auf das Band zurücklegen
ScotApp_1428,Artikelpreis ändern für: \n%s
ScotApp_1695,Später beheben
ScotApp_1206,NICHT DEAKTIVIERTER ARTIKEL
ScotApp_1218,SAMMLUNG
ScotApp_1782,TRANSAKTION IN KASSIERERMODUS STARTEN
ScotApp_1273,USERDEFINED15
ScotApp_1624,Alle Geldscheine in Kassette transportieren
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout SigCap loading...
ScotApp_493,Ihr Bon wird unterhalb der Bezahl-Station gedruckt.
ScotApp_393,Journaldrucker
ScotApp_293,Bitte um Hilfe
ScotApp_1205,BACKUP EINPACKBEREICH
ScotApp_993,Kasse geschlossen
ScotApp_893,DBM wird geladen...
ScotApp_1063,1063unused
ScotApp_1414,"Diese Kasse ist erst wieder verfügbar, wenn der Strom eingeschaltet ist."
ScotApp_1182,COUPONBETRAGSGRENZE
ScotApp_1201,BEDIENERUNTERSTÜTZTE ZAHLUNGSMITTEL
ScotApp_1075,Limit\Band umgehen
ScotApp_1348,Kasse geschlossen
ScotApp_1671,Geldscheinrecyclereinheit öffnen und Geldscheine aus der Kassette nehmen. Recyclereinheit schließen.\nMünzen vom Münzen-Hopper ausgeben und aus Wechselgeldbehälter entfernen. 
ScotApp_1204,DOKUMENTNUMMER
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,ANDERE ZAHLUNGSART
ScotApp_27,27unused
ScotApp_1074,Genehmigung zum Überspringen des Bands.
ScotApp_1472,Geldrecycler ist nicht betriebsbereit
ScotApp_1026,Abbrechen
ScotApp_1061,1061unused
ScotApp_1617,Die angegebene Stückzahl überschreitet die Kapazität des Behälters. Geben Sie eine andere Stückzahl ein. Die maximale Kapazität ist %d.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Kabelverbindungen am Münzenausgabemodul überpüfen.
ScotApp_1130,Geldscheinannahmefehler
ScotApp_1270,USERDEFINED12
ScotApp_1629,Problem mit CPU-Einstellungen oder SYSDATA-Parametern. Wartungsdienst anrufen.\n\nSafePay-Fehler: %s
ScotApp_1820,Ladenpersonal rufen
ScotApp_882,Bitte bestätigen Sie die Unterbrechung.
ScotApp_1440,Geldscheinmanagement
ScotApp_1407,Neuboot 
ScotApp_727,727unused
ScotApp_627,Vorgangs #:
ScotApp_527,527unused
ScotApp_427,Geht zu Ende
ScotApp_327,"Gerät offline, Verbindungen und/oder Ereignisprotokoll prüfen:"
ScotApp_227,Kartenleser - ungültige Karte eingeführt
ScotApp_127,127unused
ScotApp_665,"Wählen Sie ""Lösche alle"" oder ""Zurück"" um weiterzumachen."
ScotApp_1060,Bitte warten...
ScotApp_1616,Stückzahl für Ausgabebehälter eingeben. Die maximal ladbare Stückzahl ist %d.
ScotApp_927,Gerätefehlfunktion
ScotApp_827,Strichcode über den Strichcodeleser ziehen und Artikel einpacken.
ScotApp_1540,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_900,Bitte legen Sie den Artikel in die Einpack-Station.
ScotApp_1277,USERDEFINED19
ScotApp_865,Verify BIC Cardholder
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Kein Behälter
ScotApp_206,Optionen werden geladen.
ScotApp_106,Hilfe erforderlich
ScotApp_1209,GESCHENKGUTSCHEIN-GRENZE ÜBERSCHRITTEN
ScotApp_806,genehmige Sichtkontrolle-Artikeln
ScotApp_1067,1067unused
ScotApp_1418,Maximal erlaubtes Gewicht überschritten
ScotApp_1473,"Nicht betriebsbereit.\n\nGerät einschalten, Kommunikationskabel prüfen oder Einheit zurück ins Gehäuse schieben. "
ScotApp_187,187unused
ScotApp_1716,EG:
ScotApp_1190,EINGEGEBENER COUPON
ScotApp_1602,     Kartenausgabebehälter muss nachgefüllt werden (%s)
ScotApp_1149,Fehler im Kassenbon-Drucker
ScotApp_1066,1066unused
ScotApp_1614,Ausgabebehälter
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,NCR SelfServ Checkout Encryptor loaded.
ScotApp_492,Bitte nehmen Sie Ihr Rückgeld.
ScotApp_392,unbekannte Artikel
ScotApp_292,Coupon nicht lesbar
ScotApp_192,192unused
ScotApp_1241,KREDITKARTE
