AmountSaved,Kazanılan Tutar
ScotApp_1495,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1621,Unlock Note Cassette
ScotApp_1346,Kasa çevrimdışı ve sistem tekrar bağlanmaya çalışıyor.
ScotApp_72,72unused
ScotApp_62,Evet
ScotApp_52,Kuponları İptal Et
ScotApp_42,İptal Edilen Ürünler
ScotApp_32,Devam Et
ScotApp_12,  Mikt. %d @ %s/her biri için
ScotApp_1411,Miktar Değiştir
ScotApp_92,Hoş geldiniz!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Rapor Periyodunu Sonlandır
ScotApp_1620,Unlock Note Cover
ScotApp_1345,Güvenlik Yöneticisi sonlandırılıyor...
ScotApp_1819,Madeni Para Geri Dönüstürücüsü Alici Hatalari
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Alıcı
ScotApp_462,Uzaktan Onay yüklendi.
ScotApp_362,Şifre Gir
ScotApp_262,262unused
ScotApp_162,Ürün ve kuponlarınızı taratın.
ScotApp_1410,Fiyat Değiştir
ScotApp_962,"İptal edilen ürünü kasadan alın, sonra ""İptali Onayla"" ya basın."
ScotApp_862,Kupon Değeri Girişi:
ScotApp_1806,"\n* İşlemi sonlandırmak için ""Yalnızca Kartlar"" üzerine basın ve para üstünü elle müşteriye verin."
ScotApp_1088,1088unused
ScotApp_1627,Bozuk/Kağıt Para Dönüştürücü Hatası
ScotApp_741,741unused
ScotApp_641, Ort.Ağr.   Approved    Tally     Topl.Tür     Topl.Değer    Date
ScotApp_541,Yazıcı Operatörü Barkodu Tara
ScotApp_441,Tutarı Onayla
ScotApp_341,341unused
ScotApp_241,Beklenmeyen Aygıt Yöneticisi Hatası
ScotApp_141,Kart Türünü Seç
ScotApp_941,İptal Edilmiş Ürün
ScotApp_841,Ürün Girişi
ScotApp_1873,1873unused
ScotApp_25,Doğum tarihi:
ScotApp_720,720unused
ScotApp_520,Bilinmeyen Ürün Kodu
ScotApp_420,420unused
ScotApp_320,Geri Git
ScotApp_220,* Yazıcı kabin kapağını açın.\n* Sıkışma olup olmadığını kontrol etmek için yazıcı kapağını açın.\n*Yazıcıya yeni kağıt rulosu takın.\n*Yazıcı kabin kapısını kapatın ve kilitleyin.
ScotApp_120,İşlem iptal edildi. Ürünleri
ScotApp_1626,Insert cash to replenish or select other function.
ScotApp_1423,Portatif Tarayıcı bağlanmaya çalışıyor.
ScotApp_920,Onayla/Güncelleme Yok.
ScotApp_820,İptal Etmeyi Onayla
ScotApp_1757,"Aksan eklemek için ekranın alt kısmında bulunan bir ""Aksan"" düğmesine basın ve harfi girin."
ScotApp_1872,1872unused
ScotApp_754,Geçmiş 7 Günün Özeti
ScotApp_554,Yükleme kartlarını bu sefer kullanmayın.
ScotApp_1613,İade Haznesi
ScotApp_354,Sistem Fonksiyonları
ScotApp_254,Madeni para vericisi  çalışmıyor.\nMadeni para vericisini doldurun veya \nVericiyi çalıştırın veya \nSıkışmayı giderin.
ScotApp_154,Yükleniyor...
ScotApp_1769,Kodu Gir
ScotApp_1240,NAKİT
ScotApp_954,Akıllı Tartı Açma Başarısız
ScotApp_854,Beş Ürün
ScotApp_1547,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1403,NCR SelfServ Checkout programını kapatıp yeniden başlatın. Hata devam ederse yardım masasıyla bağlantı kurun.
ScotApp_545,İzne Tabi Ürün
ScotApp_1559,Çık
ScotApp_1871,%s %s gözlenen
ScotApp_1612,Kart Yönetimi
ScotApp_1550,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_845,Ek Ürünleri Tarat:
ScotApp_1564,%s için Yükleme Sayısı Gir
ScotApp_1768,Desteklenmeyen ağırlık birimi.
ScotApp_1272,USERDEFINED14
ScotApp_1546,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_74,İptalleri Onayla
ScotApp_64,Seçilen Ürünü İptal Et
ScotApp_54,İptal Et
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Çık ve Kaydet
ScotApp_14,14unused
ScotApp_1870,%s %s beklenen
ScotApp_1389,Elektronik İmza Alma Aygıtı Hatası
ScotApp_1611,     İade Haznesi Dolu
ScotApp_94,94unused
ScotApp_84,Yükleme Seçenekleri
ScotApp_1289,B - C
ScotApp_687,Rapor Yazdır
ScotApp_587,İmza
ScotApp_487,Aşağı
ScotApp_387,Taşımada sıkışma
ScotApp_287,Tarayıcı: Geçersiz etiket
ScotApp_1545,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1336,Yardımcı Program
ScotApp_987,Ürün banttan kaldırıldı. Ürünü iade edin.
ScotApp_887,Ürün Kaldırıldı
ScotApp_555,Diğer Ödeme
ScotApp_1610,     İade Haznesi seviyesi Doluya Yakın (%s)
ScotApp_1041,İmzayı Onayla
ScotApp_1691,Nakit Yönetimi 
ScotApp_1809,Madeni Para Geri Dönüstürücüsü Verici Hatalari
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,DOĞRULANMIŞ KİMLİK
ScotApp_561,Kuponu Kenara Koy
ScotApp_461,Uzaktan Onay yükleniyor...
ScotApp_361,Kasa Kapatıldı
ScotApp_261,261unused
ScotApp_961,"Ağırlık Öğrenme Veri Tabanı hatası: Hatalar için Olay Görüntüleyicisini Kontrol Edin, sonra ""Sorunu çözdüm"" e basın."
ScotApp_861,861unused
ScotApp_1876,%s %s gözlenen
ScotApp_740,740unused
ScotApp_640,Mevcut WLDB Ağırlık Girişleri
ScotApp_540,540unused
ScotApp_340,Ürünü listeden seçin. Aşağı yukarı kaydırmak için ok tuşlarını kullanın.
ScotApp_240,Genel Aygıt Yöneticisi arızası
ScotApp_140,Teşekkürler
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,TOPLAMA ÜCRETİ
ScotApp_940,İptal Etme
ScotApp_840,Ürün Girişi:
ScotApp_1863,"""Onayla"" veya ""Geçerli Ürün"" e bas"
ScotApp_1463,Değerde Değişiklik
ScotApp_1875,%s %s beklenen
ScotApp_774,Kazanılan Puanlar:
ScotApp_674,"""Ödeme reddetme sebebi:"""
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Yazıcı mürekkep kartuşu hatası
ScotApp_174,Taranan ürün bulunamıyor. Ürün henüz satın alınmamış veya önceden iptal edilmiş.
ScotApp_1029,Kuponu Yerleştirin
ScotApp_974,974unused
ScotApp_1679,Note Library Error
ScotApp_1747,Parmak izi okuyucusu hatası
ScotApp_1862,Ürünü tarayıcı tartısında onayla.
ScotApp_1603,     Kart Vericisi Haznesi seviyesi normal.
ScotApp_1419,Çoklu Paket
ScotApp_1759,Kupon Haznesi Dolu
ScotApp_649,Fiyatı Yazılı
ScotApp_1039,Önceki ürünlerin EAS etiket(ler)i var.
ScotApp_849,Gerekli Miktar
ScotApp_765,765unused
ScotApp_565,Mağaza Oturum Açma
ScotApp_1549,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1861,SEÇME LİSTESİ
ScotApp_1731,PL Görüntüleri Yükleniyor
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Ödemeyi İptal Et
ScotApp_46,Yardım
ScotApp_36,Geri Ödenen:
ScotApp_26,26unused
ScotApp_16,%s kartınıza ücretlendirilecek.
ScotApp_719,719unused
ScotApp_619,Mevcut toleransı düzenlemek için <Toleransı Tuşla> veya <Varsayılan> ı seçin.
ScotApp_519,Kupon Çok Yüksek
ScotApp_419,419unused
ScotApp_319,Kartla ödeyin
ScotApp_219,219unused
ScotApp_119,Tüm Ürünleri İptal Et
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Listeden Seç
ScotApp_1038,İmzayı Doğrula
ScotApp_919,"Ürün ağırlığını onaylayın ve ""Ağırlığı Onayla ve Güncelle"" ye veya  ""Onayla/Güncelleme Yok"" a basın."
ScotApp_1489,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1745,Parmak izi cihazı bağlantısı kesildi.\n\n Lütfen tekrar deneyin.
ScotApp_1860,Seçme listesinden yardımlı ürünleri seçin veya alfabetik olarak arayın.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Kasada Askıya Alındı
ScotApp_686,Dün
ScotApp_586,Kuponlar: %0.0ld/$%0.2lf
ScotApp_486,Yukarı
ScotApp_386,Kaset Çıkarıldı
ScotApp_286,Tarayıcı: Geçersiz etiket öneki2
ScotApp_186,186unused
ScotApp_1488,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_986,986unused
ScotApp_886,"Ürünleri paketleme alanına geri götürün veya ""Ürün Kaldırıldı"" ya basın."
ScotApp_1393,NCR SelfServ Checkout programını kapatıp yeniden başlatın. Hata devam ederse yardım masasıyla bağlantı kurun.
ScotApp_1867,Kamera Görüşü Engelleniyor
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,Satın Almayı İptal Et
ScotApp_1024,1024unused
ScotApp_760,Kartınızı bu monitörün yan tarafına yerleştirin.
ScotApp_660,Tüm para seviyeleri normal
ScotApp_460,Bu işlem satın alma işleminizi tamamlayacak.
ScotApp_360,Kasayı Kapat
ScotApp_260,260unused
ScotApp_1392,Tri-Light Hatası
ScotApp_960,"Paket Tartısı hatası: Hatalar için Paket Tartısını veya Olay Görüntüleyicisini kontrol edin ve ""Sorunu çözdüm"" e basın. "
ScotApp_860,Gereken Ölçü:
ScotApp_1866,Diğer Popüler Ürünler
ScotApp_1459,Nakit Yönetimi Raporu
ScotApp_1239,HİÇBİRİ
ScotApp_1301,Seçim Listesini Düzenle
ScotApp_1749,Parmak İzi İşleniyor
ScotApp_1017,Bant üzerinde biriken ürünleri kaldırın.
ScotApp_1771,Kupon Değer Limiti
ScotApp_739,739unused
ScotApp_639,BeklenenAğrl.   Ağrl.Karşılaştırma
ScotApp_539,539unused
ScotApp_439,439unused
ScotApp_339,339unused
ScotApp_239,Beklenmeyen Aygıt Yöneticisi Durumu
ScotApp_1092,Rapor İçeriği
ScotApp_1851,Onaylama
ScotApp_1238,DİĞER ÖDEME
ScotApp_939,Süre doldu
ScotApp_839,Eylemi İptal Et
ScotApp_1333,Geri Tuşu
ScotApp_24,İptal Edilmiş
ScotApp_1016,Bant üzerinde Biriken Ürünler
ScotApp_1615,Boşaltmak için Verici Haznesi Toplama düğmesine basın
ScotApp_1723,Eğitim İşl
ScotApp_1028,Kupon Eşiği Aşıldı
ScotApp_1435,Madeni Para/Fatura Vericisi Hatası
ScotApp_1698,"""Durum Düzeltildi"" ye Basın."
ScotApp_1688,Cassette Error
ScotApp_454,454unused
ScotApp_1593,Madeni Paraları Çıkarın
ScotApp_1642,Kağıt Para Dönüştürücü Hatası
ScotApp_1015,Biriken Ürünler
ScotApp_785,785unused
ScotApp_685,Saatlik
ScotApp_585,585unused
ScotApp_536,Madeni Para Alıcısı
ScotApp_385,385unused
ScotApp_285,Tarayıcı: Geçersiz etiket soneki
ScotApp_185,Müşterinin imzasını karttaki imzayla karşılaştır.
ScotApp_1224,FİYAT GEREKİYOR
ScotApp_985,Ürünü banda yerleştirin.
ScotApp_885,Paketleme Uyarısı
ScotApp_575,Nakit Ödemeyi Sonlandır. Kalan Bakiye.
ScotApp_475,İşlemi Askıya Alma
ScotApp_375,Yazıcı zaman aşımı
ScotApp_1002,Satış Yok
ScotApp_1888,"Güvenlik için müşteri işlemini gözden geçirin ve ""Güvenliği Onayla"" ya  basın."
ScotApp_910,910unused
ScotApp_1592,Kutudan sıkışan madeni paraları çıkarın. Kutuyu eğin. Madeni para çıkacak duruma gelene kadar vidayı sağa çevirin. Aşırı güç kullanmayın.
ScotApp_875,Satın Almayı İptal Etmek İçin Baş Kasiyer Kimliği
ScotApp_1014,Biriken ürünleri banttan kaldırın.
ScotApp_1572,Madeni Para Yönetimi ekranındaki değişiklikleri yok saymak istediğinizden emin misiniz?
ScotApp_1790,Yalnızca Kredi / Borç
ScotApp_1344,Güvenlik Yöneticisi yüklendi.
ScotApp_798,798unused
ScotApp_698,698unused
ScotApp_598,%d Formu yüklenemedi.
ScotApp_498,Ödenen Tutar:
ScotApp_398,Kaset Yerleştirildi
ScotApp_298,298unused
ScotApp_198,Kullanıcı Çıkışları yükleniyor...
ScotApp_998,Miktar
ScotApp_898,AĞRBİLG sonlandırılıyor...
ScotApp_1416,Çoklu paket kontrolü yap
ScotApp_1431,Tümünü İptal Et
ScotApp_1236,Rapor oluşturuluyor...
ScotApp_1770,Arama sonuçlarından seç.
ScotApp_1000,Bulunamadı
ScotApp_1439,"""Poşet/kutu"" eşiği aşıldı"
ScotApp_1217,İPTAL
ScotApp_759,Kartınızı ödeme aygıtına yerleştirin.
ScotApp_659,Para Seviyesinde Düşme:
ScotApp_559,Kupon Yok
ScotApp_459,Bu satın alma işlemi için bakiyeniz kalacak.
ScotApp_359,Sistem Fonksiyonları
ScotApp_259,Aygıt Yöneticisi sonlandırılıyor...
ScotApp_1007,Yardım Talep Edildi
ScotApp_1438,"""Yeni Ürün"" eşiği aşıldı"
ScotApp_959,Ağırlık Öğrenme Veri Tabanı
ScotApp_859,Hayır
ScotApp_1216,GÜVENLİK
ScotApp_1373,HEDİYE KARTINIZI ALIN
ScotApp_1005,Görsel Doğrulama
ScotApp_1655,Dprtmn Satışı
ScotApp_1228,ASKIYA ALINMIŞ
ScotApp_1725,Güvenlik Kapatıldı
ScotApp_1006,Diğer Ödeme
ScotApp_496,Miktar Sınırı
ScotApp_1018,Minimum yaş:
ScotApp_1160,"Kablonun PinPad’e bağlı olup olmadığını kontrol edin.\n\nKablo düzgün şekilde takılmışsa, ""Sorunu çözdüm"" e basın.\n\nHata devam ederse, terminali kapatın ve yeniden başlatın"
ScotApp_1073,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;DATANEEDEDTYPE=%d;
ScotApp_1424,"Portatif Tarayıcınızın bağlantısını yapmak için ""Bağlan""a basın."
ScotApp_1202,KAPALI KASA
ScotApp_679,Yardım Raporları
ScotApp_1792,Yalnızca Kartlar
ScotApp_1214,FİŞ
ScotApp_1804,Yalnızca Kart Modundan çık
ScotApp_879,879unused
ScotApp_1072,Bilgi Gerekiyor
ScotApp_1631,Kağıt Para Onaylayıcı Hatası
ScotApp_1148,Güvenlik Tartısı bileşenleri hatası
ScotApp_1244,BORÇ İNDİRİMLERİ
ScotApp_1004,Ürünü Onayla
ScotApp_1282,... için fiyat gerekiyor
ScotApp_1071,1071unused
ScotApp_1276,USERDEFINED18
ScotApp_1200,FİYAT SORGULAMA
ScotApp_1639,Bozuk Para Dönüştürücü Hatası
ScotApp_1828,\n    - Ses Düzeyi %d%%
ScotApp_1308,PIN Girildi
ScotApp_1417,"Eğer ürün çoklu paketse, ""Yardım Modu"" na basın ve iptal edin sonra çoklu paket barkodunu taratın."
ScotApp_1343,Güvenlik Yöneticisi yükleniyor...
ScotApp_779,779unused
ScotApp_1429,<<<Düşük madeni para miktarı. Lütfen yeniden doldurun.>>>
ScotApp_579,579unused
ScotApp_479,Kuponları teslim edin
ScotApp_379,Nakit Alıcısı
ScotApp_279,Kaydedilen tüm güvenlik konularını onaylayın.
ScotApp_179,179unused
ScotApp_1865,Ürün Ara\n Ağırlıksız
ScotApp_1207,DOĞRULANMIŞ İMZA
ScotApp_1638,Bozuk Para Dönüştürücü kablosunu kontrol edip tekrar deneyin. Hata tekrarlanırsa servisi arayın.\n\nSafePay Error: %s
ScotApp_979,Eşik = %d müşteri talepleri
ScotApp_707,Geçmiş 7 Gün
ScotApp_607,Paketleme Uygulamasını Ayarla
ScotApp_507,Ürünleri Gözle Onayla
ScotApp_307,Diğer ambalaj
ScotApp_207,207unused
ScotApp_107,Yardım Geliyor
ScotApp_1219,YAŞ KISITLAMALI
ScotApp_907,907unused
ScotApp_807,Güvenlik Etiketlerini Çıkar
ScotApp_1077,Ürünleri banda iade et
ScotApp_1428,Ürün fiyatı değiştir: \n%s
ScotApp_1695,Daha Sonra Onar
ScotApp_1206,ALARMI ÇIKARILMAMIŞ ÜRÜN
ScotApp_1218,TOPLAMA
ScotApp_1782,İŞLEMİ  AM’DE BAŞLAT
ScotApp_1273,USERDEFINED15
ScotApp_1624,Transfer All Notes to Cassette
ScotApp_793,793unused
ScotApp_1059,1059unused
ScotApp_593,NCR SelfServ Checkout SigCap yükleniyor...
ScotApp_493,Fişiniz ödeme aygıtının alt kısmından yazdırılacak.
ScotApp_393,Günlük Yazıcısı
ScotApp_293,Yardım iste
ScotApp_1205,PAKETLEME ALANI BİRİKME
ScotApp_993,Kasa Kapatıldı
ScotApp_893,DBM yükleniyor...
ScotApp_1063,1063unused
ScotApp_1414,Güç yeniden yüklenene kadar bu kasa kullanılamaz.
ScotApp_1182,KUPON TUTARI LİMİTİ
ScotApp_1201,YARDIMLI ÖDEME
ScotApp_1075,Bandı Sınırla/Atla
ScotApp_1348,Kasa Kapatıldı
ScotApp_1671,Open Note Recycler unit and remove notes from the cassette. Close recycler unit.\nDispense coins from hopper and remove from change cup.
ScotApp_1204,BELGE NUMARASI
ScotApp_1284,1284unused
ScotApp_1062,1062unused
ScotApp_1233,DİĞER ÖDEME
ScotApp_27,27unused
ScotApp_1074,Bant atlama onayı.
ScotApp_1472,Nakit Geri Dönüştürücü Hazır Değil
ScotApp_1026,İşl. İptal Et
ScotApp_1061,1061unused
ScotApp_1617,Girilen miktar kapasitenin üstünde. Verici Haznesi için yükleme sayısını tekrar girin. Maksimum kapasite %d’dir.
ScotApp_1050,1050unused
ScotApp_744,744unused
ScotApp_1591,Madeni para vericisinin kablo bağlantılarını kontrol edin.
ScotApp_1130,Fatura Alıcısı Hatası
ScotApp_1270,USERDEFINED12
ScotApp_1629,CPU ayarları veya Sistem verisi ayarlarında hata. Lütfen servisi arayın.\n\nSafePay Error: %s
ScotApp_1820,"Ürünü tartıdan kaldırın ve tarayıcıda "">0<"" tuşuna basın."
ScotApp_882,Askıya Almayı Onaylayın.
ScotApp_1440,Fatura Yönetimi
ScotApp_1407,YENİDEN YÜKLE
ScotApp_727,727unused
ScotApp_627,İşlem #:
ScotApp_527,527unused
ScotApp_427,Malzeme az
ScotApp_327,"Cihaz kapalı, bağlantıları ve/veya olay günlüğünü kontrol edin:"
ScotApp_227,Kart okuyucuya yerleştirilen kart geçersiz
ScotApp_127,127unused
ScotApp_665,"Devam etmek için ""Hepsini İptal Et"" veya ""Geri""ye basın."
ScotApp_1060,LÜTFEN BEKLEYİN...
ScotApp_1616,Verici Haznesi için Yükleme sayısı girin. Yükleyebileceğiniz maksimum miktar %d’dir.
ScotApp_927,Aygıt Arızası
ScotApp_827,Ürün barkodunu şablondan geçirin ve paketleme alanına yerleştirin.
ScotApp_1540,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_900,Ürünü paketleme alanına yerleştirin.
ScotApp_1277,USERDEFINED19
ScotApp_865,Kart Sahibini Doğrula
ScotApp_506,506unused
ScotApp_406,406unused
ScotApp_306,Ambalaj yok
ScotApp_206,Seçenekler yüklenecek.
ScotApp_106,Yardım Gerekiyor
ScotApp_1209,HEDİYE KARTI LİMİTİ AŞILDI
ScotApp_806,Görsel Doğrulama Ürünlerini Onayla
ScotApp_1067,1067unused
ScotApp_1418,Maksimum ağırlık sınırı aşıldı.
ScotApp_1473,"Aygıt hazır değil.\n\nAygıtı açın, Bağlantı kablosunu kontrol edin veya üniteyi kabine geri koyun."
ScotApp_187,187unused
ScotApp_1716,BA:
ScotApp_1190,GİRİLEN KUPON
ScotApp_1602,     Kart Vericisi Haznesi seviyesi düşük (%s)
ScotApp_1149,Fiş Yazıcısı Hatası
ScotApp_1066,1066unused
ScotApp_1614,Verici Haznesi
ScotApp_792,792unused
ScotApp_692,692unused
ScotApp_592,NCR SelfServ Checkout Şifreleyici yüklendi.
ScotApp_492,Lütfen para üstünüzü alın.
ScotApp_392,Bilinmeyen Ürünler
ScotApp_292,Kupon taranamıyor
ScotApp_192,192unused
ScotApp_1241,KREDİ
ScotApp_1197,İPTAL EDİLMİŞ İŞLEM
ScotApp_1548,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_992,Doğum Tarihini Gir
ScotApp_892,Akıllı Tartı sonlandırılıyor...
ScotApp_1053,Kasiyerin imzalanmak üzere slip kağıdını getirmesini bekleyin.
ScotApp_1404,"POS sunucusu çalışmıyor veya senkronsuz, lütfen düğmeyi kullanarak terminali kapatın."
ScotApp_1245,BORÇ KONTROLÜ
ScotApp_1262,USERDEFINED4
ScotApp_1471,Madeni Para Geri Dönüştürücü Hatası
ScotApp_1196,SÜRÜCÜ BELGESİ NUMARASI
ScotApp_1052,1052unused
ScotApp_1600,Kart Vericisi Durumu
ScotApp_1663,kutu boş veya sıkışma var
ScotApp_1261,USERDEFINED3
ScotApp_1125,"Madeni para deposunun üst kısmındaki tüm madeni para kanallarını yeniden doldurun.\n\nMağaza Moduna geçin, ""Nakit / Kağıt Durumu"" nu seçin ve ""Madeni Para Vericisi Dolduruldu"" düğmesine basın."
ScotApp_1183,FİYAT SORGULAMA
ScotApp_1470,Fatura Geri Dönüştürücü Hatası
ScotApp_1195,CSA ASKIYA ALINDI
ScotApp_1229,YARDIM İSTENDİ
ScotApp_1051,Slip Kağıdı Onayı
ScotApp_1607,     İade Haznesi seviyesi normal (%s)
ScotApp_1895,Genr Excp
ScotApp_747,747unused
ScotApp_647,H
ScotApp_447,Daimi müşteri hesabınız etkinleştirildi.
ScotApp_347,İzne tabi ürün iptal edildi - yaş sınırı uymadı. Lütfen ürünü kenara koyun.
ScotApp_247,247unused
ScotApp_147,147unused
ScotApp_1260,USERDEFINED2
ScotApp_1619,Askiya Al
ScotApp_769,Askıya almayı onaylayın veya iptal edin.
ScotApp_947,Yeni Ürün Ağırlığı
ScotApp_847,Tarama Sona Erdi
ScotApp_1477,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_726,726unused
ScotApp_626,Tolerans:
ScotApp_526,\nPIN numarası hatalı girildi.\nFarklı bir kart yerleştirin\n -veya-\nNakit ödeyin
ScotApp_426,Kasa ##:
ScotApp_326,Doğum tarihi izne tabi ürün yaş sınırıyla uyuşmuyor.
ScotApp_226,Kart okuma aygıtı çalışmıyor
ScotApp_126,(mmddyy).
ScotApp_1606,     İade Haznesi seviyesi normal
ScotApp_926,Ürünler paketleme alanına iade edilmedi.
ScotApp_826,Paketlemeyi Atla
ScotApp_1267,USERDEFINED9
ScotApp_1618,Bir banknot vericisi kaseti çıkmış veya tam yerleştirilmemiş.\n\nYerine oturana kadar kaseti itin veya yeniden yerleştirin.
ScotApp_1181,KUPON EŞİĞİ AŞILDI
ScotApp_205,Kopyalama tamamlandı.
ScotApp_105,Bilinmeyen Ürün
ScotApp_1476,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1730,Ara
ScotApp_1390,Aygıt cevap vermiyor
ScotApp_805,Ürünleri Onayla
ScotApp_1864,Kasaya git
ScotApp_1408,YARDIM
ScotApp_1266,USERDEFINED8
ScotApp_1180,FİYAT UYUŞMAZLIĞI
ScotApp_1208,YARDIM MODUNDA SATILMIŞ
ScotApp_1475,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1397,Görevli
ScotApp_1748,Parmak İziyle Giriş Başarısız
ScotApp_718,718unused
ScotApp_618,Ağırlık Toleransı
ScotApp_518,Nakit yerleştirin.
ScotApp_1253,PIP MÜŞTERİ KARTI
ScotApp_1604,     Kart Vericisi Haznesi seviyesi normal (%s)
ScotApp_218,Yazıcının kağıdı bitmek üzere
ScotApp_118,Onaylamanız Gerekiyor
ScotApp_552,Operatör Kimliği ve Şifre sıfır ile başlayamaz.
ScotApp_791,Ödeme Türü Seç
ScotApp_691,691unused
ScotApp_591,NCR SelfServ Checkout Şifreleyici yükleniyor...
ScotApp_391,Fiyatı Gereken Ürünler
ScotApp_918,Ürün ağırlığı kaydı yok.
ScotApp_1187,AYGIT HATASI
ScotApp_991,Yaş Kontrolü
ScotApp_891,Akıllı Tartı yüklendi.
ScotApp_1474,Donanım Hatası. Hata kodu E%d
ScotApp_1396,Görevli Modundan Çık
ScotApp_1252,PIP BORCU İADESİ
ScotApp_1732,PL Görüntüleri Yüklendi
ScotApp_1461,Madeni paralar
ScotApp_1166,* Yazıcı kabin kapısını açın.\n* Yazıcı mandalını açıp yazıcıyı geri itin.\n* Sıkışma olup olmadığını kontrol etmek için yazıcı kapağını açın.\n* Yazıcı kapağını kapatın ve yeniden kağıt yerleştirin.\n* Yerine oturana kadar yazıcıyı dikkatlice öne doğru çekin.
ScotApp_1186,BEKLENMEYEN DÜŞÜŞ
ScotApp_1857,  Bantın üzerine koymayın.
ScotApp_1829,Onayla
ScotApp_1670,Bozuk/Kağıt Para Dönüştürücü Hatası
ScotApp_1198,GİRİLEN HESAP NUMARASI
ScotApp_1869,Eliniz Görüş Alanında
ScotApp_1251,PIP BORCU
ScotApp_1855,Opsiyonel
ScotApp_767,Malzeme Seviyesi Normal
ScotApp_667,Kart girildi. Ürün ve kuponlarınızı taratın.
ScotApp_567,Giriş
ScotApp_467,467unused
ScotApp_367,367unused
ScotApp_267,Güvenlik
ScotApp_1460,Faturalar
ScotApp_1185,PAKET KUTU EŞİĞİ AŞILDI
ScotApp_1009,Mağaza Modu
ScotApp_867,Hayır
ScotApp_1856,  Paketlemeyin
ScotApp_1677,Check that the Coin Recycler door is closed.
ScotApp_746,746unused
ScotApp_646,E
ScotApp_1394,Dijital Arayüz Hatası
ScotApp_446,İşlemi Askıya Al
ScotApp_346,ATM (Para İadesi)
ScotApp_246,246unused
ScotApp_146,Lütfen ödeme türünüzü seçin.
ScotApp_1501,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1609,     İade Haznesi seviyesi Doluya Yakın
ScotApp_1194,YETKİ NUMARASI
ScotApp_946,Poşet/Kutu onayı
ScotApp_846,"Ürünleri taratın veya ""Tarama Bitti"" ye basın."
ScotApp_1843,Poşetim
ScotApp_1467,"Nakit boşaltmak için ""Nakit / Kağıt Durumu"" ekranını kullanın."
ScotApp_725,725unused
ScotApp_625,<%s> ile <%s> arasında bir ağırlık toleransı girin.
ScotApp_1381,İşlem gerçekleştiriliyor...
ScotApp_425,425unused
ScotApp_325,Girilen tarih geçersiz
ScotApp_225,Kart okuyucu toplama kutusu yerleştirildi
ScotApp_1676,Coin Recycler Door Open
ScotApp_925,925unused
ScotApp_825,Ürünü Paketle
ScotApp_1608,     İade Haznesi boş
ScotApp_1842,Tam Yardım
ScotApp_1808,Makbuzdan ürün seçin.
ScotApp_1466,Nakit Geri Dönüştürücü Durumu Dolu
ScotApp_1380,fiyat
ScotApp_1854,Opsiyonel
ScotApp_1675,Bozuk Para Dönüştürücü Hatası
ScotApp_1597,Müşteri Kartı
ScotApp_1350,%s\n%s %s eklendi
ScotApp_738,738unused
ScotApp_638,Etkin WLDB toleransı bilgisi
ScotApp_538,538unused
ScotApp_338,Ürün tanımının ilk üç harfini girin.
ScotApp_238,\nNakit alıcısı yerleştiren nakdi kaydedemedi.\n\nFatura kasetini kontrol edin.
ScotApp_138,Kartı Al
ScotApp_1170,* Yazıcı kapağını açın ve gösterilen alanda kağıt sıkışması olup olmadığını kontrol edin. \n* Kağıdı çıkarın.\n* Yazıcı kapağını kapatın ve tekrar kağıt yükleyin.\n* Starta om terminalen om felet kvarstår.
ScotApp_1841,Onay için lütfen Kasaya gidin.
ScotApp_1740,Çantayı Onayla
ScotApp_938,938unused
