AmountSaved,Заощаджено
XM_CannotCompleteTransfer,Неможливо перенести. Замало місця в касовому ящику. Перед виконанням цієї операції спорожніть касовий ящик.
XM_CashManagement,Робота з готівкою
XM_CashManagementReport,Звіт по роботі з готівкою
XM_CashRemove,Вийняти готівку
XM_CashRemoveLeadthru,Виберіть потрібну функцію.
XM_CashReplenishLeadthru,Виберіть потрібну функцію.
XM_CashReplenishLeadthru1,Внесіть монети або виберіть функцію.
XM_CashReplenishLeadthru2,Внесіть готівку або виберіть функцію.
XM_CashReplenishLeadthru3,"Коли готово, натисніть “Вихід”."
XM_CashReplenishment,Додати готівку
XM_ChangeInCount,Зміна кількості
XM_ChangeInValue,Зміна суми
XM_Clear,Очистити
XM_ClearPrompt1,"Коли готово, виберіть іншу функцію або “Вийти”."
XM_ClearPrompt2,Виберіть іншу функцію або “Вийти”.
XM_CoinAcceptorOffline,Приймач монет не відповідає.\n\nВимкніть і знов увімкніть термінал.
XM_CoinDispenseFailure,Не вдалося видати %s.\nЗамало монет або роздавач монет не працює чи вимкнений.
XM_CoinDispenser,Роздавач монет
XM_CoinManagement,Робота з монетами
XM_ConfirmAction,Підтвердіть дії
XM_ConfirmCoinDispense,* Видача монет %s\nВидати на суму: %s\nВидати штук: %d
XM_ConfirmEmptyCoinAcceptor,* Обнулити кількість монет у приймачі\nВийняти суму:%s
XM_ConfirmEmptyCoinOverflow,* Обнулити кількість зайвих монет\nВийняти суму:%s
XM_ConfirmEmptyNoteAcceptor,* Обнулити кількість купюр у приймачі\nВийняти суму:%s
XM_ConfirmEmptyNoteOverflow,* Обнулити кількість у касовому ящику\nВийняти суму:%s
XM_ConfirmFillLoaderCassette,* Задати к-ть купюр\nНова сума: %s\nНова к-ть: %d
XM_ConfirmManualCoinEmpty,* Обнулити кількість монет\nВийняти суму:%s\nВийняти штук: %d
XM_ConfirmManualCoinFill,Задати к-ть монет\nНова сума: %s\nНова к-ть: %d
XM_ConfirmManualNoteEmpty,* Обнулити кількість купюр\nВийняти суму:%s\nВийняти штук: %d
XM_ConfirmManualNoteFill,* Задати к-ть купюр\nНова сума: %s\nНова к-ть: %d
XM_ConfirmNoteDispense,* Видача купюр\nВидати на суму: %s\nВидати штук: %d
XM_ConfirmTransferNotesToOverflow,* Перенести купюри до кас. Ящика\nПеренести на суму: %s\nПеренести штук: %d
XM_Count,Кількість
XM_DispenseCupFull,"Лоток повернення монет повний. Щоб завершити видачу, видаліть монети."
XM_DispenseCupFullPreemptive,"Візьміть монети\nЯкщо лоток повернення повний, спорожнити зараз. Видача зупиняється до випорожнення лотка."
XM_DispenseFullPreemptive,"Візьміть купюри і монети\nКупюри видаються пачками по 15 шт. Видача зупиняється, доки не буде взято всі купюри. Якщо лоток повернення повний, спорожнити зараз. Видача зупиняється до випорожнення лотка."
XM_DispenseNoteFullPreemptive,"Візьміть купюри\nКупюри видаються пачками по 15 шт. Видача зупиняється, доки не буде взято всі купюри."
XM_DispenseSensorBlock,Лоток повернення монет повний або не працює сенсор. Вийняти монети або звернутися до технічної служби.
XM_DispenseText,Видача
XM_DispenseThreshold,Введена кількість перевищує доступну для видачі.  Введено максимальну кількість: %d
XM_Empty,Очистити
XM_EmptyCashAcceptorLT,Вийняти купюри з приймача готівки
XM_EmptyCashBoxLT,Вийняти купюри з касового ящика
XM_EmptyCoinAcceptor,Обнулити приймач монет
XM_EmptyCoinAcceptorLT,Вийняти монети з приймача монет
XM_EmptyCoinHopperLT,Вийняти монети з апарата.
XM_EmptyCoinOverflow,Обнулити кількість зайвих монет
XM_EmptyCoinOverflowLT,Вийняти монети з лотка для зайвих монет
XM_EmptyLoaderCassetteLT,Вийняти купюри із завантажної касети
XM_EmptyNoteAcceptor,Обнулити приймач купюр
XM_EmptyNoteCassetteLT,Вийняти купюри з купюрних касет і скидного лотка
XM_EmptyNoteOverflow,Обнулити касовий ящик
XM_Enter,Ввести
XM_ExceededAmount,Сума перевищує місткість. Максимальна потрібна сума: %s.
XM_ExceededCapacity,"Кількість перевищує місткість. Можна внести не більше, штук: %d."
XM_Execute,Застосувати зміни
XM_Exit,Вийти
XM_FastLaneReport,Звіт системи NCR SelfServ Checkout
XM_FillLoaderCassette,Задати кількість купюр
XM_GoBack,Назад
XM_ID,№ касира
